"ChEMBL ID"	"Name"	"UniProt Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL2363072"	"Retinoid X receptor gamma/retinoic acid receptor alpha"	"P48443|P10276"	"PROTEIN COMPLEX"	"Homo sapiens"	""	""	"9606"	"False"
"CHEMBL3885612"	"Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1"	"Q15750|P49116"	"CHIMERIC PROTEIN"	"Homo sapiens"	"49"	"49"	"9606"	"False"
"CHEMBL3430879"	"Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-alpha"	"P19793|Q13133"	"PROTEIN COMPLEX"	"Homo sapiens"	"91"	"132"	"9606"	"False"
"CHEMBL2111371"	"PPAR delta/gamma"	"P37231|Q03181"	"SELECTIVITY GROUP"	"Homo sapiens"	"113"	"120"	"9606"	"False"
"CHEMBL5002"	"Nuclear receptor subfamily 4 group A member 2"	"P43354"	"SINGLE PROTEIN"	"Homo sapiens"	"279"	"712"	"9606"	"False"
"CHEMBL2111325"	"PPAR alpha/gamma"	"P37231|Q07869"	"SELECTIVITY GROUP"	"Homo sapiens"	"95"	"196"	"9606"	"False"
"CHEMBL5465238"	"PML-RARalpha"	"P10276|P29590"	"CHIMERIC PROTEIN"	"Homo sapiens"	"12"	"28"	"9606"	"False"
"CHEMBL1870"	"Retinoid X receptor beta"	"P28702"	"SINGLE PROTEIN"	"Homo sapiens"	"449"	"803"	"9606"	"False"
"CHEMBL1961792"	"Nuclear receptor subfamily 4 group A member 3"	"Q92570"	"SINGLE PROTEIN"	"Homo sapiens"	"36"	"83"	"9606"	"False"
"CHEMBL3885631"	"Retinoic acid receptor RXR-alpha/Retinoic acid receptor beta"	"P10826|P19793"	"PROTEIN COMPLEX"	"Homo sapiens"	"11"	"11"	"9606"	"False"
"CHEMBL2363071"	"Retinoid receptor"	"P28702|P13631|P48443|P10826|P10276|P19793"	"PROTEIN FAMILY"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4374"	"Photoreceptor-specific nuclear receptor"	"Q9Y5X4"	"SINGLE PROTEIN"	"Homo sapiens"	"483"	"502"	"9606"	"False"
"CHEMBL3430883"	"Retinoic acid receptor alpha/Retinoid X receptor alpha"	"P10276|P19793"	"PROTEIN COMPLEX"	"Homo sapiens"	"21"	"28"	"9606"	"False"
"CHEMBL4748219"	"VHL/Progesterone receptor"	"P06401|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4748225"	"VHL/Vitamin D3 receptor"	"P11473|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL1795094"	"Nuclear receptor subfamily 0 group B member 1"	"P51843"	"SINGLE PROTEIN"	"Homo sapiens"	"492"	"493"	"9606"	"False"
"CHEMBL4523724"	"VHL/Steroid hormone receptor ERR2"	"O95718|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4523653"	"Androgen receptor/PELP1"	"P10275|Q8IZL8"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4245"	"Estrogen-related receptor gamma"	"P62508"	"SINGLE PROTEIN"	"Homo sapiens"	"308"	"593"	"9606"	"False"
"CHEMBL3429"	"Estrogen-related receptor alpha"	"P11474"	"SINGLE PROTEIN"	"Homo sapiens"	"370"	"573"	"9606"	"False"
"CHEMBL1961791"	"Nuclear receptor subfamily 2 group F member 6"	"P10588"	"SINGLE PROTEIN"	"Homo sapiens"	"2"	"2"	"9606"	"False"
"CHEMBL2008"	"Retinoic acid receptor beta"	"P10826"	"SINGLE PROTEIN"	"Homo sapiens"	"642"	"1239"	"9606"	"False"
"CHEMBL2061"	"Retinoid X receptor alpha"	"P19793"	"SINGLE PROTEIN"	"Homo sapiens"	"1704"	"3765"	"9606"	"False"
"CHEMBL2004"	"Retinoid X receptor gamma"	"P48443"	"SINGLE PROTEIN"	"Homo sapiens"	"422"	"718"	"9606"	"False"
"CHEMBL1961787"	"Nuclear receptor subfamily 2 group C member 1"	"P13056"	"SINGLE PROTEIN"	"Homo sapiens"	"3"	"5"	"9606"	"False"
"CHEMBL1961784"	"Nuclear receptor subfamily 1 group D member 2"	"Q14995"	"SINGLE PROTEIN"	"Homo sapiens"	"8"	"17"	"9606"	"False"
"CHEMBL1961783"	"Nuclear receptor subfamily 1 group D member 1"	"P20393"	"SINGLE PROTEIN"	"Homo sapiens"	"170"	"372"	"9606"	"False"
"CHEMBL3885521"	"Baculoviral IAP repeat-containing protein 2/Estrogen receptor"	"P03372|Q13490"	"PROTEIN COMPLEX"	"Homo sapiens"	"4"	"7"	"9606"	"False"
"CHEMBL3091268"	"Nuclear receptor ROR-beta"	"Q92753"	"SINGLE PROTEIN"	"Homo sapiens"	"459"	"607"	"9606"	"False"
"CHEMBL4523749"	"Protein cereblon/Steroid hormone receptor ERR1"	"P11474|Q96SW2"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL5503"	"Nuclear receptor subfamily 1 group I member 3"	"Q14994"	"SINGLE PROTEIN"	"Homo sapiens"	"287"	"773"	"9606"	"False"
"CHEMBL5868"	"Nuclear receptor ROR-alpha"	"P35398"	"SINGLE PROTEIN"	"Homo sapiens"	"395"	"570"	"9606"	"False"
"CHEMBL1994"	"Mineralocorticoid receptor"	"P08235"	"SINGLE PROTEIN"	"Homo sapiens"	"1434"	"2137"	"9606"	"False"
"CHEMBL3885613"	"Nuclear receptor subfamily 4 group A member 2/Retinoic acid receptor RXR-alpha"	"P19793|P43354"	"PROTEIN COMPLEX"	"Homo sapiens"	"8"	"14"	"9606"	"False"
"CHEMBL4523754"	"VHL/Cullin-2/Estrogen receptor alpha"	"P03372|P40337|Q13617"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"37"	"138"	"9606"	"False"
"CHEMBL3430878"	"Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-beta"	"P19793|P55055"	"PROTEIN COMPLEX"	"Homo sapiens"	"68"	"97"	"9606"	"False"
"CHEMBL1860"	"Thyroid hormone receptor alpha"	"P10827"	"SINGLE PROTEIN"	"Homo sapiens"	"615"	"905"	"9606"	"False"
"CHEMBL4523684"	"Protein cereblon/Androgen receptor"	"P10275|Q96SW2"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"138"	"577"	"9606"	"False"
"CHEMBL4523730"	"VHL/Androgen receptor"	"P10275|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"155"	"519"	"9606"	"False"
"CHEMBL4523738"	"VHL/Estrogen-related receptor gamma"	"P62508|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL3885632"	"Retinoic acid receptor RXR-alpha/Vitamin D3 receptor"	"P11473|P19793"	"PROTEIN COMPLEX"	"Homo sapiens"	"15"	"15"	"9606"	"False"
"CHEMBL1871"	"Androgen Receptor"	"P10275"	"SINGLE PROTEIN"	"Homo sapiens"	"5994"	"12499"	"9606"	"False"
"CHEMBL5716"	"Nuclear receptor subfamily 2 group C member 2"	"P49116"	"SINGLE PROTEIN"	"Homo sapiens"	"40"	"46"	"9606"	"False"
"CHEMBL3544"	"Orphan nuclear receptor LRH-1"	"O00482"	"SINGLE PROTEIN"	"Homo sapiens"	"380"	"740"	"9606"	"False"
"CHEMBL2095162"	"Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 1"	"P37231|Q15788"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"749"	"749"	"9606"	"False"
"CHEMBL5465555"	"VHL-Estrogen receptor beta"	"Q92731|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"2"	"2"	"9606"	"False"
"CHEMBL4523721"	"Estrogen receptor/E3 ubiquitin-protein ligase XIAP"	"P03372|P98170"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"5"	"7"	"9606"	"False"
"CHEMBL4523713"	"Protein cereblon/Cullin-4A/Estrogen receptor"	"P03372|Q96SW2|Q13619"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"2"	"8"	"9606"	"False"
"CHEMBL2034"	"Glucocorticoid receptor"	"P04150"	"SINGLE PROTEIN"	"Homo sapiens"	"5548"	"15052"	"9606"	"False"
"CHEMBL1961788"	"Nuclear receptor subfamily 2 group E member 1"	"Q9Y466"	"SINGLE PROTEIN"	"Homo sapiens"	"42"	"119"	"9606"	"False"
"CHEMBL4296142"	"von Hippel-Lindau disease tumor suppressor/Steroid hormone receptor ERR1"	"P11474|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"16"	"46"	"9606"	"False"
"CHEMBL2111394"	"RXR alpha/PPAR gamma"	"P37231|P19793"	"PROTEIN COMPLEX"	"Homo sapiens"	"53"	"112"	"9606"	"False"
"CHEMBL1961789"	"COUP transcription factor 1"	"P10589"	"SINGLE PROTEIN"	"Homo sapiens"	"7"	"7"	"9606"	"False"
"CHEMBL1961793"	"Nuclear receptor subfamily 6 group A member 1"	"Q15406"	"SINGLE PROTEIN"	"Homo sapiens"	"3"	"3"	"9606"	"False"
"CHEMBL2808"	"LXR-alpha"	"Q13133"	"SINGLE PROTEIN"	"Homo sapiens"	"1398"	"2946"	"9606"	"False"
"CHEMBL1961786"	"Hepatocyte nuclear factor 4-gamma"	"Q14541"	"SINGLE PROTEIN"	"Homo sapiens"	"2"	"2"	"9606"	"False"
"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"P37231"	"SINGLE PROTEIN"	"Homo sapiens"	"8010"	"15429"	"9606"	"False"
"CHEMBL1741186"	"Nuclear receptor ROR-gamma"	"P51449"	"SINGLE PROTEIN"	"Homo sapiens"	"4371"	"8867"	"9606"	"False"
"CHEMBL1293229"	"Nuclear receptor subfamily 4 group A member 1"	"P22736"	"SINGLE PROTEIN"	"Homo sapiens"	"389"	"528"	"9606"	"False"
