Uniprot_id,Family,KEGG,ChEMBL,GtoPdb,score
A5X5Y0,IC,1,1,1,3
A8MPY1,IC,1,1,1,3
O00142,Enzymes,1,1,0,2
O00180,IC,1,0,1,2
O00204,Enzymes,1,1,0,2
O00206,Others,0,0,0,0
O00222,GPCR,1,1,1,3
O00238,Enzymes,1,1,0,2
O00264,Others,0,0,0,0
O00303,Enzymes,0,1,0,1
O00305,IC,1,1,0,2
O00329,Enzymes,1,1,1,3
O00408,Enzymes,1,1,1,3
O00444,Enzymes,1,1,1,3
O00469,Enzymes,1,1,0,2
O00555,IC,1,1,1,3
O00591,IC,1,1,1,3
O00750,Enzymes,1,1,1,3
O00763,Enzymes,1,1,1,3
O00764,Enzymes,1,1,0,2
O14556,Enzymes,1,0,0,1
O14578,Enzymes,1,1,1,3
O14618,Others,0,0,0,0
O14649,IC,1,1,1,3
O14730,Enzymes,1,1,1,3
O14732,Enzymes,1,0,1,2
O14746,Enzymes,1,1,0,2
O14757,Enzymes,1,1,1,3
O14764,IC,1,1,1,3
O14788,Others,0,0,0,0
O14791,Others,0,0,0,0
O14832,Enzymes,1,0,0,1
O14841,Enzymes,1,0,0,1
O14842,GPCR,1,1,1,3
O14920,Enzymes,1,1,1,3
O14936,Enzymes,1,1,1,3
O14939,Enzymes,1,1,1,3
O14958,Others,0,0,0,0
O14964,Others,0,0,0,0
O14965,Enzymes,1,1,1,3
O14976,Enzymes,1,1,1,3
O14980,Others,0,0,0,0
O14983,Enzymes,1,1,0,2
O15067,Enzymes,1,1,0,2
O15075,Enzymes,1,1,1,3
O15111,Enzymes,1,1,1,3
O15146,Enzymes,1,1,0,2
O15197,Enzymes,1,1,0,2
O15264,Enzymes,1,1,1,3
O15304,Others,0,0,0,0
O15342,Others,0,0,0,0
O15350,Others,0,0,0,0
O15379,Enzymes,1,0,1,2
O15382,Enzymes,1,1,1,3
O15392,Others,0,0,0,0
O15393,Enzymes,1,1,1,3
O15399,IC,1,1,1,3
O15528,Enzymes,1,1,1,3
O15530,Enzymes,1,1,1,3
O15540,Others,0,0,0,0
O15554,IC,1,1,1,3
O43169,Others,0,0,0,0
O43193,GPCR,1,1,1,3
O43252,Enzymes,1,0,0,1
O43283,Enzymes,1,1,1,3
O43293,Enzymes,1,1,1,3
O43306,Enzymes,1,1,1,3
O43353,Enzymes,1,1,1,3
O43451,Enzymes,1,1,1,3
O43497,IC,1,1,1,3
O43525,IC,1,1,1,3
O43526,IC,1,1,1,3
O43570,Enzymes,1,1,1,3
O43613,GPCR,1,1,1,3
O43614,GPCR,1,1,1,3
O43708,Enzymes,1,1,0,2
O43741,Enzymes,0,1,1,2
O43766,Enzymes,1,0,0,1
O43772,Others,0,0,0,0
O60218,Enzymes,1,1,0,2
O60266,Enzymes,1,1,1,3
O60285,Enzymes,1,1,1,3
O60359,IC,1,1,0,2
O60391,IC,1,1,1,3
O60427,Enzymes,1,1,0,2
O60488,Enzymes,1,1,0,2
O60494,Others,0,0,0,0
O60502,Enzymes,1,1,1,3
O60503,Enzymes,1,1,1,3
O60568,Enzymes,1,1,0,2
O60603,Enzymes,0,1,0,1
O60656,Enzymes,1,1,0,2
O60658,Enzymes,1,1,1,3
O60674,Enzymes,1,1,1,3
O60701,Enzymes,1,0,0,1
O60706,IC,0,1,0,1
O60733,Enzymes,1,1,1,3
O60760,Enzymes,1,1,1,3
O60840,IC,1,1,1,3
O60858,Enzymes,1,0,0,1
O60894,GPCR,1,1,0,2
O60895,GPCR,1,1,0,2
O60896,GPCR,1,1,0,2
O60939,IC,1,1,0,2
O75116,Enzymes,1,1,1,3
O75185,Enzymes,1,0,0,1
O75311,IC,1,1,1,3
O75340,Others,0,0,0,0
O75348,Others,0,0,0,0
O75385,Enzymes,1,1,1,3
O75390,Enzymes,1,1,0,2
O75460,Enzymes,1,1,1,3
O75469,NR,1,1,1,3
O75600,Enzymes,1,0,0,1
O75636,Others,0,0,0,0
O75747,Enzymes,1,1,1,3
O75762,IC,1,1,1,3
O75838,Others,0,0,0,0
O75874,Enzymes,1,1,1,3
O75880,Others,0,0,0,0
O75891,Enzymes,1,0,0,1
O75897,Enzymes,0,1,0,1
O75899,GPCR,1,1,1,3
O75908,Enzymes,1,1,0,2
O75911,Enzymes,1,0,0,1
O75912,Enzymes,1,1,0,2
O75914,Enzymes,1,1,1,3
O75936,Enzymes,1,1,0,2
O75964,Others,0,0,0,0
O76074,Enzymes,1,1,1,3
O76083,Enzymes,1,1,1,3
O94788,Enzymes,1,1,0,2
O94804,Enzymes,1,1,1,3
O94925,Enzymes,1,1,1,3
O95069,IC,1,1,1,3
O95180,IC,1,1,1,3
O95237,Enzymes,1,1,0,2
O95259,IC,1,1,1,3
O95263,Enzymes,1,1,1,3
O95264,IC,1,1,1,3
O95298,Enzymes,0,1,0,1
