Uniprot_id,Category
O00141,Enzymes
O00311,Enzymes
O00329,Enzymes
O00408,Enzymes
O00418,Enzymes
O00443,Enzymes
O00444,Enzymes
O00459,Enzymes
O00487,Enzymes
O00506,Enzymes
O00748,Enzymes
O00750,Enzymes
O00763,Enzymes
O14578,Enzymes
O14672,Enzymes
O14684,Enzymes
O14686,Enzymes
O14730,Enzymes
O14733,Enzymes
O14744,Enzymes
O14757,Enzymes
O14874,Enzymes
O14920,Enzymes
O14936,Enzymes
O14939,Enzymes
O14965,Enzymes
O14976,Enzymes
O14986,Enzymes
O15054,Enzymes
O15075,Enzymes
O15111,Enzymes
O15121,Enzymes
O15164,Enzymes
O15229,Enzymes
O15264,Enzymes
O15269,Enzymes
O15270,Enzymes
O15296,Enzymes
O15297,Enzymes
O15357,Enzymes
O15379,Enzymes
O15382,Enzymes
O15393,Enzymes
O15496,Enzymes
O15527,Enzymes
O15528,Enzymes
O15530,Enzymes
O15550,Enzymes
O43174,Enzymes
O43184,Enzymes
O43283,Enzymes
O43293,Enzymes
O43306,Enzymes
O43318,Enzymes
O43353,Enzymes
O43451,Enzymes
O43463,Enzymes
O43570,Enzymes
O43683,Enzymes
O43741,Enzymes
O43924,Enzymes
O60235,Enzymes
O60259,Enzymes
O60266,Enzymes
O60285,Enzymes
O60331,Enzymes
O60341,Enzymes
O60502,Enzymes
O60503,Enzymes
O60658,Enzymes
O60674,Enzymes
O60678,Enzymes
O60733,Enzymes
O60760,Enzymes
O60885,Enzymes
O60906,Enzymes
O60911,Enzymes
O75116,Enzymes
O75151,Enzymes
O75164,Enzymes
O75173,Enzymes
O75342,Enzymes
O75365,Enzymes
O75385,Enzymes
O75417,Enzymes
O75460,Enzymes
O75530,Enzymes
O75582,Enzymes
O75604,Enzymes
O75608,Enzymes
O75676,Enzymes
O75747,Enzymes
O75874,Enzymes
O75907,Enzymes
O75914,Enzymes
O75962,Enzymes
O76039,Enzymes
O76074,Enzymes
O76083,Enzymes
O94782,Enzymes
O94804,Enzymes
O94806,Enzymes
O94921,Enzymes
O94925,Enzymes
O94953,Enzymes
O95140,Enzymes
O95251,Enzymes
O95263,Enzymes
O95271,Enzymes
O95372,Enzymes
O95398,Enzymes
O95470,Enzymes
O95497,Enzymes
O95622,Enzymes
O95696,Enzymes
O95747,Enzymes
O95749,Enzymes
O95819,Enzymes
O95822,Enzymes
O95835,Enzymes
O96013,Enzymes
O96017,Enzymes
O96028,Enzymes
P00374,Enzymes
P00390,Enzymes
P00451,Enzymes
P00491,Enzymes
P00519,Enzymes
P00734,Enzymes
P00736,Enzymes
P00740,Enzymes
P00742,Enzymes
P00746,Enzymes
P00747,Enzymes
P00748,Enzymes
P00749,Enzymes
P00750,Enzymes
P00751,Enzymes
P00797,Enzymes
P00813,Enzymes
P00915,Enzymes
P00918,Enzymes
P01111,Enzymes
P01112,Enzymes
P01116,Enzymes
P03951,Enzymes
P03952,Enzymes
P03956,Enzymes
P04035,Enzymes
P04040,Enzymes
P04049,Enzymes
P04054,Enzymes
P04062,Enzymes
P04070,Enzymes
P04746,Enzymes
P04798,Enzymes
P04818,Enzymes
P04839,Enzymes
P05089,Enzymes
P05091,Enzymes
P05093,Enzymes
P05108,Enzymes
P05129,Enzymes
P05164,Enzymes
P05177,Enzymes
P05181,Enzymes
P05771,Enzymes
P06239,Enzymes
P06241,Enzymes
P06276,Enzymes
P06493,Enzymes
P06746,Enzymes
P06870,Enzymes
P07202,Enzymes
P07288,Enzymes
P07332,Enzymes
P07339,Enzymes
P07384,Enzymes
P07477,Enzymes
P07478,Enzymes
P07711,Enzymes
P07858,Enzymes
P07947,Enzymes
P07948,Enzymes
P08246,Enzymes
P08253,Enzymes
P08254,Enzymes
P08311,Enzymes
P08473,Enzymes
P08631,Enzymes
P08684,Enzymes
P08686,Enzymes
P08709,Enzymes
P09172,Enzymes
P09237,Enzymes
P09238,Enzymes
P09601,Enzymes
P09668,Enzymes
P09769,Enzymes
P09874,Enzymes
P09917,Enzymes
P09936,Enzymes
P09958,Enzymes
P09960,Enzymes
P0C1S8,Enzymes
P0C869,Enzymes
P0DJD9,Enzymes
P0DPD6,Enzymes
P10144,Enzymes
P10253,Enzymes
P10323,Enzymes
P10398,Enzymes
P10619,Enzymes
P10632,Enzymes
P10635,Enzymes
P10644,Enzymes
P11086,Enzymes
P11274,Enzymes
P11309,Enzymes
P11387,Enzymes
P11388,Enzymes
P11509,Enzymes
P11511,Enzymes
P11712,Enzymes
P11802,Enzymes
P11926,Enzymes
P12268,Enzymes
P12821,Enzymes
P12931,Enzymes
P12955,Enzymes
P13497,Enzymes
P13726,Enzymes
P13798,Enzymes
P13861,Enzymes
P14324,Enzymes
P14555,Enzymes
P14618,Enzymes
P14679,Enzymes
P14735,Enzymes
P14780,Enzymes
P14902,Enzymes
P15056,Enzymes
P15085,Enzymes
P15086,Enzymes
P15088,Enzymes
P15121,Enzymes
P15144,Enzymes
P15169,Enzymes
P15374,Enzymes
P15538,Enzymes
P15735,Enzymes
P16050,Enzymes
P16152,Enzymes
P16233,Enzymes
P16499,Enzymes
P16519,Enzymes
P16591,Enzymes
P17252,Enzymes
P17405,Enzymes
P17538,Enzymes
P17612,Enzymes
P17655,Enzymes
P17706,Enzymes
P17752,Enzymes
P18031,Enzymes
P18054,Enzymes
P18545,Enzymes
P19099,Enzymes
P19174,Enzymes
P19525,Enzymes
P19784,Enzymes
P19835,Enzymes
P20618,Enzymes
P20711,Enzymes
P20794,Enzymes
P20813,Enzymes
P20815,Enzymes
P20839,Enzymes
P20853,Enzymes
P21127,Enzymes
P21397,Enzymes
P21589,Enzymes
P21675,Enzymes
P21964,Enzymes
P21980,Enzymes
P22102,Enzymes
P22303,Enzymes
P22309,Enzymes
P22612,Enzymes
P22694,Enzymes
P22748,Enzymes
P22894,Enzymes
P23141,Enzymes
P23219,Enzymes
P23443,Enzymes
P23458,Enzymes
P23526,Enzymes
P23677,Enzymes
P23743,Enzymes
P23786,Enzymes
P23921,Enzymes
P23946,Enzymes
P24158,Enzymes
P24347,Enzymes
P24462,Enzymes
P24723,Enzymes
P24752,Enzymes
P24903,Enzymes
P24941,Enzymes
P25098,Enzymes
P25440,Enzymes
P25774,Enzymes
P26358,Enzymes
P27169,Enzymes
P27338,Enzymes
P27361,Enzymes
P27448,Enzymes
P27487,Enzymes
P27815,Enzymes
P27986,Enzymes
P28062,Enzymes
P28065,Enzymes
P28072,Enzymes
P28074,Enzymes
P28300,Enzymes
P28329,Enzymes
P28482,Enzymes
P28838,Enzymes
P28845,Enzymes
P29120,Enzymes
P29122,Enzymes
P29144,Enzymes
P29375,Enzymes
P29466,Enzymes
P29474,Enzymes
P29475,Enzymes
P29597,Enzymes
P30101,Enzymes
P30291,Enzymes
P30519,Enzymes
P30613,Enzymes
P31152,Enzymes
P31213,Enzymes
P31323,Enzymes
P31350,Enzymes
P31749,Enzymes
P31751,Enzymes
P31944,Enzymes
P32019,Enzymes
P32298,Enzymes
P32320,Enzymes
P32754,Enzymes
P32929,Enzymes
P33260,Enzymes
P33261,Enzymes
P33981,Enzymes
P34913,Enzymes
P34947,Enzymes
P35030,Enzymes
P35218,Enzymes
P35228,Enzymes
P35270,Enzymes
P35354,Enzymes
P35557,Enzymes
P35626,Enzymes
P35913,Enzymes
P36507,Enzymes
P36776,Enzymes
P36969,Enzymes
P37059,Enzymes
P37268,Enzymes
P39877,Enzymes
P39900,Enzymes
P40145,Enzymes
P40261,Enzymes
P40313,Enzymes
P40337,Enzymes
P40818,Enzymes
P41229,Enzymes
P41240,Enzymes
P41279,Enzymes
P41743,Enzymes
P42330,Enzymes
P42336,Enzymes
P42338,Enzymes
P42345,Enzymes
P42356,Enzymes
P42574,Enzymes
P42575,Enzymes
P42679,Enzymes
P42680,Enzymes
P42681,Enzymes
P42684,Enzymes
P42685,Enzymes
P42785,Enzymes
P42892,Enzymes
P43166,Enzymes
P43235,Enzymes
P43250,Enzymes
P43403,Enzymes
P43405,Enzymes
P45452,Enzymes
P45974,Enzymes
P45983,Enzymes
P45984,Enzymes
P45985,Enzymes
P46734,Enzymes
P47712,Enzymes
P47989,Enzymes
P48052,Enzymes
P48426,Enzymes
P48449,Enzymes
P48729,Enzymes
P48730,Enzymes
P48735,Enzymes
P48736,Enzymes
P48775,Enzymes
P49137,Enzymes
P49327,Enzymes
P49354,Enzymes
P49356,Enzymes
P49662,Enzymes
P49674,Enzymes
P49721,Enzymes
P49759,Enzymes
P49760,Enzymes
P49761,Enzymes
P49768,Enzymes
P49810,Enzymes
P49840,Enzymes
P49841,Enzymes
P49862,Enzymes
P49902,Enzymes
P49961,Enzymes
P50053,Enzymes
P50148,Enzymes
P50281,Enzymes
P50416,Enzymes
P50579,Enzymes
P50613,Enzymes
P50750,Enzymes
P51159,Enzymes
P51451,Enzymes
P51511,Enzymes
P51512,Enzymes
P51589,Enzymes
P51617,Enzymes
P51649,Enzymes
P51812,Enzymes
P51813,Enzymes
P51817,Enzymes
P51828,Enzymes
P51878,Enzymes
P51955,Enzymes
P51957,Enzymes
P52333,Enzymes
P52564,Enzymes
P53350,Enzymes
P53355,Enzymes
P53396,Enzymes
P53582,Enzymes
P53602,Enzymes
P53634,Enzymes
P53667,Enzymes
P53671,Enzymes
P53778,Enzymes
P54132,Enzymes
P54578,Enzymes
P54619,Enzymes
P54646,Enzymes
P54687,Enzymes
P54750,Enzymes
P55210,Enzymes
P55211,Enzymes
P55212,Enzymes
P55263,Enzymes
P56524,Enzymes
P56817,Enzymes
P57059,Enzymes
P57078,Enzymes
P62136,Enzymes
P62937,Enzymes
P62942,Enzymes
P67775,Enzymes
P67870,Enzymes
P68400,Enzymes
P78329,Enzymes
P78356,Enzymes
P78362,Enzymes
P78368,Enzymes
P78417,Enzymes
P78527,Enzymes
P78536,Enzymes
P78540,Enzymes
P80365,Enzymes
P80404,Enzymes
P98187,Enzymes
Q00526,Enzymes
Q00532,Enzymes
Q00534,Enzymes
Q00535,Enzymes
Q00536,Enzymes
Q00537,Enzymes
Q00987,Enzymes
Q01064,Enzymes
Q01970,Enzymes
Q02127,Enzymes
Q02156,Enzymes
Q02318,Enzymes
Q02750,Enzymes
Q02779,Enzymes
Q02790,Enzymes
Q02928,Enzymes
Q03164,Enzymes
Q04609,Enzymes
Q04759,Enzymes
