Uniprot_id,Category
O00142,Enzymes
O00204,Enzymes
O00238,Enzymes
O00329,Enzymes
O00408,Enzymes
O00444,Enzymes
O00469,Enzymes
O00750,Enzymes
O00763,Enzymes
O00764,Enzymes
O14556,Enzymes
O14578,Enzymes
O14730,Enzymes
O14732,Enzymes
O14746,Enzymes
O14757,Enzymes
O14832,Enzymes
O14841,Enzymes
O14920,Enzymes
O14936,Enzymes
O14939,Enzymes
O14965,Enzymes
O14976,Enzymes
O14983,Enzymes
O15067,Enzymes
O15075,Enzymes
O15111,Enzymes
O15146,Enzymes
O15197,Enzymes
O15264,Enzymes
O15379,Enzymes
O15382,Enzymes
O15393,Enzymes
O15528,Enzymes
O15530,Enzymes
O43252,Enzymes
O43283,Enzymes
O43293,Enzymes
O43306,Enzymes
O43353,Enzymes
O43451,Enzymes
O43570,Enzymes
O43708,Enzymes
O43766,Enzymes
O60218,Enzymes
O60266,Enzymes
O60285,Enzymes
O60427,Enzymes
O60488,Enzymes
O60502,Enzymes
O60503,Enzymes
O60568,Enzymes
O60656,Enzymes
O60658,Enzymes
O60674,Enzymes
O60701,Enzymes
O60733,Enzymes
O60760,Enzymes
O60858,Enzymes
O75116,Enzymes
O75185,Enzymes
O75385,Enzymes
O75390,Enzymes
O75460,Enzymes
O75600,Enzymes
O75747,Enzymes
O75874,Enzymes
O75891,Enzymes
O75908,Enzymes
O75911,Enzymes
O75912,Enzymes
O75914,Enzymes
O75936,Enzymes
O76074,Enzymes
O76083,Enzymes
O94788,Enzymes
O94804,Enzymes
O94925,Enzymes
O95237,Enzymes
O95263,Enzymes
O95363,Enzymes
O95622,Enzymes
O95747,Enzymes
O95749,Enzymes
O95819,Enzymes
O95835,Enzymes
O95864,Enzymes
O95865,Enzymes
O95954,Enzymes
O96007,Enzymes
O96013,Enzymes
O96017,Enzymes
P00325,Enzymes
P00326,Enzymes
P00338,Enzymes
P00352,Enzymes
P00367,Enzymes
P00374,Enzymes
P00387,Enzymes
P00390,Enzymes
P00395,Enzymes
P00439,Enzymes
P00441,Enzymes
P00450,Enzymes
P00480,Enzymes
P00491,Enzymes
P00492,Enzymes
P00505,Enzymes
P00519,Enzymes
P00533,Enzymes
P00558,Enzymes
P00734,Enzymes
P00736,Enzymes
P00740,Enzymes
P00742,Enzymes
P00747,Enzymes
P00748,Enzymes
P00749,Enzymes
P00750,Enzymes
P00751,Enzymes
P00797,Enzymes
P00813,Enzymes
P00915,Enzymes
P00918,Enzymes
P00966,Enzymes
P02794,Enzymes
P03886,Enzymes
P03951,Enzymes
P03952,Enzymes
P04035,Enzymes
P04040,Enzymes
P04049,Enzymes
P04054,Enzymes
P04070,Enzymes
P04075,Enzymes
P04179,Enzymes
P04406,Enzymes
P04626,Enzymes
P04629,Enzymes
P04746,Enzymes
P04798,Enzymes
P04818,Enzymes
P05023,Enzymes
P05091,Enzymes
P05093,Enzymes
P05108,Enzymes
P05129,Enzymes
P05164,Enzymes
P05177,Enzymes
P05186,Enzymes
P05187,Enzymes
P05771,Enzymes
P06213,Enzymes
P06239,Enzymes
P06241,Enzymes
P06276,Enzymes
P06280,Enzymes
P06493,Enzymes
P06576,Enzymes
P06732,Enzymes
P06733,Enzymes
P06744,Enzymes
P06746,Enzymes
P06858,Enzymes
P06870,Enzymes
P07098,Enzymes
P07101,Enzymes
P07202,Enzymes
P07237,Enzymes
P07288,Enzymes
P07327,Enzymes
P07332,Enzymes
P07333,Enzymes
P07451,Enzymes
P07477,Enzymes
P07478,Enzymes
P07686,Enzymes
P07711,Enzymes
P07741,Enzymes
P07814,Enzymes
P07947,Enzymes
P07948,Enzymes
P07949,Enzymes
P07998,Enzymes
P08069,Enzymes
P08183,Enzymes
P08243,Enzymes
P08253,Enzymes
P08263,Enzymes
P08294,Enzymes
P08473,Enzymes
P08581,Enzymes
P08631,Enzymes
P08684,Enzymes
P08686,Enzymes
P09172,Enzymes
P09210,Enzymes
P09211,Enzymes
P09488,Enzymes
P09601,Enzymes
P09619,Enzymes
P09769,Enzymes
P09874,Enzymes
P09884,Enzymes
P09917,Enzymes
P09936,Enzymes
P09958,Enzymes
P09960,Enzymes
P0CG30,Enzymes
P0DJD9,Enzymes
P10253,Enzymes
P10515,Enzymes
P10632,Enzymes
P10635,Enzymes
P10696,Enzymes
P10721,Enzymes
P10809,Enzymes
P11021,Enzymes
P11086,Enzymes
P11216,Enzymes
P11217,Enzymes
P11274,Enzymes
P11309,Enzymes
P11362,Enzymes
P11387,Enzymes
P11388,Enzymes
P11413,Enzymes
P11511,Enzymes
P11586,Enzymes
P11712,Enzymes
P11802,Enzymes
P11926,Enzymes
P12268,Enzymes
P12277,Enzymes
P12532,Enzymes
P12821,Enzymes
P12931,Enzymes
P13196,Enzymes
P13569,Enzymes
P13637,Enzymes
P13716,Enzymes
P13995,Enzymes
P14060,Enzymes
P14061,Enzymes
P14324,Enzymes
P14410,Enzymes
P14550,Enzymes
P14555,Enzymes
P14616,Enzymes
P14618,Enzymes
P14679,Enzymes
P14735,Enzymes
P14780,Enzymes
P14902,Enzymes
P14920,Enzymes
P15056,Enzymes
P15086,Enzymes
P15104,Enzymes
P15121,Enzymes
P15144,Enzymes
P15169,Enzymes
P15531,Enzymes
P15538,Enzymes
P15559,Enzymes
P16050,Enzymes
P16066,Enzymes
P16152,Enzymes
P16233,Enzymes
P16234,Enzymes
P16455,Enzymes
P16499,Enzymes
P16591,Enzymes
P16615,Enzymes
P17050,Enzymes
P17174,Enzymes
P17252,Enzymes
P17405,Enzymes
P17540,Enzymes
P17612,Enzymes
P17735,Enzymes
P17752,Enzymes
P17812,Enzymes
P17844,Enzymes
P17948,Enzymes
P18031,Enzymes
P18405,Enzymes
P18669,Enzymes
P18858,Enzymes
P19021,Enzymes
P19099,Enzymes
P19367,Enzymes
P19525,Enzymes
P19784,Enzymes
P19801,Enzymes
P19971,Enzymes
P20020,Enzymes
P20594,Enzymes
P20618,Enzymes
P20648,Enzymes
P20711,Enzymes
P20815,Enzymes
P20839,Enzymes
P21266,Enzymes
P21397,Enzymes
P21549,Enzymes
P21589,Enzymes
P21695,Enzymes
P21709,Enzymes
P21802,Enzymes
P21860,Enzymes
P21964,Enzymes
P22033,Enzymes
P22102,Enzymes
P22303,Enzymes
P22309,Enzymes
P22314,Enzymes
P22413,Enzymes
P22455,Enzymes
P22557,Enzymes
P22607,Enzymes
P22694,Enzymes
P22748,Enzymes
P22830,Enzymes
P22894,Enzymes
P23141,Enzymes
P23219,Enzymes
P23381,Enzymes
P23458,Enzymes
P23469,Enzymes
P23526,Enzymes
P23634,Enzymes
P23743,Enzymes
P23786,Enzymes
P23921,Enzymes
P24462,Enzymes
P24752,Enzymes
P24941,Enzymes
P25092,Enzymes
P25774,Enzymes
P25788,Enzymes
P26358,Enzymes
P26439,Enzymes
P27169,Enzymes
P27338,Enzymes
P27361,Enzymes
P27448,Enzymes
P27487,Enzymes
P27707,Enzymes
P27708,Enzymes
P27815,Enzymes
P28062,Enzymes
P28065,Enzymes
P28074,Enzymes
P28161,Enzymes
P28329,Enzymes
P28482,Enzymes
P28845,Enzymes
P29074,Enzymes
