lr,wd,b_size,n_hidden,mean_acc,mean_auc,mean_aupr,mean_mcc,mean_f1,mean_recall,mean_precision
0.001,1.00E-05,128,128,0.91546,0.96866,0.973,0.8311,0.91482,0.90808,0.92178
0.001,0,128,128,0.91524,0.96862,0.97334,0.83058,0.91478,0.9101,0.91962
0.001,1.00E-06,128,128,0.91498,0.96856,0.97254,0.83004,0.9145,0.9095,0.91964
0.001,0.0001,128,128,0.91474,0.96784,0.97224,0.82962,0.914,0.9062,0.92202
0.0001,1.00E-06,128,128,0.91122,0.96662,0.97192,0.82254,0.91078,0.90618,0.91552
0.0001,0.0001,128,128,0.91256,0.96646,0.97162,0.82524,0.91208,0.907,0.9173
0.0001,0.001,128,128,0.91232,0.96642,0.97156,0.82476,0.91186,0.9072,0.91668
0.0001,1.00E-05,128,128,0.91206,0.9663,0.97164,0.82424,0.91172,0.9081,0.91548
0.0001,0,128,128,0.91172,0.96616,0.97156,0.82358,0.91122,0.90598,0.91664
0.001,0.001,128,128,0.91162,0.96494,0.9686,0.82372,0.91022,0.89624,0.92476
1.00E-05,1.00E-05,128,128,0.89444,0.9553,0.96076,0.78908,0.8938,0.88842,0.8994
1.00E-05,1.00E-06,128,128,0.894,0.95514,0.96046,0.78824,0.8933,0.88732,0.8995
1.00E-05,0.0001,128,128,0.89318,0.95486,0.9602,0.7865,0.8927,0.8887,0.8968
1.00E-05,0.001,128,128,0.89216,0.95466,0.9599,0.78448,0.89174,0.88792,0.89564
1.00E-05,0,128,128,0.89278,0.95438,0.95974,0.78572,0.8922,0.88722,0.8973
,,,,,,,,,,
0.001,1.00E-05,64,128,0.91652,0.96838,0.97292,0.83316,0.91598,0.9103,0.92188
0.001,1.00E-05,256,128,0.91442,0.96832,0.97296,0.82892,0.91412,0.9108,0.91754
,,,,,,,,,,
0.001,1.00E-05,128,64,0.91512,0.96828,0.97266,0.83038,0.91448,0.9078,0.92136
0.001,1.00E-05,128,256,0.91452,0.96848,0.97268,0.82918,0.91402,0.9087,0.91952
