dataset,predict_type,input_type,lr,wd,b_size,n_hidden,h1,h2,h3,mean_auc,mean_aupr,mean_acc,mean_mcc,mean_f1
DTI,5_fold,e,0.001,1.00E-05,128,128,256,128,64,0.9752 ,0.9786 ,0.9262 ,0.8526 ,0.9253 
DTI,5_fold,e,0.0001,1.00E-05,128,128,256,128,64,0.9737 ,0.9772 ,0.9240 ,0.8482 ,0.9232 
DTI,5_fold,e,1.00E-05,1.00E-05,128,128,256,128,64,0.9684 ,0.9732 ,0.9144 ,0.8290 ,0.9141 
,,,,,,,,,,,,,,
DTI,5_fold,e,0.001,0.001,128,128,256,128,64,0.9728 ,0.9759 ,0.9221 ,0.8449 ,0.9207 
DTI,5_fold,e,0.001,0.0001,128,128,256,128,64,0.9741 ,0.9773 ,0.9248 ,0.8499 ,0.9239 
DTI,5_fold,e,0.001,1.00E-06,128,128,256,128,64,0.9751 ,0.9783 ,0.9256 ,0.8514 ,0.9249 
DTI,5_fold,e,0.001,0,128,128,256,128,64,0.9746 ,0.9781 ,0.9249 ,0.8499 ,0.9243 
,,,,,,,,,,,,,,
DTI,5_fold,e,0.001,1.00E-05,64,128,256,128,64,0.9750 ,0.9783 ,0.9251 ,0.8504 ,0.9243 
DTI,5_fold,e,0.001,1.00E-05,128,128,256,128,64,0.9743 ,0.9775 ,0.9253 ,0.8509 ,0.9246 
DTI,5_fold,e,0.001,1.00E-05,256,128,256,128,64,0.9744 ,0.9778 ,0.9248 ,0.8498 ,0.9241 
,,,,,,,,,,,,,,
DTI,5_fold,e,0.001,1.00E-05,128,64,256,128,64,0.9744 ,0.9778 ,0.9262 ,0.8527 ,0.9254 
DTI,5_fold,e,0.001,1.00E-05,128,128,256,128,64,0.9747 ,0.9780 ,0.9258 ,0.8519 ,0.9250 
DTI,5_fold,e,0.001,1.00E-05,128,256,256,128,64,0.9747 ,0.9778 ,0.9251 ,0.8505 ,0.9244 
,,,,,,,,,,,,,,
DTI,5_fold,e,0.001,1.00E-05,128,128,64,128,64,0.9743 ,0.9774 ,0.9247 ,0.8496 ,0.9239 
DTI,5_fold,e,0.001,1.00E-05,128,128,128,128,64,0.9744 ,0.9777 ,0.9254 ,0.8510 ,0.9246 
,,,,,,,,,,,,,,
DTI,5_fold,e,0.001,1.00E-05,128,128,256,256,64,0.9751 ,0.9780 ,0.9253 ,0.8508 ,0.9246 
DTI,5_fold,e,0.001,1.00E-05,128,128,256,64,64,0.9748 ,0.9775 ,0.9251 ,0.8504 ,0.9243 
,,,,,,,,,,,,,,
DTI,5_fold,e,0.001,1.00E-05,128,128,256,128,256,0.9752 ,0.9780 ,0.9253 ,0.8508 ,0.9245 
DTI,5_fold,e,0.001,1.00E-05,128,128,256,128,128,0.9747 ,0.9776 ,0.9250 ,0.8503 ,0.9243 
