DrugBank_id,Uniprot_id
DB00006,P00734
DB00007,P30968
DB00014,P30968
DB00035,P30518
DB00035,P47901
DB00035,P37288
DB00050,P30968
DB00091,P62937
DB00106,P30968
DB00136,P11473
DB00146,P11473
DB00153,P11473
DB00169,P11473
DB00175,P04035
DB00176,P31645
DB00177,P30556
DB00178,P12821
DB00180,P04150
DB00181,Q9UBS5
DB00181,O75899
DB00182,Q01959
DB00182,P23975
DB00184,P17787
DB00184,P43681
DB00186,P47870
DB00186,P18507
DB00186,P34903
DB00186,P28472
DB00186,P48169
DB00186,Q99928
DB00186,Q9UN88
DB00186,P14867
DB00186,O00591
DB00186,P18505
DB00186,Q8N1C3
DB00186,O14764
DB00186,P78334
DB00186,P47869
DB00186,P31644
DB00186,Q16445
DB00187,P07550
DB00187,P08588
DB00188,P43686
DB00188,P60896
DB00188,P48556
DB00188,P55036
DB00188,Q9UNM6
DB00188,P51665
DB00188,Q15008
DB00188,P40306
DB00188,O00231
DB00188,A5LHX3
DB00188,P49720
DB00188,Q16186
DB00188,P35998
DB00188,Q8TAA3
DB00188,O00232
DB00188,O43242
DB00188,Q13200
DB00188,P62195
DB00188,P17980
DB00188,P62333
DB00188,Q99436
DB00188,P62191
DB00188,P28070
DB00188,P60900
DB00188,O14818
DB00188,P49721
DB00188,P20618
DB00188,P28074
DB00188,P28062
DB00188,P28065
DB00188,Q99460
DB00188,O00487
DB00188,P25786
DB00188,P25787
DB00188,P25788
DB00188,P25789
DB00188,P28066
DB00188,P28072
DB00189,Q16445
DB00189,P31644
DB00189,P47869
DB00189,P78334
DB00189,P18505
DB00189,Q8N1C3
DB00189,Q99928
DB00189,P34903
DB00189,Q9UN88
DB00189,P48169
DB00189,P28472
DB00189,P18507
DB00189,P14867
DB00189,O00591
DB00189,P47870
DB00189,O14764
DB00190,P20711
DB00191,P23975
DB00192,Q9Y5Y9
DB00192,Q9NY46
DB00192,Q15858
DB00192,Q99250
DB00192,Q01118
DB00192,P35499
DB00192,Q9UI33
DB00192,P35498
DB00192,Q14524
DB00192,Q9UQD0
DB00193,P35372
DB00195,P08588
DB00197,P37231
DB00201,P30542
DB00201,P29274
DB00201,P0DMS8
DB00201,P29275
DB00202,Q04844
DB00202,Q07001
DB00202,P11230
DB00202,P07510
DB00202,P02708
DB00203,O76074
DB00204,Q12809
DB00206,Q05940
DB00208,Q9H244
DB00209,P20309
DB00209,P08172
DB00210,P10276
DB00210,P10826
DB00210,P13631
DB00211,P35368
DB00211,P25100
DB00211,P35348
DB00213,P51164
DB00213,P20648
DB00214,Q13621
DB00215,P31645
DB00216,P30939
DB00216,P28222
DB00216,P28221
DB00217,P23975
DB00219,P20309
DB00219,P11229
DB00221,P07550
DB00222,Q09428
DB00222,Q14654
DB00226,P23975
DB00227,P04035
DB00228,O95069
DB00228,O14649
DB00228,P57789
DB00228,Q9NPC2
DB00228,P23415
DB00228,P14867
DB00228,Q7Z418
DB00228,P31644
DB00228,P48167
DB00228,P47870
DB00228,Q16445
DB00228,P28472
DB00228,P18505
DB00228,O14764
DB00228,O00591
DB00228,P34903
DB00228,Q9UN88
DB00228,Q99928
DB00228,Q8N1C3
DB00228,P18507
DB00228,P48169
DB00228,P47869
DB00228,P78334
DB00230,Q06432
DB00230,Q9BXT2
DB00230,O60359
DB00230,Q8WXS5
DB00230,Q9UBN1
DB00230,Q9Y698
DB00230,P62955
DB00230,P54284
DB00230,Q02641
DB00230,Q08289
DB00230,O00305
DB00230,Q9UF02
DB00230,O60840
DB00230,O95180
DB00230,P54289
DB00230,Q13936
DB00230,Q15878
DB00230,Q8IZS8
DB00230,Q9NY47
DB00230,Q13698
