DrugBank_id,Uniprot_id
DB04884,P31645
DB12548,P30556
DB04839,P04150
DB06786,P04150
DB01440,Q9UBS5
DB01440,O75899
DB01579,Q01959
DB04889,Q01959
DB00217,P23975
DB00397,P23975
DB00865,P23975
DB01158,P23975
DB00273,P47870
DB00418,P47870
DB00474,P47870
DB00599,P47870
DB00659,P47870
DB01154,P47870
DB01198,P47870
DB04903,P47870
DB06470,P47870
DB06579,P47870
DB00273,P18507
DB00418,P18507
DB00474,P18507
DB00599,P18507
DB00659,P18507
DB00962,P18507
DB01154,P18507
DB04903,P18507
DB06470,P18507
DB00273,P34903
DB00474,P34903
DB00659,P34903
DB01154,P34903
DB06470,P34903
DB00273,P28472
DB00418,P28472
DB00474,P28472
DB00599,P28472
DB00659,P28472
DB01154,P28472
DB01198,P28472
DB04903,P28472
DB06470,P28472
DB06579,P28472
DB00273,P48169
DB00474,P48169
DB00659,P48169
DB01154,P48169
DB01198,P48169
DB04903,P48169
DB06470,P48169
DB06579,P48169
DB00273,Q99928
DB00418,Q99928
DB00474,Q99928
DB00599,Q99928
DB00659,Q99928
DB01154,Q99928
DB04903,Q99928
DB06470,Q99928
DB00273,Q9UN88
DB00418,Q9UN88
DB00474,Q9UN88
DB00599,Q9UN88
DB00659,Q9UN88
DB01154,Q9UN88
DB04903,Q9UN88
DB06470,Q9UN88
DB06579,Q9UN88
DB00659,P14867
DB04903,P14867
DB00273,O00591
DB00418,O00591
DB00474,O00591
DB00599,O00591
DB00659,O00591
DB01154,O00591
DB04903,O00591
DB06470,O00591
DB06579,O00591
DB00273,P18505
DB00418,P18505
DB00425,P18505
DB00474,P18505
DB00599,P18505
DB00659,P18505
DB00962,P18505
DB01154,P18505
DB01198,P18505
DB04903,P18505
DB06470,P18505
DB06579,P18505
DB00273,Q8N1C3
DB00418,Q8N1C3
DB00474,Q8N1C3
DB00599,Q8N1C3
DB00659,Q8N1C3
DB01154,Q8N1C3
DB04903,Q8N1C3
DB06470,Q8N1C3
DB00273,O14764
DB00418,O14764
DB00474,O14764
DB00599,O14764
DB00659,O14764
DB01154,O14764
DB04903,O14764
DB06470,O14764
DB06579,O14764
DB00273,P78334
DB00418,P78334
DB00474,P78334
DB00599,P78334
DB00659,P78334
DB01154,P78334
DB04903,P78334
DB06470,P78334
