DrugBank_id,Uniprot_id
DB00091,P63098
DB00864,P63098
DB00091,Q99653
DB00864,Q99653
DB00864,Q96LZ3
DB00179,P00533
DB00837,O75899
DB09186,P23975
DB00184,P02708
DB00416,P02708
DB05137,P02708
DB00728,P30926
DB00732,P30926
DB01135,P30926
DB05137,P30926
DB00728,Q05901
DB00732,Q05901
DB01135,Q05901
DB05137,Q05901
DB00728,Q15825
DB00732,Q15825
DB01135,Q15825
DB05137,Q15825
DB00728,P36544
DB00732,P36544
DB01135,P36544
DB05137,Q15822
DB00728,P32297
DB00732,P32297
DB01135,P32297
DB05137,P32297
DB00728,P30532
DB00732,P30532
DB01135,P30532
DB05137,P30532
DB00728,P43681
DB00732,P43681
DB01135,P43681
DB05137,P43681
DB00728,Q9UGM1
DB00732,Q9UGM1
DB01135,Q9UGM1
DB00728,Q9GZZ6
DB00732,Q9GZZ6
DB01135,Q9GZZ6
DB00728,P17787
DB00732,P17787
DB01135,P17787
DB05137,P17787
DB00245,P20309
DB00392,P20309
DB00670,P20309
DB00728,P20309
DB00810,P20309
DB00273,P48169
DB01154,P48169
DB01174,P48169
DB01198,P48169
DB01567,P48169
DB06716,P48169
DB08811,P48169
DB00273,P34903
DB01154,P34903
DB01174,P34903
DB06716,P34903
DB08811,P34903
DB00273,P31644
DB01154,P31644
DB01174,P31644
DB06716,P31644
DB08811,P31644
DB00273,P47870
DB00418,P47870
DB00849,P47870
DB01154,P47870
DB01174,P47870
DB01198,P47870
DB01351,P47870
DB01352,P47870
DB01353,P47870
DB01355,P47870
DB08811,P47870
DB00273,P28472
DB00418,P28472
DB00849,P28472
DB01154,P28472
DB01174,P28472
DB01198,P28472
DB01351,P28472
DB01352,P28472
DB01353,P28472
DB01355,P28472
DB08811,P28472
DB00273,Q16445
DB01154,Q16445
DB01174,Q16445
DB01198,Q16445
DB01567,Q16445
DB06716,Q16445
DB08811,Q16445
DB00273,O00591
DB00418,O00591
DB00849,O00591
DB01154,O00591
DB01174,O00591
DB01198,O00591
DB01351,O00591
DB01352,O00591
DB01353,O00591
DB01355,O00591
DB06716,O00591
DB08811,O00591
DB00273,O14764
DB00418,O14764
DB00849,O14764
DB01154,O14764
DB01174,O14764
DB01198,O14764
DB01351,O14764
DB01352,O14764
DB01353,O14764
DB01355,O14764
DB06716,O14764
DB08811,O14764
DB00273,Q9UN88
DB00418,Q9UN88
DB00849,Q9UN88
DB01154,Q9UN88
DB01174,Q9UN88
DB01198,Q9UN88
DB01351,Q9UN88
DB01352,Q9UN88
DB01353,Q9UN88
DB01355,Q9UN88
DB01567,Q9UN88
DB06716,Q9UN88
DB08811,Q9UN88
DB00273,P47869
DB01154,P47869
DB01174,P47869
DB06716,P47869
DB08811,P47869
DB00273,P18507
DB00418,P18507
DB00849,P18507
DB01154,P18507
DB01174,P18507
DB01198,P18507
DB01351,P18507
DB01352,P18507
DB01353,P18507
DB01355,P18507
DB06716,P18507
DB08811,P18507
DB00273,Q99928
DB00418,Q99928
DB00849,Q99928
DB01154,Q99928
DB01174,Q99928
DB01198,Q99928
DB01351,Q99928
DB01353,Q99928
DB01355,Q99928
DB06716,Q99928
DB08811,Q99928
DB00273,P78334
DB00418,P78334
DB00849,P78334
DB01154,P78334
DB01174,P78334
DB01198,P78334
DB01351,P78334
DB01352,P78334
DB01353,P78334
DB01355,P78334
DB06716,P78334
DB08811,P78334
DB00273,P18505
DB00418,P18505
DB00849,P18505
DB01154,P18505
DB01174,P18505
DB01198,P18505
DB01351,P18505
DB01352,P18505
DB01353,P18505
DB01355,P18505
DB06716,P18505
DB08811,P18505
DB00273,Q8N1C3
DB00418,Q8N1C3
DB00849,Q8N1C3
DB01154,Q8N1C3
DB01174,Q8N1C3
DB01198,Q8N1C3
DB01351,Q8N1C3
DB01352,Q8N1C3
DB01353,Q8N1C3
DB01355,Q8N1C3
DB06716,Q8N1C3
DB08811,Q8N1C3
DB06716,P14867
DB08811,P14867
DB00449,P08588
DB04884,P31645
DB00277,Q08499
DB01223,Q08499
DB01303,Q08499
DB00277,Q08493
DB01113,Q08493
DB01223,Q08493
DB01303,Q08493
DB03849,Q08493
DB01223,Q07343
DB01303,Q07343
DB01113,P27815
DB01223,P27815
DB03849,P27815
DB00235,Q13370
DB00261,Q13370
DB00277,Q13370
DB00651,Q13370
DB00922,Q13370
DB01166,Q13370
DB01223,Q13370
DB01303,Q13370
DB04880,Q13370
DB00277,O00408
DB00651,O00408
DB01113,O00408
DB01223,O00408
DB01303,O00408
DB00651,Q14432
DB01113,Q14432
DB00277,Q01064
DB00651,Q01064
DB01223,Q01064
DB00907,Q12809
DB00209,P08172
DB00245,P08172
DB00477,P08172
DB00670,P08172
DB00810,P08172
DB00982,P10826
DB00226,P25100
DB00334,P25100
DB00353,P25100
DB00449,P25100
DB00450,P25100
DB00699,P25100
DB00852,P25100
DB01118,P25100
DB01149,P25100
DB01253,P25100
DB01364,P25100
DB01608,P25100
DB06711,P25100
DB06714,P25100
DB08950,P25100
DB08954,P25100
DB00226,P35368
DB00353,P35368
DB00449,P35368
DB00450,P35368
DB00699,P35368
DB00852,P35368
DB01118,P35368
DB01253,P35368
DB01364,P35368
DB06711,P35368
DB06714,P35368
DB08954,P35368
DB00226,P35348
DB00353,P35348
DB01118,P35348
DB01608,P35348
