DrugBank_id,Uniprot_id,score
DB00091,P63098,0.9724871
DB00091,Q99653,0.7417017
DB00837,O75899,0.674751
DB09186,P23975,0.9972888
DB00184,P02708,0.97063076
DB00416,P02708,0.8737111
DB05137,P02708,0.84675026
DB00728,P30926,0.9697639
DB00732,P30926,0.9408994
DB01135,P30926,0.94107676
DB05137,P30926,0.9838214
DB00728,Q05901,0.82678336
DB00732,Q05901,0.83617765
DB01135,Q05901,0.78429
DB05137,Q05901,0.8734419
DB00728,Q15825,0.8927951
DB00732,Q15825,0.8622656
DB01135,Q15825,0.8870352
DB05137,Q15825,0.93393576
DB00728,P36544,0.8957472
DB00732,P36544,0.90828055
DB01135,P36544,0.8861497
DB05137,Q15822,0.98524237
DB00728,P32297,0.90345097
DB00732,P32297,0.9049454
DB01135,P32297,0.9193427
DB05137,P32297,0.9773261
DB00728,P30532,0.8004352
DB00732,P30532,0.8169624
DB01135,P30532,0.7999152
DB05137,P30532,0.8485672
DB00728,P43681,0.9835936
DB00732,P43681,0.9693545
DB01135,P43681,0.9762069
DB05137,P43681,0.98553646
DB00728,Q9UGM1,0.7950675
DB00732,Q9UGM1,0.7968324
DB01135,Q9UGM1,0.8065874
DB00728,Q9GZZ6,0.8991362
DB00732,Q9GZZ6,0.8490704
DB01135,Q9GZZ6,0.7822298
DB00728,P17787,0.97901356
DB00732,P17787,0.95359623
DB01135,P17787,0.9577934
DB05137,P17787,0.98875487
DB00245,P20309,0.98573685
DB00392,P20309,0.9995228
DB00670,P20309,0.95763624
DB00728,P20309,0.9955026
DB00810,P20309,0.9924191
DB01174,P48169,0.9962689
DB01567,P48169,0.9965569
DB06716,P48169,0.9675169
DB08811,P48169,0.7581424
DB01174,P34903,0.99592763
DB06716,P34903,0.96316546
DB08811,P34903,0.69762427
DB01174,P31644,0.99671125
DB06716,P31644,0.9698386
DB08811,P31644,0.6695391
DB00849,P47870,0.9956768
DB01174,P47870,0.9962703
DB01351,P47870,0.99876946
DB01352,P47870,0.8069471
DB01353,P47870,0.9987798
DB01355,P47870,0.9939704
DB08811,P47870,0.645109
DB00849,P28472,0.9962475
DB01174,P28472,0.9962121
DB01351,P28472,0.99719846
DB01352,P28472,0.8549075
DB01353,P28472,0.99770755
DB01355,P28472,0.9936267
DB08811,P28472,0.6552203
DB01174,Q16445,0.9967143
DB01567,Q16445,0.9960457
DB06716,Q16445,0.94811594
DB08811,Q16445,0.6731586
DB00849,O00591,0.9916619
DB01174,O00591,0.99169266
DB01198,O00591,0.98803484
DB01351,O00591,0.9958752
DB01352,O00591,0.8697653
DB01353,O00591,0.9962286
DB01355,O00591,0.9884063
DB06716,O00591,0.91979253
DB08811,O00591,0.63692045
DB00849,O14764,0.9968395
DB01174,O14764,0.9971142
DB01198,O14764,0.9909029
DB01351,O14764,0.9969118
DB01352,O14764,0.90637845
DB01353,O14764,0.99705565
DB01355,O14764,0.9961244
DB06716,O14764,0.92440575
