PubChem_id,Uniprot_id
162672262,P07949
126524300,Q9Y5Z0
4136,P43681
71461237,P27338
91895724,P27487
56960607,P29597
78104669,P56817
4705,P00533
155765895,Q9BZP6
24905336,P08631
86727672,P42336
132272096,Q9NR97
44383813,P78527
137636334,P30542
4601,P08912
132272579,Q9NYK1
8651,P00748
135320998,Q9UBN7
91457,P30559
66797369,P17787
132272265,Q9NYK1
49830586,Q9Y463
52911994,P28845
44320323,P00918
25120608,Q9Y5N1
154575,Q08499
44591583,Q08493
71566667,O43614
56946894,O43293
14280990,Q14432
49837961,P27487
76283682,Q96BI3
71578744,P49841
16038374,Q9Y5Y9
44315664,Q9BZJ3
16739368,O00750
10574343,O96017
11512578,Q00987
10096344,Q12884
57389622,P31749
11442891,Q13131
137496414,P21453
126715365,P23458
10575845,P25101
11576852,P42574
11560568,Q00536
44347479,P00734
117723294,O60885
71531923,Q9Y5Z0
46869879,P45983
90668361,Q9Y233
59227421,Q07343
10380012,P05093
462382,P28074
9871074,Q15759
126565,P50613
4026325,P21397
16749268,P55210
5327308,Q14790
101201806,P53634
5329923,P24941
155535907,P00747
155981972,P29597
42641863,Q13258
44315677,Q9BZJ3
72163808,P68400
139558700,Q9Y618
16718808,P00749
136069532,Q96KS0
122670030,P36897
11649751,P25774
5330587,Q8NER1
2703,Q02156
9811611,P21802
137659170,Q15858
132233289,Q9NR97
134135709,O00329
10045305,P78334
24769780,Q04912
118866094,P56817
448763,P00734
155550748,P07477
156017449,P00918
25110764,P11229
66762825,O14965
162722824,Q9UBN7
56946894,Q92630
50990922,P15056
3707,P49840
71681329,O95271
138479229,Q92793
117884198,P56817
141286034,P07550
16222096,Q02750
54583924,P55210
25125014,P50750
78319160,Q16790
155765846,Q9BZP6
56603118,O75907
52949426,P46098
45270336,P35354
53236676,Q96GD4
16718762,P00749
11285002,Q2M2I8
25005631,P49841
49797199,P27487
1550607,P30559
11518844,Q13464
780268,Q16790
6539965,P06239
23647724,P27487
134140686,Q9Y5N1
52946831,Q16790
117723236,Q15059
44224245,P39900
44539973,Q9Y5N1
10020580,P30542
44433800,P25103
46866615,P00533
155316148,P00748
24826799,P22607
43358934,P42330
60148695,P56524
136264454,O00329
126554894,Q9Y5Z0
7996519,Q16790
5281416,O43570
78104986,P56817
23661687,Q01959
122192743,P42330
162675433,O43570
168280907,P09874
44449956,Q92847
126556783,Q9Y5Z0
154593628,Q92793
44576631,P08253
138374626,Q15059
11398307,Q96GD4
4634,P11229
135125768,P56817
122182181,Q02127
5355,P00918
89735655,Q9BXA7
59662448,P11309
44620894,O95977
132233152,Q9NR97
25032862,Q13547
139030535,P42345
46945877,P21397
89963239,O60939
137125269,O15379
88602735,Q9Y5Z0
56834949,Q9Y5Z0
11733626,P00734
44280152,P43235
118560618,Q9P0X4
44127679,P13945
135320925,Q9UBN7
10197984,Q14416
162370043,Q9Y5Z0
135277047,P03372
101882265,Q9BY41
118737793,P03372
155535084,Q9UBN7
139390075,Q00534
168300331,Q13231
16749271,P55210
90655968,P53634
78323012,P56817
118191834,P09960
24826799,P17948
24748204,Q9UQB9
5282335,Q8WWL7
11417954,P41143
308411,Q16790
49803313,Q04771
44404503,P22894
156422,O95819
132272499,Q9NYK1
156070230,P03952
10664738,P35354
155511554,Q9Y337
23645678,P27487
15986509,Q9UBN7
162722085,Q9UBN7
49830888,Q9HAZ1
134491696,P04150
49797075,P27487
54585052,P28845
42625987,P11802
57387280,Q9GZT9
146243619,P24941
137654155,Q07820
11664423,P42574
12447203,P00918
118095187,Q15059
118720559,P34972
118987958,O00444
11406590,O75676
9910609,P22607
162721915,Q9UBN7
129900111,O00444
9853559,P05106
154593760,Q92793
72943374,Q16832
139301879,P03952
90412198,P56817
91934364,P27487
91933411,P21397
11623550,P27487
16095102,P56524
136069605,P31749
91895734,P27487
117723243,P25440
118435382,P56817
1474879,P00533
44472590,P13945
16086340,P00749
9953722,P00734
1342,P34969
134152624,O60674
11017241,Q08499
44571034,Q92793
91929540,P27338
122163152,P42345
131954139,Q9H2K2
126565,P33981
90372933,P56817
10667071,P46098
118721405,Q16790
134491580,P06401
216230,P05106
121365006,P03952
10765111,P35354
126641983,Q9BZP6
85468764,P56817
60138149,Q13153
127035754,P27487
67161540,P36888
46207586,O95819
135321037,Q9UBN7
135125741,P56817
25031915,P35916
145974037,Q8TDU6
134817249,P51684
10805003,P35354
139573840,P07333
118523373,Q13315
164626153,P25021
155765826,Q13231
10044321,P08253
71682058,Q9UBF8
57798603,P49841
11387605,P42684
117818271,P09211
638278,P45452
25117126,P04629
9931215,P35354
145968675,Q9BY41
135565545,P07947
1400,P51451
122182409,P35968
59443466,P11712
164620237,Q16288
145744590,O95835
49836028,P06401
6539966,P12931
118707111,Q15139
162650591,O43570
25217029,P55210
166177408,Q14123
86580694,Q08881
10451184,P27815
16756623,P05556
10414708,Q9UQD0
46224681,P06401
44157087,P42574
135320757,Q9UBN7
3062316,P41240
118441142,P56817
3042985,P0DMS8
117869723,P56817
11194666,P22894
24905177,P08631
11534625,P28074
25257992,Q13547
9902427,P13497
135398510,P35968
57396117,Q9Y5N1
129032790,Q9UBN7
138687068,Q9NYK1
118401317,P43405
49848443,P34972
126591927,P07949
10368812,P52732
5328127,P11362
4413,Q9Y5Y6
89614724,Q15858
168292014,O60331
11656518,Q9NYL2
59635683,P28845
10384072,Q9Y4K4
58459190,O00329
3062316,O00238
155765903,Q9BZP6
154584275,Q13315
139326590,P36894
42642645,P12931
142546276,Q92793
74685737,P35367
165156358,Q9Y5S2
45488040,P31639
6501454,P27815
2314281,P00734
25167777,O00329
162650264,P27487
44516953,O00750
90252850,P19099
70683155,Q14164
121365122,P03952
5869730,O43570
9547980,P25774
139467637,Q9H4B4
90654152,O60341
138686762,Q9NYK1
44363766,P31645
44626353,P39900
90663180,P25774
10479468,Q08499
66592626,P20309
134442196,P10721
70281073,P43235
135142120,P56817
5330804,P20248
129032684,Q9UBN7
31494,P00748
44093,P12821
681,P21917
46191454,P51946
70355131,P56817
72197632,Q99685
162722015,Q9UBN7
138374626,P25440
162722323,Q9UBN7
134325530,Q13315
176407,P29275
75522,O43570
90667423,P08581
146680900,P07477
6539499,P49840
71042078,P42345
73670823,P56817
133081223,P00734
57842812,P08709
22912028,P35354
25151990,P11597
57384483,Q9GZT9
71506825,P05091
118432660,O60341
168296887,P09874
23646489,P28845
49837954,P27487
162722393,Q9UBN7
146317609,O15379
45270285,P35354
132272363,Q9NR97
134329913,Q9NR97
16747683,P24864
122445252,Q13224
162506703,O15379
24952089,P27487
46887186,Q16539
16362,Q9NY46
122363051,P50579
44347477,P00734
118866986,P56817
164514101,Q92793
117737118,Q15858
139557065,P10721
46207586,Q13188
145984796,Q5NUL3
44429110,P00742
6918638,Q969S8
132272567,Q9NR97
156020215,P29274
5353940,P09917
135565923,O60674
1206,P23975
53317957,Q9Y5Y4
10074640,P07948
71668049,P56817
59635774,P28845
162653596,P29274
11373432,Q16539
5330790,P23458
11235004,P34995
139557064,P07333
10837002,P28335
24991884,P05556
42618136,P22303
54575456,Q969S8
135125902,P56817
42642645,Q08881
71768721,P41597
68849581,P51677
5330286,Q00534
11038175,P14780
118985385,P00915
9915545,P08709
57641205,Q86TI2
22346947,P06239
10814863,P00747
162721888,Q9UBN7
91895841,P27487
162652930,P49768
9927764,P47869
16095102,Q92769
78321761,P56817
10563097,P00918
154593707,Q92793
10091430,P08908
45377938,P21453
135321076,Q9UBN7
66553195,P35372
90412791,P56817
124106089,P13569
3501,O00444
117769464,P23458
49836633,P28335
118439820,Q12866
134585394,Q9UQD0
3559,P28223
134325553,Q13315
71543365,O60341
44390796,P43115
162506723,O15379
52945520,P46098
4707,P00533
2726,P21728
121264663,Q99500
71578520,P49841
11711413,P27487
46875997,P0DMS8
91827457,Q13133
71554526,P09211
10175126,Q96GD4
42605994,P08908
164514105,Q92793
78321764,P56817
24905327,P12931
78105084,P56817
54753444,P27338
137656105,P22460
155060396,Q96RI1
11560568,Q8TD08
90395391,O60341
90372917,P56817
162722352,Q9UBN7
46224777,P06756
154593637,Q92793
54585054,P28845
65752,Q16678
93577,O43570
122653241,Q14145
127050760,P27487
44344888,P37231
5766869,P21728
138374312,O95271
149179583,Q92793
134144836,O60674
3025986,P49840
123985,P43235
129900111,Q9UQB9
134130328,Q07343
135277081,P03372
44416898,Q99705
126480571,O00329
9818682,P13497
56640518,P00533
156273254,P28223
71585176,Q00987
146531271,Q15858
78322707,P56817
46220502,Q00536
6539485,P49840
72163928,P68400
156070732,P03952
71547678,P46098
11134644,P08709
154593723,Q92793
54582164,P28845
139557069,P07333
44314442,P08253
126555282,Q9Y5Z0
86288293,P31645
145953005,P23458
155540964,Q9Y5Y6
67055888,P22460
71496458,P49589
42642645,P08631
86268788,O00141
53302364,P48736
45269325,P31645
59757974,P29317
162722091,Q9UBN7
3696,P35348
28864,P07550
153328474,P56817
10623882,P35354
155765846,Q13231
155543719,P0DMS8
154702342,P36896
5494414,Q8WWL7
6918852,P49759
71460172,P08253
135475578,P23141
138686957,Q9NR97
9861687,P41595
89735655,Q00535
57345662,P00915
72948808,P08254
3081361,P07949
24767976,P35968
56846693,P06239
6419753,P49841
137905,P23141
11637551,P21397
73670320,P56817
681,P21918
72550848,P03951
149018948,P35372
162722152,Q9UBN7
91758319,Q9UBF8
169290280,Q9UBN7
11556711,P25786
59603829,P35968
130196825,O60563
58026134,P04150
44349787,P45452
16745311,P08183
44376700,P00742
118730809,O14757
11177363,P29274
46224673,P06401
44583288,P34913
49849115,Q9H6Z9
53380818,P08069
162646248,P25025
2726,P35367
10117027,P00742
155517086,Q9UBN7
122419211,P42684
3062316,P29323
10691360,P00742
44431212,P27487
9861888,P35354
155755003,Q12884
