PubChem_id,Uniprot_id
15983966,O14757
15604510,O14757
46191454,Q9H773
5291,O75116
11511120,O14965
23647201,P53778
6442177,P10398
90373287,P07339
137653588,P29275
73387740,Q12809
10138259,Q9NSD9
71203746,Q6V1X1
24748204,Q16584
156014042,P29275
162722416,Q969S8
155511557,Q9UBF8
44516953,P30085
45142457,Q92499
23643975,Q8IVH8
25145656,P50750
17759787,P22694
11494412,Q32MK0
11712649,Q9NSD9
42642648,P24941
24794418,Q00534
66555680,Q04771
51039094,Q07912
11978790,O75385
11705942,Q14790
23635314,Q00537
73387744,Q14432
118919592,P34972
11719003,P49589
24767976,O14965
22052336,P00734
11713159,P53671
122589447,P42336
11719003,P07741
44137675,Q00537
24765037,Q9UBE8
46843057,P08581
6013,P06276
142505992,Q969S8
42642648,P31749
134154625,P00915
23582824,P17612
122510270,Q9NYK1
10430360,P09619
118918087,P27338
15604510,Q15759
121455794,Q14524
130310241,O43613
118713029,P03951
11485656,Q9H773
11152667,P23458
9849735,Q04912
151194,P41240
118523411,P42345
123631,O75116
86567195,Q12809
44459743,P05106
146676731,Q13547
123631,Q9NSY1
46843057,Q96S44
9826528,O14578
10296435,P35030
57379345,P45984
25227436,Q15746
46843057,P27448
9823820,Q8TBX8
58088056,P17787
11955855,O43353
3038522,P09769
146436321,P52333
9890632,P08253
23643351,P06276
9808844,P54619
10297043,P11802
11552706,P11712
25227436,O14965
3062316,Q9Y6M4
49855949,Q9UQL6
23649669,P11712
154593707,O60885
16719221,P45984
9823820,Q15067
11977753,P07948
50922675,Q13164
11496896,P03956
11494412,O94804
44355299,P05771
25151352,P54760
162722197,Q13547
16041424,O75460
46232556,P06493
16725726,O14976
16747683,P04629
11285002,P04629
77844825,P10632
44622339,P10635
89443446,Q14432
25167777,Q13233
53326686,Q6V1X1
156907820,Q14524
91863223,P21397
44344918,Q92793
46843057,Q14164
3794,Q9BZE4
153999,P12268
135125158,P07339
25102847,Q00526
130196825,P49137
49797069,Q86TI2
124222778,P35354
45142457,P20340
11952856,O43683
86288843,P00915
9849735,Q9NYV4
11234052,P30086
11671467,P12268
45142457,P08631
10113978,P54619
156414,P17612
16222096,P45983
135398495,P61158
154700581,P11712
85468944,P07339
11620908,P36896
9915743,P49137
9829523,O43353
5494449,P11309
25118925,Q9H2G2
25167777,P53667
5494449,P18074
10296883,P07949
11671467,Q13873
5411,O14649
11955855,Q16512
5287969,P78368
25171648,P10398
132272372,Q9NR96
6918736,Q9NSD9
11077271,P22303
86292783,Q92793
3062316,P52564
44340908,P17252
44603533,Q13131
56960607,O75582
