PubChem_id,Uniprot_id
51,Q9UGL1
119,P28472
119,P47869
119,P14867
119,P18505
119,P48169
119,P18507
135,P00533
370,P12821
370,P78536
370,P09237
370,P28074
370,P08253
378,P12931
681,P31645
681,P06241
681,P07711
681,P07550
750,P23415
785,P43166
785,P14679
785,Q16790
896,P04798
896,Q6P988
931,P05177
942,Q12809
942,P08684
985,P37231
1061,Q16790
1061,P00918
1061,P00915
1103,P11388
1103,P00915
1103,P00918
1103,Q13224
1150,P14902
1206,P28223
1221,Q13224
1221,Q12879
1221,Q13002
1221,Q16099
1221,O15399
1221,O60391
1221,Q16478
1221,Q05586
1221,P39086
1221,Q8TCU5
1221,Q14957
1221,Q13003
1238,Q9NPC2
1342,P14598
1354,P05106
1354,P06756
1400,P43403
1400,O60674
1401,P06213
1401,P00533
1401,Q02750
1464,P11387
1779,Q13002
1779,P39086
1779,Q16478
1779,Q13003
1779,Q16099
1779,P42262
1779,P42261
1779,P42263
1779,P48058
1794,Q14524
1794,P03951
1794,P00742
1794,P03952
1794,P04070
1832,Q99500
1836,P09237
1935,Q05586
1935,P07148
1935,Q13224
1935,P23141
1935,P00748
1935,P08684
1935,P49841
1935,P35372
1986,Q9BZP6
2092,Q14524
2092,Q13936
2119,P51589
2157,P29375
2157,P13945
2160,P04629
2247,P05177
2247,P10632
2247,P10635
2247,P11712
2259,Q16762
2333,P05177
2333,P10635
2333,Q16762
2333,P18031
2336,P04626
2354,P07858
2355,P56817
2355,P22460
2369,P10635
2399,P00533
2418,P08684
2428,P11362
2428,P06213
2428,Q05655
2428,P17252
2428,P12931
2428,P05129
2428,O94806
2428,P22607
2428,P21802
2428,P05771
2428,P22455
2428,P41743
2428,P24723
2428,Q02156
2428,Q15139
2428,Q05513
2428,Q04759
2536,P08246
2543,Q9Y4D2
2551,P36544
2662,O15530
2662,O76074
2662,P00915
2662,P34913
2678,Q12809
2678,Q02763
2685,P35372
2689,P28335
2703,Q92843
2703,Q07817
2703,P10415
2719,P18089
2719,P08684
2725,Q9Y468
2725,Q96JM7
2726,P11712
2726,P33261
2754,P54750
2754,Q01064
2754,Q13698
2754,Q01668
2754,Q13936
2754,O60840
2754,Q14123
2764,Q12809
2764,P33261
2764,P05177
2764,P08684
2764,P10635
2764,P11712
2764,P11388
2803,P35368
2812,P06241
2812,P00918
2812,P35354
2812,P04626
2812,P00533
2818,P33261
2818,P05177
2818,P08684
2995,P51589
3016,Q13698
3016,O60840
3016,Q01668
3016,P42330
3016,Q13936
3033,P00374
3033,O75762
3033,P51589
3033,P00915
3033,P15121
3033,P00918
3033,P08684
3033,Q16790
3090,P00742
3100,Q96D31
3100,P51589
3100,Q14524
3106,P06241
3152,O76074
3152,P49841
3152,O60840
3152,Q13936
3152,Q01668
3152,Q13698
3152,P08183
3152,P08684
3152,Q08499
3152,P23141
3152,P31645
3152,P21397
3153,P00915
3153,P35372
3198,P00533
3213,P04150
3325,P37231
3339,P13945
3339,P35462
3339,Q96S37
3345,P35367
3345,O75469
3348,P51589
3372,P00533
3380,P47870
3380,Q8N1C3
3380,P18505
3380,P48169
3380,P47869
3380,P31644
3380,P34903
3380,P28472
3380,P14867
3380,O14764
3380,P18507
3380,Q9UN88
3380,Q16445
3380,Q99928
3380,P78334
3380,O00591
3386,Q16678
3386,P51589
3386,P08183
3386,P10632
3440,P51589
3488,Q12809
3488,Q9UNQ0
3501,Q8IXJ6
3510,P17787
3510,P43681
3510,P32297
3547,Q9P2R7
3547,O14578
3547,Q15569
3547,Q8IYD1
3547,P25098
3547,P36896
3547,P07741
3547,P12931
3547,P11802
3547,P46734
3547,P41597
3547,P24941
3547,P00533
3547,P30085
3547,P49589
3547,Q99640
3547,O75385
3547,Q13705
3547,Q13043
3547,P06493
3547,P42685
3547,Q08345
3547,Q8IW41
3547,P31153
3547,Q13188
3547,Q9NTK5
3547,P30086
3547,Q9NYL2
3547,Q13882
3547,P06239
3547,Q07912
3547,Q04771
3547,O14976
3547,P36507
3547,Q05513
3547,P22694
3547,P22612
3547,Q02750
3547,P41743
3547,P17252
3547,P05771
3547,P11362
3547,P49841
3547,P06241
3547,P09619
3547,P07949
3547,P49760
3547,Q7KZI7
3547,Q05397
3547,P04629
3547,O96013
3547,Q9UHD2
3547,Q14164
3547,Q04912
3547,Q06187
3547,P06213
3547,O14965
3547,P08581
3547,O14757
3547,P31751
3547,P53350
3547,P11309
3547,P49840
3547,P41250
3547,P78368
3547,Q16584
3547,Q9NSY1
3547,P43686
3547,Q00526
3547,O94804
3547,P42684
3547,P51617
3547,Q15418
3547,P36897
3547,P23458
3547,O75676
3547,P41240
3547,Q16832
3547,Q9H2G2
3547,P11274
3547,P53671
3547,O00311
3547,P42680
3547,Q13131
3547,P09769
3547,Q13177
3547,Q9NWZ3
3547,P27448
3547,P54764
3547,Q13976
3547,Q8NI60
3547,Q15067
3547,Q9H773
3547,Q9Y4K4
3547,P21709
3547,P52564
3547,O00444
3547,Q13233
3547,Q13164
3547,Q8TD08
3547,Q2M2I8
3547,P36894
3547,P16591
3547,P29597
3547,O75460
3547,P54619
3547,Q9UGJ0
3547,Q7L7X3
3547,Q9Y5S2
3547,P07948
3547,O43353
3547,Q00534
3547,Q02880
3547,P11388
3547,Q13627
3547,P36888
3547,Q12851
3547,P45983
3547,P27361
3547,P28482
3547,P43405
3547,P54760
3547,P45984
3547,Q16539
3547,P27707
3547,Q9HCP0
3547,P48730
3547,P19784
3547,P49674
3547,P48729
3547,P00519
3547,Q9H0K1
3547,P53667
3547,P33981
3547,P30291
3547,Q99683
