PubChem_id,Uniprot_id
51,Q9H255
119,Q9HCN6
135,P21728
370,P05067
378,P00918
681,P21918
681,P35462
681,P21917
681,P21728
681,P14416
750,Q9H255
785,P00918
896,P49286
896,P48039
896,Q9Y5N1
931,P08913
931,P18089
931,P18825
942,P32297
942,P43681
942,P17787
942,P30926
985,Q9H255
1061,P22748
1103,P22748
1150,P28221
1150,P28223
1150,P28335
1150,P28222
1206,Q01959
1206,P23975
1221,P48058
1221,P42263
1221,P42261
1221,P42262
1238,P35367
1238,P50406
1238,P35462
1238,P14416
1238,P21917
1238,P28335
1342,P28223
1342,P47898
1342,P28221
1342,P34969
1342,P08908
1342,P41595
1354,P46098
1400,P07948
1400,P51451
1400,P06241
1400,Q06187
1400,Q13882
1400,P42685
1400,P07947
1400,O43353
1400,P07949
1401,P21802
1401,P22607
1401,P11362
1464,Q07817
1779,Q13224
1779,Q05586
1779,O60391
1779,O15399
1779,Q8TCU5
1779,Q12879
1779,Q14957
1794,Q96D31
1832,P28222
1832,P28335
1832,P28566
1832,P34969
1832,P50406
1832,P41595
1832,P46098
1832,P28223
1832,P08908
1832,P47898
1832,P28221
1836,P45452
1836,P14780
1836,P08253
1836,P22894
1935,P05067
1986,P35218
1986,Q9Y2D0
2092,P22303
2092,P35368
2092,P25100
2092,P35348
2119,P08588
2119,P13945
2119,P07550
2157,Q99720
2157,Q15125
2160,P35348
2160,P20309
2160,P41595
2160,P28335
2160,P35367
2160,P28223
2160,P08912
2160,P08173
2160,P08172
2160,P31645
2160,P18089
2160,P21728
2160,P18825
2160,P11229
2247,P35367
2247,P28223
2247,P41595
2259,Q9NUW8
2259,P27695
2333,Q04828
2336,P05177
2354,P19801
2355,P04798
2355,P05177
2369,P08588
2399,P11309
2418,P13631
2428,P00533
2536,P07477
2536,P07478
2536,P35030
2543,P05177
2551,P08912
2551,P08172
2551,P20309
2551,P11229
2551,P08173
2662,O43570
2662,P23219
2662,P35354
2662,Q9Y2D0
2678,P35367
2685,P08588
2689,P28221
2689,P08908
2689,P28222
2703,Q02156
2719,Q99720
2725,P35367
2726,P35367
2726,P21728
2726,P28335
2726,P41595
2726,P23975
2726,P35348
2726,P28223
2726,P18825
2726,P08912
2726,P25100
2726,P20309
2726,P31645
2726,P50406
2726,P18089
2726,P14416
2726,P21917
2726,P35462
2754,Q14432
2764,Q02880
2764,P11388
2803,P08913
2803,P18089
2803,P18825
2812,P11511
2812,P05093
2818,P50406
2818,P41595
2818,P35348
2818,P08912
2818,P18089
2818,P35367
2818,P18825
2995,P35348
3016,P28472
3016,P18507
3016,P14867
3016,P47870
3016,P31644
3016,P47869
3016,P18505
3016,P34903
3033,P25024
3090,P00740
3100,P11229
3106,P35462
3106,P21918
3106,P21917
3106,P14416
3106,P21728
3152,Q99720
3152,Q04844
3153,P14416
3198,P33261
3198,Q16850
3213,P04798
3325,P43166
3325,P00918
3325,O43570
3325,P25021
3339,P07148
3345,Q99720
3345,P35372
3348,P35367
3372,P35367
3372,P28335
3372,P41595
3372,P35348
3372,P25100
3372,P18825
3372,P14416
3372,P35462
3372,P50406
3372,Q99720
3372,P34969
3372,P21918
3372,P28223
3372,P18089
3372,P21917
3380,P18507
3380,P14867
3380,P47870
3380,P28472
3380,P31644
3380,P47869
3380,P34903
3386,P08913
3386,P33261
3440,P00915
3440,P00918
3488,Q14654
3488,Q09428
3501,Q00535
3501,O00444
3501,O96013
3501,P17252
3501,P00533
3501,Q08881
3501,P49841
3501,P24941
3501,Q15139
3501,Q9NWZ3
3501,O96017
3501,Q13464
3501,O15530
3501,P52333
3501,P05771
3501,P51812
3501,Q7KZI7
3501,P05129
3501,P27448
3501,P45983
3501,P29597
3501,P23443
3501,P51451
3501,Q9BZL6
3501,P06493
3501,P36888
3501,O14965
3501,P49840
3501,Q96GD4
3501,P53667
3510,P46098
3547,Q6P5Z2
3547,P51817
3559,P25100
3559,P41595
3559,P21918
3559,P35462
3559,P28335
3559,P21917
3559,P21728
3559,P35368
3559,P35348
3559,P14416
3559,P28223
3564,P21397
3598,Q92731
3598,Q16539
3689,Q99720
3689,Q12809
3696,P11229
3696,P20309
3696,P08912
3696,P35348
3696,P35367
3696,P23975
3696,P08172
3707,P19525
3707,P49841
3707,P49840
3707,P36888
3715,P35354
3715,P43116
3715,P10275
3715,P23219
3779,P59540
3779,P08588
3779,P13945
3779,P07550
3779,P59538
3779,P35368
3779,P25100
3779,P35348
3784,Q13936
3793,Q16850
3793,P08684
3794,P00533
3797,P52333
3799,P52333
3820,P49841
3820,O60563
3820,P06241
3820,P49840
3820,P50750
3826,P23219
3827,P28223
3827,P41595
3828,P05177
3955,P35372
3955,Q12809
3957,P10635
3961,P12821
3964,P35462
3964,P50406
3964,P14416
3964,P21917
3964,P18825
3964,P34969
3964,P35348
3964,P28223
