PubChem_id,Uniprot_id
9874913,Q14289
42642648,P51955
11285002,Q92499
25127713,P36888
23635314,P15056
9868037,P27361
137659963,P29274
11552706,Q9BZL6
44340903,P17252
45142457,Q86XP3
16046067,P10635
145704650,Q96GD4
24905401,P51812
66829310,Q12809
11543786,P02708
155534879,P00915
44631912,P46734
71727581,O94804
56835090,P11712
137647845,O43570
24765037,Q15208
123631,P49759
89455219,P53671
139390103,O00329
9863672,Q9H2G2
49797241,Q86TI2
44125704,P11712
25127713,Q9BZL6
162722403,Q13547
156020275,P00740
122599183,P42338
71744397,P07339
17754438,P06213
10005964,P54289
5281855,Q07820
644241,P22694
59422203,Q16832
89443347,Q14432
153999,Q9UBE8
78320809,P07339
71212517,P49674
11364421,P29317
56960607,O14578
16123056,Q13555
11620908,P08631
11955855,P12236
25102847,P55263
56846693,Q13873
16679701,P08684
16719221,Q04912
137651411,P05177
71459650,Q14432
10345610,P05177
162779172,P06870
10427712,P31153
25181472,Q9H773
95801,P00918
118735337,P08069
10430360,P49841
57379345,P11388
10090485,Q5VT25
16124208,Q9H773
10646809,Q01064
23635314,Q9H773
11952856,Q02880
137645016,P35968
11364421,Q6PHR2
10430360,Q16644
46175738,P29274
16222096,P06737
11357877,P00533
10219,O43521
25102847,Q14680
146962985,Q14524
11625818,P41250
46220502,Q14289
9829523,P20340
91895770,Q86TI2
44124695,O60674
5330286,Q6PHR2
9808844,P11309
44603533,O15254
127034064,P21554
11234052,P54753
16719221,P55263
118394626,Q07817
11488320,Q12866
23635314,P49759
11978858,P08684
11719003,P09619
24771867,P23443
11387605,Q9UL54
118432902,P27338
11667893,O00238
11234052,Q9NSE4
3794,P05771
58423153,P15735
10341154,Q16513
16718576,P11309
56672570,P10635
139301871,P03951
24856041,O43683
162721884,Q9UKV0
25227436,O75676
137634086,Q9BY41
24856436,Q15418
117869380,P07339
5330286,Q99759
154699463,Q96DB2
46911863,P50613
11963255,P10635
162722319,Q92769
10074640,O14976
24995524,Q14164
134130563,O76083
58035576,P27338
135398510,Q00535
124222812,P07339
71300862,O00329
44580802,P08254
11625818,P08069
162722814,Q13547
58465708,Q969S8
25171648,Q9NQU5
50899643,Q14524
25145656,P00519
59635652,P11712
9806229,O15197
17755052,Q9H773
56960447,P36894
44385264,P22612
131964853,P10632
11719003,Q16539
11552706,P41250
25141092,P54764
46885626,O14757
10664448,P23219
71727581,Q13233
9871074,P07741
44516953,Q9H2K8
117723247,Q92793
91896075,P06276
24856436,P10398
122510354,Q9NYK1
59422203,P36897
25167777,P54760
10074640,P49840
9871074,Q8NI60
127037832,Q13936
23635314,P51617
90654800,P68400
3814427,O00408
5330258,O95067
153999,O94806
11955855,Q8IYD1
58056356,P07947
24856041,P45984
59757974,P41743
71602588,P11137
24995524,Q9Y6E0
57384236,P08684
10430360,Q13873
162779155,P06870
25145656,O14965
49806720,Q99640
129309499,Q92769
16747683,P49674
25031915,Q13464
46216796,Q02750
155531159,Q9UBN7
52949898,P27338
72188648,P00742
9794141,P02708
3547,O14965
25227462,Q99640
9911830,Q07912
46220502,P20340
5330286,P54764
145704650,P53355
25134326,Q02880
15604510,P54619
11213558,Q9Y5S2
52913813,P30291
11235063,P22607
5330286,Q13418
24864821,Q00535
117849712,Q06418
25171648,Q13627
117606729,P15735
42642645,Q9P2R7
66818569,P10635
11441300,Q6V1X1
71212446,Q00535
11973736,Q9BZL6
11442891,Q9NTK5
3794,Q13464
155517088,O60674
23643975,P31751
25134326,P12236
44631912,Q9NWZ3
17758239,Q13557
24964624,Q15569
11234052,O96013
71659896,P10635
24765037,P31153
25134326,P43686
3025986,P23458
66555680,P20340
11364421,P42685
9548013,P24385
10090485,P54764
50922691,Q9UM73
49806720,P49589
46220502,Q9NYV4
162722020,Q13547
9911830,P49841
24765037,P61160
50922675,O75582
9806229,Q13976
13009346,Q15139
25181472,P54619
66555680,Q99759
134141877,O15379
1893730,P52564
135126315,P07339
25181472,O75460
53384644,P52333
1893730,Q9Y6M4
17755052,Q9Y6M4
11497983,Q16832
10437018,Q13882
44516953,Q9HCP0
44516953,P06213
135398510,O14965
11511120,P13861
10430360,P36897
44143299,P80365
9806229,P27361
66555680,Q13555
16725726,Q8NI60
24826799,P07741
46885626,P31751
91934385,Q13464
167845056,Q9UGN5
44462760,O00311
16118392,P49840
126565,Q8NI60
10403711,P29275
9823820,O95819
13452859,P49760
11977753,P31749
49831015,Q9UQM7
11234052,Q15831
5073,Q01668
1893730,P42685
17755052,P06737
44357212,P24530
3934876,O43521
50922675,P51955
25227436,P42685
24964624,Q5VT25
50922691,O75116
25151352,Q96RR4
644241,Q8TD08
155553510,P29275
9823820,Q99640
9954289,P07477
11667893,P43405
11488320,P42685
24748204,Q9H2G2
10127622,Q00534
11548630,Q16832
54753627,P10635
146317294,Q96DB2
71114390,P67870
22049997,P07947
44350392,P05106
24765037,O75460
11713159,P48730
25181472,O75385
25171648,P49761
10366136,Q9BZE4
10297043,Q13555
25117126,P31749
23643975,Q7L7X3
73671441,Q04828
89628389,P03956
56949517,P22612
46191454,O15197
11167602,P45984
25134326,P11388
132272453,Q9NR96
44583350,P07099
866473,P42574
