PubChem_id,Uniprot_id
117723294,P25440
24749606,Q9Y5N1
5327723,Q13554
127046557,Q14833
138687065,Q9NYK1
90413665,P56817
72195322,Q13547
118723330,P42574
11338033,O76039
72544445,P00519
72193935,O95271
5329235,P00533
49868651,O95977
10506147,P08253
5494414,O95067
24767976,P16234
118723330,P55210
135125878,Q9Y5Z0
154593626,Q92793
5494449,Q9Y4K4
11148656,P33261
162506558,Q13547
90252850,P19099
46191454,Q9NSD9
3012527,P33261
145963483,Q9Y210
25165082,Q9HAZ1
132272666,Q9NR97
132272715,Q9NR97
10662,P00748
152736621,Q9NYK1
11515586,P42574
23653175,P07949
10113978,P16234
145431088,P19099
16658745,P00749
138686312,Q9NYK1
56960607,P23458
134585890,Q07699
1836,P08253
71506254,P05091
5330194,P12931
5756,Q92731
118502144,Q13315
124190456,Q92769
5329024,P35968
9826435,P27815
121364652,P03952
164885418,P09874
49849120,Q9GZT9
71504064,P05091
44450160,P28845
86566778,O60885
4946,P13945
137658634,Q5NUL3
44137946,Q04912
118218350,P51449
135126397,Q9Y5Z0
9842576,Q08493
136183381,O00329
11488320,P21860
14281015,Q13370
72551066,P03951
154593634,Q92793
6539489,P49840
3696,P23975
124087,P41595
145431101,P19099
3559,P21728
50991056,P41597
126508324,Q13547
23643975,P53350
9999276,Q08493
3016,P47869
86292798,P25440
45375865,Q05655
5328940,Q12851
127045361,P35968
2812,P11511
90655968,P53634
58191961,Q9UQL6
126524435,P56817
176167,P05771
17838175,O75116
134329563,Q9NR97
121278998,Q9BY41
118435617,Q9Y5Z0
118435407,Q9Y5Z0
145988110,P35498
134130328,Q07343
134441941,P07333
86345287,P03952
70911877,P42330
11712625,P42684
16066811,Q13547
23645411,P27487
145975351,P35916
118730799,O14757
66665524,P05067
11490692,Q16539
10090654,P35354
6918554,P07550
137660171,O15379
22103385,P25101
11456566,P45452
155765860,Q9BZP6
1377410,O43570
70274815,P43235
42642645,P54762
10696511,P00734
162660627,O43570
6918852,Q00526
166633756,Q9Y463
446504,P14780
44440259,P35968
4878,Q04771
132272499,Q9NYK1
146433574,P21589
9799518,Q92731
166627869,Q9Y463
126557237,P56817
42642648,P04626
126557182,Q9Y5Z0
134155279,P06276
155925379,Q9BY41
5327962,P24723
162722588,Q9UBN7
118196517,P25440
44344185,P00734
21198692,P43115
101201806,P53634
483672,P08246
