PubChem_id,Uniprot_id
16739368,P24864
117606729,Q9UGJ0
57990770,P53350
10288191,Q9BZE4
71455939,Q14432
23582824,Q9Y4K4
11671467,P51617
57379345,Q9NSY1
44395210,P23219
57384237,P11712
24964624,Q07912
11667893,P27361
24748204,P38117
24795070,Q16512
11797837,P23219
11213558,P55263
44603533,Q00537
121488127,P08246
24995524,P11274
11552706,P22612
44279712,P08246
10296883,Q13882
44182295,Q9HAZ1
122599342,P48736
151944290,Q9NR96
3794,P08240
24864821,P10398
9797370,P50613
10074640,P07741
10341154,Q9ULC5
71455731,P49841
49806720,Q14004
45142457,P54753
56649450,P42680
90654157,P21397
9915743,Q86XP3
10090485,P41240
10427712,P50613
24951733,P08684
46220502,P29597
56949517,P36896
644241,P27707
17754438,Q9Y4K4
11548630,P36888
44137675,Q9Y2K2
11955855,Q9H773
10288191,Q12866
50922675,Q8TD08
24905218,P54760
44445847,P10635
72190879,Q9Y233
17754438,P23458
44462760,P29597
11338033,O15197
4908,P07900
49806720,P23458
25227436,P78368
58423153,P55263
10366136,Q08345
45272511,Q13936
11338033,P15056
45142457,Q6PHR2
50922691,P43405
49803313,Q9P2R7
11667893,P54760
443391,P10635
10113978,Q92499
16041424,Q9P2R7
11474847,P43681
24769723,Q12809
91895842,Q86TI2
6918736,P31153
89963585,Q07699
11707110,P15735
16654980,Q15759
24795070,Q13873
51042438,Q96GD4
9829523,Q13882
132142036,Q14524
11978790,O75582
11364421,Q8IW41
11977753,Q13627
17759555,Q16539
155568269,Q6V1X1
168272822,P20618
176870,Q14164
134141819,P00915
10430360,P06213
134201301,Q14524
5324,P35218
16654980,Q8TBX8
25227436,Q7KZI7
64945,P11511
9810884,P54753
9810884,P54760
10090485,Q9Y6E0
53361011,Q12809
57750364,Q12809
52913813,P51617
24958447,Q12809
76322043,P08684
1893730,P46734
71496458,Q99759
11712649,Q6P5Z2
4369491,P16234
25227462,P46734
89809530,P07339
56949517,Q9UKE5
9916282,P17612
2428,Q05513
44605035,P06493
145990916,P07339
23648337,P07711
16657882,P00747
10138259,Q14004
129205148,Q12809
162664162,Q13946
9811611,O75582
121480642,P05177
5287969,Q14680
123631,Q9P2R7
16739650,P48729
11712649,P04629
44414333,P08709
136901416,Q12809
9811611,P48729
44462760,Q9Y6E0
24945028,P32297
10288191,P54760
11387605,P50613
11213558,P54753
11552706,P10398
9806229,Q9P1W9
44182295,Q8TD08
11548630,P49760
22346679,P06241
5330286,Q9UK32
16747683,P08240
9806229,P46734
162779167,P03951
90654171,P21397
11656518,Q9Y5S2
16739650,P07948
3715,P37231
118432716,P27338
10341154,O15197
24748573,P08581
153999,P53671
5330209,P21802
