PubChem_id,Uniprot_id
5280804,P43166
156022127,O15379
44395167,P35354
135285483,P56817
5329023,P35968
137658515,P16234
46224777,P05556
10296883,P05771
11715767,O00311
155538087,Q9UBN7
44324390,P27815
134493575,Q05586
155523785,P27487
24993500,Q9Y5N1
155560651,Q9BUB5
52912222,P55201
16739650,Q15078
71733911,Q9Y5Y4
117769349,P52333
11527019,P27487
24753412,Q02750
124190838,Q13547
136056548,P07948
89845025,P41597
25120419,P00797
44182295,Q02750
121426283,O00750
135398737,P25100
145993306,P56817
56645568,P19099
44576212,P53778
24824450,P35968
24759534,O60563
56965021,Q13547
23696973,P21731
24811794,P11309
44590696,P27487
49854226,O00329
58486178,Q16620
155766006,Q9BZP6
155538074,P56817
59757974,P06241
90412765,P56817
11700402,P42574
49795932,P27487
11512139,P55210
162645395,P21397
44443353,P27487
66615705,P35367
145963384,O75907
141724674,P19099
156019641,P03952
49863499,Q969S8
162662740,P35354
118684956,P49768
6468,P42785
134442092,P10721
25151352,P09619
154827329,O95271
5355,O43570
16124598,P41597
25127713,P04626
134611894,P48736
118211445,P36896
44334000,P03952
139390194,Q00534
11500899,P27487
216239,P10398
155003862,P56817
2755712,P00915
90656284,P07948
156422,O15264
126523875,P56817
10669693,P27815
11308052,P24530
16203668,P0DMS8
24858932,P00734
124222814,P56817
91895860,P27487
134149366,P07900
3002190,P20815
44361369,O96017
45263841,Q08499
49853824,P42338
16623,P22455
14872624,P11511
155557418,O15379
135567181,O43318
86293182,P25440
162722466,Q9UBN7
53357328,Q9UM73
68765,P27815
136115606,P24385
118523397,Q13315
137649571,P22455
129237029,P29597
10192730,Q92731
124114343,P30281
126556763,Q9Y5Z0
139557089,P07333
86566778,P25440
72547628,P03951
67167963,P21453
89870632,P56817
135320787,Q9UBN7
91895754,P27487
90395386,P09211
72793393,P21554
11238468,P25774
9811611,P49841
24756910,Q9UKV0
42629369,P30518
4932,P07550
153328502,P56817
490002,P07858
132272515,Q9NYK1
25164959,P37231
132272788,Q9NYK1
138686584,Q9NYK1
44350415,P08648
152178459,Q9NR97
3372,P35367
44158326,P42574
168298772,P06276
46215815,Q15118
135320906,Q9UBN7
44344918,Q96BI3
76285722,Q04759
101887277,P27487
51,Q9H255
22594331,P06756
11628992,P55210
5330258,P11802
146436137,Q13464
162722395,Q9UBN7
11213558,O15146
72724967,O95271
155525265,P30542
54581095,P28845
149137717,Q92793
5566,P35348
57384749,Q96KS0
149645458,Q92793
156155311,P45984
44478926,P39900
1400,P42685
9913629,P00734
118344339,O00763
3033,P25024
11635332,Q99705
154593686,Q92793
123372252,P08581
117723246,P25440
44230873,P23975
11442891,Q9UQB9
90645090,P08648
44441445,Q9Y5N1
24756910,Q9UQL6
4369496,P00519
54760053,P07333
155523951,P05177
132272315,Q9NR97
5281793,P43166
124203826,Q8N4C8
141286034,P07550
24757938,P35916
11152667,Q9H0K1
127035753,P27487
129032898,Q9UBN7
136183381,O00329
11649095,P28845
5281855,P67870
90645090,P18084
147111650,Q92793
16739650,P06493
126557058,P56817
10302451,O00238
44344918,Q8WW43
10602703,P13945
25053351,P11229
130335105,Q15858
44093,Q9BYF1
86715824,P56817
4878,P06239
25074167,P14061
164673826,P08912
1221,P42261
44345348,P49356
86297381,P34972
9826373,P05771
11556711,P25788
89735655,Q9BXA7
2678,P35367
9910174,P08246
126565,Q14164
164610885,Q06187
52942476,Q16790
86715869,P56817
67161540,P09619
66829616,P22460
117723263,P25440
134325555,Q13315
46236221,Q16584
155810867,Q9BVA1
126715397,P23458
5327919,P05129
146646650,P43681
23646514,P27487
90372802,P56817
135125911,P56817
149553242,P10415
5169,Q16539
46207586,Q07912
57391826,P41143
122510269,Q9NR97
6539499,P49840
11713409,P35968
30323,Q13547
168283917,P31751
90441979,P56817
118868365,Q16288
23645721,P27487
67294297,P42336
11432169,P27487
2794188,Q15078
44459431,P00918
90372973,P56817
25127713,P42680
90284132,P42336
145985766,P51684
16041424,P36888
9883332,P36544
10740439,P25101
44565796,P43235
139341575,O60885
126557048,P56817
46220502,P11309
52944550,P21397
122184541,P42356
162721884,Q9UBN7
122510237,Q9NR97
155556931,P51449
3025986,P49840
11456566,P45452
136069609,P42338
57395168,P35228
135398495,O94804
117826515,P25116
59603829,P53355
2536,P35030
11418204,P27487
24985745,P21453
49847753,Q96KS0
135421131,P49841
162506813,O15379
23395772,Q13093
44430517,P43166
44188281,P13726
91932649,P37231
16046152,P00742
11650194,P06239
11664423,P42574
25227462,O96013
146408603,P23458
132142127,Q9UQD0
146421695,Q9UQD0
139390103,Q00534
72163928,P68400
162721882,Q9UBN7
90683764,Q16288
44450094,P28845
57387539,Q96KS0
44472591,P13945
126565,O00506
11406590,Q15759
10015065,Q16790
70356221,O75874
145977796,Q15858
163322146,O14965
11655728,P35348
117723307,Q15059
821286,P10635
44304087,P00749
24856041,Q96GD4
59603829,P54619
6724,P23141
24826799,P12931
164514099,Q92793
118211139,P36897
15983966,O94804
10420920,Q16790
87343636,P48736
44286156,P49354
78109676,P09211
11429654,P17948
121364647,P03952
135125567,Q9Y5Z0
5328999,P11362
16658290,P00749
117849649,P36888
139301883,P03952
44371839,P21397
135321076,Q9UBN7
24864821,P00533
149703093,Q92793
6439091,P30542
49797612,P27487
57897151,P11712
59603829,P51617
6539488,P49840
169290174,Q9UBN7
118432745,O60341
135461970,P28482
10619336,P35354
52947522,P21397
59635652,P28845
135285430,P56817
126565,P24941
127050760,P27487
46868926,P45983
76328644,P34913
42625986,P11802
130282633,P78536
5328135,P22607
162722285,Q9UBN7
145993493,P14416
10433546,P35354
134329687,Q9NR97
145975595,P28223
25141092,O60674
117723301,P25440
139390188,Q00534
44378359,P49840
16095102,Q96DB2
24826799,P35968
10743381,P05106
136205833,Q9H6Z9
5282335,Q8WWL7
644241,Q15759
162722379,Q9UBN7
57842812,P03952
9927943,P09619
16739650,P24864
145990271,O60341
9847835,P55210
9949093,O15111
18356525,P29475
71656574,P07711
54771978,P41597
152699098,Q92793
22912151,P35354
4996,Q13547
73349220,P27487
44324507,Q08493
45482740,P08684
122510362,Q9NR97
24873110,P05556
22346679,P06239
162643534,P49768
137650518,Q00987
25262336,P42345
59627005,P11362
90469115,P46098
44448689,P28845
49867929,P50613
22103385,P25101
11213558,Q8TDX7
25169384,Q9NWZ3
66882625,O00329
11757316,P05106
139557070,P10721
137529967,O14842
59627005,P12931
16778344,P42330
154700581,P48736
11716483,P27487
46224861,P05106
166636288,P56817
8515,P45983
155519559,P35462
127035509,O60341
151144024,Q9NYK1
73349097,P45452
72698602,Q13153
165414708,P54750
46879430,P10635
15887958,P05106
25134326,Q07912
44350342,P05556
135321155,Q9UBN7
25166657,P49841
9978117,P29274
11502159,P35626
151336586,Q92793
57514697,Q9Y468
145982457,P22303
10376704,P27487
11285002,P49841
10058694,Q14416
46180759,O15379
10138259,P15735
136069532,Q9H6Z9
100606,P00918
122182842,P29274
28864,P10635
155521694,P29274
90654171,O60341
126565,O75460
22336146,P00742
137289808,P42338
14281011,Q14432
16059729,P36888
122599348,Q13315
218362,P18089
71506829,P05091
137636334,P0DMS8
145956144,Q16790
44219749,P42345
44631854,Q96RI1
135398510,P36888
54764334,P27487
90415296,P56817
134134229,Q5NUL3
44819241,P09874
126524419,P56817
166178089,P49841
118374514,P42336
11281615,P53778
44560735,Q86X55
57897195,P33261
11843159,P12931
132118649,O60341
49797596,P27487
44816692,Q9Y5N1
44443357,P27487
118689233,Q01959
11477626,P35916
45487926,P27487
24795070,Q9UGJ0
71744396,P56817
89443446,P08581
86567570,P25440
155544299,P27487
71583079,P55210
70688897,P43235
145976497,P39900
24949523,P22303
124222792,P56817
44277534,P49356
76287260,P47869
46191454,Q15078
59603829,Q08881
46911863,P08581
72164287,P68400
89735655,P53355
25147062,P08253
9817165,P09619
71583084,P42574
71566264,O43613
42642645,Q02763
5329164,P09619
67953246,P34972
46861576,Q92542
86687352,Q15858
91895766,P27487
86716869,P43166
10479082,Q16539
22336121,P00742
5360696,P31645
49855949,P04626
91937206,P53634
45272024,Q99705
25183872,Q04206
168298667,Q92769
70655914,P11309
70695845,Q13224
46866604,P42345
151017713,Q92793
10107888,P31645
14281015,Q14432
118861738,P11712
59757974,Q9NSY1
70683155,Q96GD4
5291,P42684
10444038,P19099
465669,P00740
58279815,P53582
9951075,O43174
129012239,P03372
49855167,P31749
14281033,Q13370
91826338,O60885
135240344,P23458
5287969,Q9Y463
57870160,P49841
44449835,O95271
131954137,O95271
86288520,Q01959
118734983,P08254
10207821,P49841
136183381,P42338
16722836,Q2M2I8
149179583,Q92793
138686416,Q9NYK1
46885626,Q9NQS7
44561191,P27487
129236766,P23458
57393468,P50406
168276072,O75116
5287969,Q13627
162369498,P47989
126480571,O00329
71454279,O14965
54575456,P42336
71585176,Q00987
11667893,P35968
156020275,P03951
135240434,P23458
139390011,P11802
