Drugbank_id,Uniprot_id
DB00523,Q9UF33
DB00771,Q14145
DB01062,Q9NYR8
DB12565,P47870
DB01010,P31153
DB00508,Q9HBH9
DB01083,P00403
DB00427,Q06203
DB00273,Q14831
DB11642,O60391
DB13876,P22460
DB11397,Q9NNW7
DB13952,Q99705
DB00320,P11217
DB01113,Q08170
DB01586,Q9BQB6
DB00588,Q16760
DB02709,P23458
DB11800,P09466
DB01245,P68366
DB00934,Q07021
DB01245,P50750
DB13925,P54652
DB11201,Q01959
DB08810,Q9HB21
DB09212,P15531
DB00537,Q6NVY1
DB11699,P31415
DB09079,O60494
DB06719,P10599
DB09262,P18545
DB09120,P35372
DB04845,Q92731
DB06777,P00966
DB00978,Q16478
DB01056,Q9H422
DB15102,P29275
DB01412,O15111
DB00246,P37088
DB09289,Q07343
DB00518,P11229
DB00611,P30530
DB06732,Q15569
DB00724,P30626
DB01452,P10275
DB00252,P00797
DB02207,Q16873
DB00737,P14415
DB00924,Q9NR33
DB11652,Q9NZQ7
DB01410,Q14164
DB01242,P40926
DB05246,Q13126
DB01185,P36542
DB01191,Q9NS75
DB09285,Q07699
DB00165,P20594
DB00531,Q92731
DB00837,P29376
DB00152,O60894
DB02285,P15121
DB00528,Q99250
DB00527,P15880
DB05542,P14618
DB06374,P08865
DB01224,P41240
DB01428,Q16832
DB01442,Q9C0B1
DB11363,Q9NZV8
DB11652,P00966
DB01373,P05023
DB01303,P38606
DB09185,Q15080
DB00476,Q16322
DB06739,Q59H18
DB00764,P21918
DB13191,Q6IA69
DB00942,P23458
DB06228,Q13003
DB00126,Q8N159
DB11723,P01031
DB01080,P07333
DB00422,P07477
DB06700,P16233
DB00204,P62316
DB00641,Q9NXB9
DB01472,P62807
DB16200,P40394
DB01429,Q01344
DB12843,O14730
DB00759,P07477
DB12598,Q6TGC4
DB06155,P06756
DB01280,P29323
DB04829,P22413
DB05668,P11021
DB01026,Q15303
DB01591,P02649
DB00732,Q9H2X6
DB08867,P50914
DB01087,P10644
DB00942,P29275
DB01077,Q9BXA5
DB09217,P35368
DB00554,P08493
DB00235,P05164
DB01253,Q16720
DB01135,P80511
DB05266,Q9Y478
DB06623,O95644
DB13345,P23526
DB00897,P17050
DB00767,P48443
DB00748,Q16720
DB01197,P27797
DB00394,O14791
DB04552,P14618
DB01536,P31153
DB01611,P48664
DB02329,Q13885
DB03419,P29475
DB11582,Q13838
DB13867,Q8NEV4
DB11689,P42261
DB00439,P27797
DB00412,P02818
DB06733,P18846
DB09068,P27986
DB06788,P11274
DB13164,Q00534
DB04865,P32119
DB01003,P31930
DB01075,P00749
DB01219,P14679
DB11148,P19099
DB02342,Q06203
DB01288,P17252
DB01407,O95237
DB01215,P03886
DB12161,Q16654
DB02852,P19801
DB09212,P04083
DB01422,P43088
DB00280,P51649
DB05022,P01584
DB00645,P48736
DB02709,P50914
DB09225,O75899
DB00532,Q15722
DB01108,P09038
DB04905,P23458
DB04552,Q14003
DB00349,P00846
DB00914,P50453
DB01426,P14410
DB06154,P29317
DB01149,P48551
DB01158,Q8IYT8
DB00563,P07204
DB09279,Q9NYL2
DB00959,Q9NSD9
DB12093,P18848
DB06739,P19835
DB01410,P42766
DB06021,Q9HBG4
DB12565,P62807
DB11760,P09917
DB01614,Q9NR82
DB01182,P35527
DB01011,Q93088
DB06268,P15382
DB04695,Q6NUM9
DB00530,Q9UJT0
DB06605,O43193
DB05428,P35372
DB01035,Q96RR4
DB12379,Q13237
DB01216,P00918
DB01496,P15104
DB12783,O00750
DB02546,Q02383
DB00749,Q96L12
DB06127,P00325
DB00892,P02751
DB00655,Q7KZI7
DB14754,O94804
DB06190,P06241
DB05015,Q9HCR9
DB02527,P55157
DB12836,Q96ER9
DB00905,P16234
DB01791,Q8IW41
DB05668,Q7L7X3
DB14754,Q9UDR5
DB00912,Q9BVS4
DB00880,P46782
DB01180,Q14353
DB00659,Q8WXI7
DB09119,P21452
DB00490,O00555
DB00502,Q8NEY4
DB00499,Q9NR97
DB01425,P98170
DB11738,P39023
DB01564,Q8N8Y2
DB09078,P30926
DB09075,Q05329
DB00178,P11166
DB13014,P00747
DB01204,Q9NYK1
DB08960,Q9NSD9
DB00594,P17948
DB00197,Q15493
DB00905,P29973
DB01452,O15399
DB00977,P50406
DB03509,Q15274
DB01097,Q9Y478
DB08936,P56385
DB01426,P16499
DB00316,Q02156
DB08836,P78508
DB01133,P41143
DB11642,P10909
DB12248,Q13639
DB00697,P29274
DB06781,P43004
DB11703,O60503
DB00130,Q15878
DB03394,P00367
DB00774,Q8WXI7
DB09026,P29973
DB00636,P35556
DB00900,P63244
DB04829,P15559
DB11994,P51828
DB06441,P21731
DB01367,Q9H2S1
DB04106,Q9Y6F1
DB13751,P56524
