Drugbank_id,Uniprot_id
DB00408,P08173
DB00656,P35348
DB00945,P51812
DB12978,P10721
DB00907,Q9UI33
DB00402,P18507
DB00987,P06746
DB00332,P11229
DB00228,Q16445
DB12010,Q9UM73
DB14011,Q9HBA0
DB11817,P52333
DB14063,P08183
DB00246,P28335
DB01023,Q13698
DB01373,Q99584
DB00468,P14770
DB01577,P31645
DB12010,Q9P286
DB01170,P23975
DB00819,P29972
DB01169,P05412
DB14011,Q7Z2W7
DB11693,P63098
DB09074,P09874
DB09342,P35499
DB00420,P11229
DB12010,Q08881
DB09225,P28223
DB07954,Q08499
DB11274,P35462
DB09238,Q13936
DB03010,P68371
DB08816,Q9H244
DB00867,Q01814
DB00945,O14920
DB14840,P35968
DB01239,P08912
DB00201,O76083
DB11365,Q92482
DB00405,P35367
DB00490,P25100
DB08329,P00918
DB00605,Q9Y5Y4
DB01278,O60895
DB00204,Q14500
DB01544,O00591
DB00622,P20309
DB00818,Q99250
DB12010,P29322
DB01239,P28221
DB01169,P28482
DB04884,P28335
DB01110,Q01668
DB01113,Q07343
DB11348,P41180
DB00142,P54687
DB00413,P35462
DB00721,Q8TCU5
DB00134,Q9UBK8
DB01553,O00591
DB00411,P08172
DB00409,Q99720
DB05137,P36544
DB06422,Q13639
DB01151,P07550
DB01254,P42685
DB01273,P32297
DB11800,P17948
DB12010,Q13523
DB01231,P20309
DB01200,P35462
DB09286,P35348
DB00371,P18505
DB08801,P08172
DB00651,P27815
DB13837,P31644
DB00831,P63316
DB06216,P08588
DB00122,P49585
DB12010,O75385
DB00980,P48039
DB00328,Q04760
DB06813,P04818
DB00170,P00740
DB00540,P08172
DB01297,P08588
DB15565,P12821
DB01262,Q9Y6K1
DB13345,P34969
DB00647,P23141
DB13025,P46098
DB06148,P18089
DB01189,Q9UN88
DB02587,Q9H2S1
DB05260,P21281
DB00912,P37231
DB01392,P41595
DB00613,P50135
DB09096,P05771
DB00989,P22303
DB00831,P26447
DB00975,O76074
DB09409,O60391
DB00434,P11229
DB00193,P23975
DB01176,P35367
DB01054,Q86W47
DB04903,P47869
DB06719,P30968
DB13872,Q9UN88
DB00777,P14416
DB00653,Q02641
DB00623,P21728
DB01118,Q13936
DB00313,Q02218
DB01656,Q08493
DB01352,P36544
DB01403,P35462
DB01558,P34903
DB01592,Q16595
DB11901,P28472
DB14006,P22303
DB12010,Q9UQM7
DB00335,P08588
DB00320,P21917
DB08437,P39023
DB09209,P41143
DB08839,Q05940
DB13746,Q9Y5Y9
DB03758,Q15120
DB00898,P19320
DB00967,P35367
DB01144,P00918
DB11644,P02766
DB01558,P18505
DB01194,P00918
DB01238,P28335
DB01142,P31645
DB12307,P14210
DB01580,P08588
DB09342,Q9UQD0
DB01245,Q15822
DB00228,O00305
DB04842,P28223
DB00543,P47870
DB01577,Q05940
DB09517,P68871
DB00418,P47869
DB01021,P00918
DB04574,P03372
DB01645,Q14289
DB00270,Q08289
DB00801,Q16445
DB01250,P51580
DB06144,Q12809
DB01069,P11229
DB01075,P08172
DB00454,Q13224
DB11323,P23219
DB00843,P22303
DB12177,P28223
DB08799,P35367
DB01239,P28566
DB05667,P19099
DB13025,P28222
DB12010,Q02779
DB01403,P35367
DB01110,Q9UGI6
DB00907,P23975
DB06262,P35368
DB01954,Q08493
DB00412,Q03181
DB06713,P10275
DB05015,Q969S8
DB00926,P10276
DB12598,P00748
DB01142,P25100
DB01347,P30556
DB13335,P47870
DB01559,P47869
DB00627,P40261
DB05885,P23415
DB00776,P35498
DB00546,Q99928
DB14568,O75874
DB06148,P23975
DB04841,P0DP23
DB01559,P48169
DB13345,O95264
DB00797,P18825
DB01483,P47869
DB05262,P47989
DB14635,P16152
DB00801,Q8N1C3
DB00768,P35367
DB01107,P47870
DB00549,Q9Y271
DB09238,O00555
DB00384,P37088
DB00398,P10721
DB00395,P18507
DB01250,P35354
DB12010,P57059
DB01359,P07550
DB09225,P31645
DB09221,P17948
DB00142,Q14833
DB13437,P47869
DB01133,Q8NHE4
DB09130,P23526
DB00475,Q99928
DB00159,O15540
DB00797,P35367
DB01275,Q16665
DB00865,Q05940
DB01593,P46736
DB01003,P25815
DB09130,P04217
DB01251,Q09428
DB00244,P09917
DB09089,Q9UGI6
DB01054,O00305
DB12010,Q9H4B4
DB12478,P14416
DB00580,P00918
DB08837,Q09470
DB12010,O14976
DB00126,Q8N543
DB01589,P47870
DB00661,P62955
DB09167,P11229
DB00527,Q14524
DB00794,Q99928
DB02587,Q12791
DB12010,P09619
DB06603,Q9UKV0
DB01226,P06276
DB01595,P35498
DB13956,P62508
DB11181,P08173
DB13955,Q15596
DB00465,P35354
DB12537,P18505
DB09185,P35367
DB00142,Q13003
DB01353,P42262
DB00523,Q15238
DB00391,P35462
DB13837,Q99928
DB11638,P37802
DB00200,P22033
DB01224,P28221
DB00656,P35367
DB00393,Q02641
DB01708,Q07869
DB00241,P78334
DB09409,O15399
DB01587,P18505
DB00304,P06401
DB00897,O00591
DB01110,O60840
DB06077,Q13224
DB00246,O95264
DB06191,P08183
DB00849,P43681
DB06288,P34969
DB00543,P08912
DB00914,Q13131
DB00431,P24046
DB04599,P42262
DB09130,P17174
DB01238,P20309
DB05541,O60939
DB00953,P08908
DB00434,P20309
DB14669,P04083
DB12010,Q05397
DB12010,P05129
DB04855,P63252
DB09283,Q14123
DB00721,Q9UGI6
DB01942,Q13363
DB01017,P28482
DB00868,Q14524
DB01645,P11474
DB00182,P18825
DB06207,P35348
DB11841,P56524
DB00334,Q99928
DB01553,P31644
DB00189,P18507
DB01240,P43119
DB00546,P18505
DB04855,P08588
DB14011,O43497
DB00370,P25100
DB06151,P48637
DB00514,P36544
DB00342,P08173
DB09130,P02647
DB08804,P41595
DB12941,P10275
DB00201,P27815
DB01107,P47869
DB09089,O95180
DB00661,P31645
DB00897,Q9UN88
DB09130,P12814
DB09097,P21918
DB11577,P25100
DB12147,P07333
DB00173,Q13126
DB01238,P14416
DB01589,P28472
DB00252,P34903
DB00441,P04818
DB12695,P60903
DB00866,P07550
DB00277,Q14432
DB00308,Q12809
DB01133,Q15904
DB02527,P10644
DB06217,Q12809
DB00234,P23975
