Drugbank_id,Uniprot_id
DB00006,P51161
DB00006,P80511
DB00006,P21964
DB00006,Q96L34
DB00007,Q13956
DB00007,O95954
DB00007,Q07020
DB00007,Q15858
DB00007,P11586
DB00014,Q06481
DB00014,O15197
DB00014,P68104
DB00014,P22001
DB00014,P07998
DB00014,P11387
DB00035,P20813
DB00035,P39900
DB00035,P07202
DB00067,Q9H169
DB00067,P48764
DB00067,O96007
DB00091,Q96L34
DB00091,Q8N907
DB00091,Q13370
DB00091,P07359
DB00115,O00763
DB00115,P17302
DB00115,Q13838
DB00116,Q02108
DB00116,P02452
DB00116,Q9BUF5
DB00116,Q15125
DB00118,P08100
DB00118,P35858
DB00118,P27635
DB00118,Q15120
DB00118,P04279
DB00120,P25774
DB00120,O60733
DB00120,Q8NER1
DB00120,O60603
DB00122,P09958
DB00122,Q969P6
DB00122,Q08345
DB00122,P19835
DB00122,Q99759
DB00126,Q99259
DB00126,P12268
DB00126,Q8N159
DB00126,Q9NSA2
DB00127,Q9NR97
DB00127,Q9BXT2
DB00127,O95977
DB00127,Q9P0Z9
DB00130,Q15878
DB00130,P22460
DB00130,Q32MK0
DB00130,P49747
DB00130,O60391
DB00130,Q00536
DB00130,O14964
DB00130,Q13188
DB00130,P10632
DB00132,P51451
DB00132,P00918
DB00132,Q07955
DB00132,Q02153
DB00132,P25105
DB00132,P62917
DB00134,Q99653
DB00134,Q14145
DB00134,P49908
DB00134,P43005
DB00135,P27707
DB00136,Q9UNN8
DB00136,Q96AE4
DB00139,P61978
DB00139,O60760
DB00139,Q9Y2H1
DB00139,O15197
DB00139,P23975
DB00140,P48764
DB00140,Q9UBL9
DB00142,P16591
DB00142,P56696
DB00142,P08697
DB00142,P17980
DB00145,P03372
DB00145,Q9HB21
DB00145,Q96QT4
DB00150,Q16719
DB00150,Q92800
DB00152,O00142
DB00152,O60894
DB00153,P28329
DB00153,O15392
DB00153,P09936
DB00153,P28845
DB00155,P10997
DB00155,Q9NR28
DB00155,P48047
DB00155,P09488
DB00155,P54750
DB00155,P22413
DB00155,Q12879
DB00155,P43487
DB00155,P25100
DB00155,P38606
DB00155,P08069
DB00159,P47989
DB00159,Q02218
DB00159,P39086
DB00159,Q9UI12
DB00159,P41231
DB00162,O15554
DB00162,Q96L12
DB00162,P30530
DB00162,Q0VD83
DB00162,P02818
DB00162,P02766
DB00163,P47870
DB00163,Q9UL54
DB00163,Q92806
DB00163,Q9GZU7
DB00163,P33151
DB00163,P46940
DB00165,P20594
DB00166,P30531
DB00166,P06280
DB00168,P09488
DB00170,P68104
DB00170,P17936
DB00170,P23743
DB00170,P27348
DB00173,P27448
DB00173,P16389
DB00173,P02763
