Drugbank_id,Uniprot_id
DB00006,P21964
DB00007,O95954
DB00014,P07998
DB00091,P07359
DB00115,P17302
DB00116,Q02108
DB00118,P08100
DB00120,Q8NER1
DB00122,P19835
DB00126,Q8N159
DB00127,Q9BXT2
DB00130,P22460
DB00132,P51451
DB00134,Q99653
DB00135,P27707
DB00139,P61978
DB00142,P56696
DB00145,P03372
DB00153,O15392
DB00155,P25100
DB00159,P39086
DB00162,P30530
DB00163,P47870
DB00168,P09488
DB00170,P17936
DB00173,P02763
DB00175,P17174
DB00176,Q9NP56
DB00177,P67775
DB00178,P11166
DB00179,Q15185
DB00180,P48551
DB00181,O15146
DB00182,P13647
DB00184,O14965
DB00185,P41250
DB00186,P06493
DB00187,O60218
DB00189,Q9H4B7
DB00190,P07437
DB00191,P49913
DB00193,Q9BY41
DB00195,P63000
DB00197,Q969P6
DB00198,P48048
DB00199,Q05209
DB00200,P12814
DB00201,Q7Z460
DB00202,Q99500
DB00203,P78362
DB00204,P50440
DB00205,P13569
DB00206,Q00532
DB00207,Q8IU85
DB00208,O43306
DB00209,P41180
DB00210,Q92952
DB00211,Q13464
DB00212,P27449
DB00213,Q8NFM4
DB00214,Q16881
DB00215,P48051
DB00216,O94925
DB00217,Q9NWZ5
DB00218,P22830
DB00219,P04271
DB00221,P11388
DB00222,O75348
DB00223,P23921
DB00226,O96013
DB00227,P00414
DB00228,P26358
DB00230,P22748
DB00231,Q9P2K8
DB00232,P07359
DB00233,P46098
DB00234,Q12866
DB00235,P16591
DB00237,P05023
DB00239,O00763
DB00240,Q08881
DB00241,O60494
DB00242,Q14432
DB00243,P12277
DB00244,Q13255
DB00245,P51843
DB00246,P08493
DB00247,Q9Y2Z4
DB00248,Q9BXJ7
DB00252,Q6FHJ7
DB00253,P63261
DB00255,O60391
DB00257,P35916
DB00261,P10515
DB00262,P30542
DB00264,P02452
DB00266,P10827
DB00268,Q13488
DB00269,Q92769
DB00270,P48664
DB00273,Q14831
DB00275,P0C0L5
DB00276,P61313
DB00277,P02708
DB00278,Q8TD30
DB00279,P39748
DB00280,P22694
DB00281,P62937
DB00282,P62736
DB00283,O14964
DB00284,P28329
DB00285,Q15759
DB00287,P42330
DB00288,P21333
DB00289,O14976
DB00290,P07327
DB00292,P10606
DB00293,P28472
DB00294,Q12809
DB00295,Q9Y2U5
DB00296,P05108
DB00297,P29475
DB00298,P48544
DB00302,P11413
DB00304,P18848
DB00306,Q96A05
DB00307,P01308
DB00308,P35968
DB00309,Q05655
DB00310,P30101
DB00311,Q96L21
DB00312,Q04771
DB00313,P59768
DB00315,Q9UNQ0
DB00316,Q02156
DB00317,P14679
DB00318,O95665
DB00320,Q9NR28
DB00321,O60658
DB00322,P00748
DB00323,P05090
DB00324,P08235
DB00327,P07949
DB00328,Q04206
DB00331,P11388
DB00332,P19021
DB00333,Q9UK17
DB00334,P29973
DB00335,Q14831
DB00337,P63000
DB00338,P17302
DB00340,P35354
DB00341,P29474
DB00342,P30044
DB00343,P02794
DB00344,P22001
DB00346,P14679
DB00347,Q15120
DB00349,Q9Y5K3
DB00350,Q9BYF1
DB00351,P59768
DB00353,P05109
DB00354,Q13555
DB00356,Q06323
DB00357,Q9UN88
DB00358,P02679
DB00360,P27487
DB00361,O60503
DB00363,P46736
DB00364,P00352
DB00366,P36896
DB00367,Q9Y616
DB00368,P06576
DB00370,P04264
DB00371,P30086
DB00372,P02795
DB00373,Q15858
DB00374,Q14103
DB00376,Q9Y3R4
DB00377,P35908
DB00378,P00414
DB00379,Q13188
DB00380,Q06323
DB00381,P13569
DB00382,Q13003
DB00383,P00734
DB00384,P18847
DB00385,P34897
DB00387,P22694
DB00388,Q12874
DB00390,Q02383
DB00391,P02818
DB00392,P51649
DB00393,P20810
DB00394,P02750
DB00395,Q9Y5Y4
DB00396,O75116
DB00397,P22792
DB00398,O14764
DB00399,Q15822
DB00401,Q92731
DB00402,O14920
DB00404,P01100
DB00405,P43487
DB00408,P02818
DB00409,Q9Y694
DB00411,O60568
DB00412,P09488
DB00413,P15121
DB00414,Q9Y487
DB00415,Q13946
DB00416,P46782
DB00418,P07686
DB00420,P03372
DB00421,P51164
DB00422,P07998
DB00423,Q969G3
DB00424,P15336
DB00425,P07357
DB00427,Q9NYL2
DB00429,P02656
DB00431,P49411
DB00432,P35913
DB00433,Q05513
DB00434,P22460
DB00435,Q06418
DB00436,P17174
DB00437,Q9BVS4
DB00439,P54652
DB00441,P25705
DB00443,P02585
DB00444,P11021
DB00445,Q8N0U8
DB00448,P26447
DB00449,O60568
DB00450,O15540
DB00451,O14649
DB00452,Q9Y5K3
DB00454,P22792
DB00455,Q9HAZ1
DB00457,Q14697
DB00458,P28221
DB00459,P50750
DB00461,P40238
DB00462,P25105
DB00463,P42345
DB00465,O95342
DB00467,O95622
DB00468,P26439
DB00469,Q14957
DB00470,P51172
DB00471,P02786
DB00472,P16389
DB00474,P11586
DB00475,Q9Y698
DB00476,Q16322
DB00477,Q9Y5Y6
DB00480,Q04912
DB00481,Q96L34
DB00482,P53611
DB00483,Q8TCT9
DB00484,P31645
DB00486,P17752
DB00487,P08913
DB00489,Q04760
DB00490,P11137
DB00491,P24046
DB00492,P10276
DB00493,P15924
DB00494,P32119
DB00496,P00558
DB00497,P21281
DB00498,P01011
DB00499,Q9UBV8
DB00500,P49916
DB00501,P01023
DB00502,Q8NEY4
DB00503,Q13332
DB00504,Q7Z2W7
DB00505,P29762
DB00508,P13995
DB00511,P39086
DB00513,P24046
DB00514,O60674
DB00517,P28476
DB00518,P09455
DB00519,P25963
DB00521,Q9Y6F1
DB00523,Q13621
DB00524,P23458
DB00527,P15880
DB00528,P29317
DB00530,P02652
DB00531,Q04917
DB00532,Q15722
DB00533,Q13547
DB00535,Q14571
DB00536,P01042
DB00537,P15559
DB00539,P12644
DB00540,O15146
DB00541,P15531
DB00542,P42330
DB00543,P00367
DB00544,P18858
DB00545,Q06432
DB00546,P00326
DB00547,Q9HC29
DB00548,P00390
DB00549,O15264
DB00552,Q6FHJ7
DB00554,O14618
DB00555,P22557
DB00557,Q9UBC3
DB00558,Q9Y698
DB00559,P31946
DB00561,P61313
DB00562,P53778
DB00563,P07204
DB00564,P02649
DB00565,P62917
DB00568,Q9Y478
DB00569,Q9Y6T7
DB00570,P28482
DB00571,P00439
DB00572,P68366
DB00573,Q8TDS4
DB00574,P08473
DB00575,P08697
DB00579,Q9Y257
DB00580,P06733
DB00583,P05412
DB00584,P27348
DB00585,P23634
DB00586,P02748
DB00588,Q9BUB5
DB00589,P84098
DB00590,Q15080
DB00591,P22557
DB00592,P04279
DB00593,P10997
DB00594,P05412
DB00596,Q05397
DB00598,Q9H3Y6
DB00599,O43497
DB00600,Q9Y2D0
DB00603,P27348
DB00604,Q16620
DB00605,Q92781
DB00606,Q07869
DB00608,Q9P0X4
DB00610,Q96L34
DB00611,P10826
DB00612,P08686
DB00615,P23141
DB00616,P48723
DB00617,Q02809
DB00619,P07359
DB00620,O75390
DB00621,Q9BY41
DB00622,Q969S2
DB00623,P16220
DB00624,P17174
DB00626,Q9Y266
DB00627,O95622
DB00628,Q96KS0
DB00629,P49908
DB00630,P48549
DB00631,Q06203
DB00633,P16455
DB00635,Q04609
DB00636,P49368
DB00637,Q03013
DB00640,P51164
DB00641,O14730
DB00642,P41240
DB00643,P29474
DB00644,P08253
DB00645,P17676
DB00647,P56537
DB00648,O15382
DB00651,Q9Y6Y9
DB00652,Q86W47
DB00653,P46439
DB00654,Q13188
DB00655,O14983
DB00656,O95298
DB00657,Q96Q83
DB00659,P31391
DB00661,Q14145
DB00663,P05177
DB00665,Q14457
DB00666,P04264
DB00668,P05177
DB00669,P17787
DB00670,P20701
DB00672,P41240
DB00673,Q12852
DB00674,P42336
DB00675,P08514
DB00677,Q15788
DB00678,P00966
DB00679,P14618
DB00680,P56282
DB00682,O00591
DB00683,P08684
DB00685,Q01082
DB00686,P26447
DB00687,P62736
DB00688,Q8IVL5
DB00690,P49747
DB00691,Q96ER9
DB00692,Q7L7X3
DB00694,Q9NPA2
DB00695,P13645
DB00696,P15086
DB00697,P25105
DB00699,P61769
DB00700,Q96FI4
DB00703,P54764
DB00704,P13631
DB00706,Q9BXT2
DB00708,P43405
DB00710,P29466
DB00711,Q08881
DB00712,Q15637
DB00714,Q9NR33
DB00715,Q92482
DB00716,P20061
DB00717,Q86XP1
DB00719,P12277
DB00720,O75385
DB00721,P00326
DB00722,Q9UJT0
DB00723,P68366
DB00724,Q7Z460
DB00725,P35368
DB00726,P07359
DB00728,P68363
DB00731,Q9UKE5
DB00732,Q9Y698
DB00733,P10721
DB00734,P25103
DB00736,P22830
DB00737,Q96Q83
DB00740,P22888
DB00741,Q07020
DB00744,P35398
DB00745,P07900
DB00746,Q99584
DB00747,Q99720
DB00748,Q9NRF9
DB00749,P52333
DB00750,Q14500
DB00751,P00749
DB00752,P04156
DB00753,Q15858
DB00754,P68871
DB00755,Q13393
DB00757,P35858
DB00758,P08620
DB00759,P07288
DB00761,P16455
DB00762,P48050
DB00764,P12236
DB00765,Q13164
DB00767,Q9H2G2
DB00768,Q9UHF0
DB00769,Q9Y2T6
DB00770,O75838
DB00771,P61769
DB00772,Q969P6
DB00773,P40926
DB00774,Q9H244
DB00775,Q6PHR2
DB00776,P30613
DB00777,P38606
DB00778,P78330
DB00780,P07814
DB00782,Q04917
DB00783,Q9NPH2
DB00784,O60656
DB00788,Q00534
DB00789,P01023
DB00790,P17405
DB00792,Q16790
DB00794,P02652
DB00795,P19099
DB00796,Q9NRH2
DB00797,P00742
DB00798,P05181
DB00799,Q9Y233
DB00800,Q16512
DB00801,Q8TD43
DB00802,Q96FI4
DB00804,Q99584
DB00805,P00734
DB00806,P49888
DB00807,P15121
DB00808,P36888
DB00809,P48729
DB00810,P41240
DB00811,P07814
DB00812,P28221
DB00813,P49411
DB00814,P04279
DB00816,Q16555
DB00818,P61313
DB00819,P11474
DB00820,P04054
DB00821,P48551
DB00822,Q14833
DB00823,Q02383
DB00825,P43115
DB00829,P04040
DB00830,Q8NI60
DB00831,P22607
DB00834,P20839
DB00835,P16389
DB00836,P36542
DB00837,Q9P286
DB00838,Q08493
DB00839,O00303
DB00841,P09874
DB00842,Q02221
DB00843,P49662
DB00844,Q13547
DB00845,O15197
DB00846,O43353
DB00848,Q16760
DB00849,Q15493
DB00850,P15382
DB00851,P17844
DB00852,P11217
DB00854,P08473
DB00857,P21554
DB00860,P06703
DB00861,Q04771
DB00862,P10589
DB00863,P19801
DB00864,P24752
DB00865,Q13956
DB00866,Q9UHA3
DB00867,P17252
DB00868,Q96A70
DB00869,P49915
DB00870,Q9Y694
DB00871,P08172
DB00875,Q05940
DB00876,P31749
DB00877,P60709
DB00880,P46782
DB00881,P04114
DB00882,Q9ULY5
DB00884,P11142
DB00886,Q13219
DB00887,P36897
DB00889,P10809
DB00890,P21549
DB00892,P02751
DB00894,O15382
DB00896,P04004
DB00897,Q13332
DB00898,Q9UNX9
DB00899,O14791
DB00900,Q05329
DB00901,P22626
DB00902,Q92769
DB00903,Q9UI12
DB00904,Q9H6Z9
DB00905,Q8IVL6
DB00907,P05129
DB00908,P00395
DB00909,P63261
DB00912,P35499
DB00913,Q13237
DB00914,P24752
DB00915,P49368
DB00917,P62917
DB00918,Q92934
DB00920,P31644
DB00921,Q9UHA3
DB00922,Q01082
DB00924,P27824
DB00925,A8MPY1
DB00926,P04179
DB00927,P49662
DB00928,Q9GZT9
DB00929,P50440
DB00933,P30939
DB00934,P24385
DB00935,Q04828
DB00936,P42081
DB00937,P29597
DB00938,Q9Y3R4
DB00939,Q9NQU5
DB00940,Q96EB6
DB00941,Q13224
DB00942,P61024
DB00944,P02790
DB00945,Q8NEV4
DB00946,P35869
DB00947,P36896
DB00949,P10696
DB00950,Q07955
DB00951,O00264
DB00952,P20711
