Drugbank_id,Uniprot_id
DB06726,P02790
DB01421,P06493
DB00717,P15502
DB09048,Q9GZZ6
DB00937,Q8N907
DB00585,P21266
DB01084,P11142
DB13720,Q9H2X6
DB09076,O60658
DB01120,Q14500
DB16703,O14965
DB01032,P43155
DB01267,Q8NEV4
DB04017,P41250
DB00421,Q9Y478
DB00145,Q96QT4
DB15488,P31152
DB06741,O00238
DB01006,P14415
DB01012,P43652
DB05107,P03372
DB00372,Q9H4B4
DB00596,Q9NYV7
DB11760,Q0VD83
DB04820,O14764
DB01063,Q16568
DB01220,Q96LZ3
DB01053,P05141
DB04894,P62277
DB01183,P15153
DB06587,P49902
DB06637,Q02127
DB09209,P13645
DB06707,P40933
DB01022,Q9UKV0
DB08828,P63104
DB06813,P23528
DB11737,P06753
DB02165,P41594
DB00875,P42338
DB00757,P35858
DB00589,P84098
DB01024,Q8TCU5
DB11828,P25103
DB00898,Q9UNX9
DB00935,P02787
DB00244,Q9NYY3
DB00455,Q9HAZ1
DB11560,P08631
DB00491,P27169
DB01192,P08686
DB01194,P02749
DB09212,P04083
DB12499,P29323
DB00385,P34897
DB01113,Q8N543
DB01013,P10253
DB04957,P08908
DB00841,P51858
DB01320,Q13733
DB00347,P18669
DB00163,P46940
DB01221,P07947
DB03523,P02765
DB00549,Q03393
DB09227,Q14831
DB00915,P35372
DB00558,P02768
DB04938,P07360
DB00936,Q9BQE3
DB03587,P22888
DB14028,Q16850
DB09031,P42679
DB00823,O95665
DB00871,P56537
DB04905,Q04759
DB00973,P30411
DB00280,O15304
DB06159,P03951
DB14754,O60494
DB06825,Q02383
DB00861,Q9H2G2
DB00868,P51164
DB13729,P30086
DB00599,O14842
DB04838,O15554
DB00945,P21802
DB13003,P46736
DB13643,P51812
DB11723,P14210
DB14669,P43487
DB01373,P52209
DB16703,Q16647
DB14539,P09486
DB09236,Q8IU85
DB06159,P06493
DB13158,P07101
DB14068,P50613
DB04837,Q13555
DB01099,P35590
DB01001,P09038
DB09351,P02768
DB09120,P04083
DB14533,Q9NSA2
DB05239,Q9H4B4
DB00862,P00480
DB01548,P48736
DB05351,Q8N0U8
DB00122,Q08345
DB11979,Q9UBV8
DB01028,Q9UKI8
DB02345,P36955
DB01034,P42680
DB00551,O75908
DB00687,P47869
DB01395,Q8TBX8
DB01261,Q07021
DB01496,P15104
DB15114,P17050
DB06201,P28221
DB01629,P62807
DB00717,Q86XP1
DB01001,Q9NZK7
DB00683,P41231
DB12597,Q2M2I8
DB00863,P11387
DB00926,P04179
DB08860,P28676
DB01472,Q9Y691
DB01113,Q03181
DB00907,P05129
DB12565,P55072
DB01433,Q8N159
DB11079,P23297
DB06726,O14730
DB13867,O75891
DB04878,P10606
DB01073,P00915
DB09071,P55769
DB05219,P02786
DB01429,P09382
DB06819,P02649
DB08931,P24462
DB00765,P28222
DB06262,P01138
DB00991,P47869
DB00863,P01138
DB00261,O43283
DB14754,O94804
DB01400,Q9UQQ2
DB00918,Q92934
DB13877,P22309
DB00549,P00558
DB01536,P13693
DB02552,P60174
DB04786,P10809
DB04905,Q8WUI4
DB01156,P42081
DB00811,O94788
DB01149,P16233
DB00186,P49913
DB13955,P27824
DB06791,O75964
DB01176,Q9BYF1
DB01345,P10997
DB01054,P23219
DB06204,P10636
DB00843,P06702
DB14488,P00797
DB00394,P02750
DB05814,P28221
DB02709,P23458
DB00318,P18545
DB12565,P47870
DB04832,P35462
DB02207,P11166
DB04880,P09769
DB01108,P09038
DB00205,P13569
DB01873,O60266
DB00749,P61313
DB01338,P17252
DB01221,P05771
DB16650,P18858
DB02552,P14902
DB01149,P51884
DB06711,P54750
DB13874,Q96AE4
DB00933,P30939
DB01169,O00469
DB01614,Q9NR82
DB00868,Q9NYK1
DB01078,P05113
DB06021,P52209
DB00494,P05121
DB11148,P53355
DB01178,Q16659
DB01954,P31391
DB06210,P30530
DB04871,Q99519
DB13257,P27487
DB04905,Q9UBS5
DB04836,Q9BY41
DB00230,P30041
DB06127,P05023
DB01191,Q969S2
DB00654,P14060
DB01106,Q9NY46
DB00753,P28335
DB11730,Q8N5Z0
DB01056,P28482
DB09241,Q9UKE5
DB00337,Q05586
DB11963,P30926
DB00794,Q07020
DB08804,Q15418
DB13948,P08631
DB05107,P62269
DB12836,P62829
DB06512,Q8N0U8
DB09389,P09960
DB00321,P07900
DB06287,Q96LB4
DB14500,Q9UN88
DB00536,P01042
DB00699,P13945
DB04917,P09958
DB01081,P21462
DB11837,Q9UF02
DB00820,Q14573
DB00455,Q15493
DB13615,P22694
DB16267,P07202
DB00126,Q9NSA2
DB00758,P35348
DB00915,P29274
DB14921,Q969G6
DB12941,O15528
DB00825,P35346
DB06144,P25788
DB00983,P06870
DB01220,Q75N90
DB00333,Q99640
DB00989,P45954
DB00474,O15111
DB00978,P49662
DB06710,Q15238
DB00897,P56696
DB14631,P04798
DB00491,P08697
DB07720,P09038
DB00178,P20061
DB11979,O15392
DB01132,P17735
DB08918,P06870
DB15102,O43570
DB00197,Q969P6
DB01206,P16066
DB12001,P14902
DB12713,P29371
DB09286,Q96BR1
DB00774,Q8WXI7
DB14649,P19784
DB02056,O95298
DB06191,P04217
DB00814,P25774
DB11081,P50416
DB00908,Q00536
DB00655,Q7KZI7
DB06756,Q01082
DB04794,P21452
DB03010,Q96L21
DB00404,P07098
DB00497,O15393
DB00170,P27348
DB02424,P04279
DB05265,P15144
DB08807,P13639
DB05294,P23458
DB11699,P31415
DB00945,Q8NEV4
DB00914,P84077
DB00334,O75460
DB01180,P22413
DB01017,Q9Y5N1
DB06594,P06748
DB01245,O43708
DB00669,Q05901
DB01170,P62312
DB01213,Q8TD30
DB00749,P35228
DB00244,Q9HCR9
DB00838,O60503
DB01288,Q08462
DB01433,Q13126
DB00623,P30793
DB01348,Q02127
DB01427,Q02127
DB03615,Q9H422
DB00682,P32119
DB12016,P14625
DB01245,Q13224
DB00452,Q9NR28
DB00235,Q9UKV0
DB08810,P25774
DB01005,P09455
DB00991,P13196
DB00736,Q14012
DB01466,Q9P0L2
DB09048,Q9Y5K3
DB04839,P11217
DB00214,Q16881
DB06413,Q8TD08
DB00600,Q08493
DB01186,Q06278
DB00823,Q13574
DB00227,Q9NR28
DB00344,P22001
DB00361,P17948
DB00253,Q9Y2H9
DB00860,P62750
DB09082,Q9H422
DB00498,P0CG30
DB01157,P05121
DB01207,O00222
DB01050,P67775
DB08892,Q8NBN7
DB00465,P48729
DB03419,P29475
DB01228,P14598
DB00617,P02452
DB00736,P18825
DB00603,P42263
DB00318,P00414
DB00617,Q14330
DB08895,P02652
DB01229,Q15759
DB01645,Q9Y271
DB12579,P00966
DB12007,O14958
DB00205,Q9H2X6
DB08877,P28702
DB02282,P38936
DB00715,Q92482
DB00583,P67870
DB09130,Q9NRP7
DB01213,Q92598
DB00988,P02753
DB01251,Q14457
DB01219,Q15139
DB12695,P62316
DB12499,Q92887
DB01036,P09960
DB00523,P29275
DB00950,O75385
DB08805,P41222
DB11855,Q99497
DB01411,Q05329
DB11837,P41180
DB11090,P49411
DB06263,P78348
DB00514,O60674
DB01421,Q08828
DB00163,Q9UL54
DB11429,Q92934
DB09273,P35579
DB04795,P14770
DB11235,P22694
DB01427,Q15208
DB01427,Q6FHJ7
DB09064,P30536
DB01403,P34932
DB01099,Q6PHR2
DB14050,Q9Y463
DB01567,P12814
DB01034,P30049
DB00468,P26439
DB01208,P10606
DB00896,P04004
DB00845,P14415
DB01620,Q13733
DB00717,P38936
DB00917,Q14012
DB05246,P28223
DB11800,P06493
DB12007,Q32MK0
DB02329,P27824
DB01229,P30556
DB11723,Q9UEW8
DB00232,P07359
DB01038,P21796
DB01892,P09601
DB08799,Q99828
DB00322,P00748
DB00802,P54289
DB08908,Q96NR8
DB04076,Q8WXS5
DB00545,Q16832
DB05022,Q99623
DB00439,Q14994
DB00421,Q9UHA3
DB11541,Q14697
DB00969,Q9BYV1
DB01411,P06727
DB00312,O15067
DB05767,Q9NYY3
DB00394,P30536
DB13257,Q99759
DB00902,P09488
DB00235,A5X5Y0
DB04440,P13569
DB06228,P20309
DB06204,P14061
DB01122,P08263
DB11477,P51812
DB00552,P10826
DB01236,P0DJD9
DB01220,P04035
DB00635,Q04609
DB00283,Q00536
DB00533,P55011
DB11274,Q15942
DB08911,P18850
DB08806,P20711
DB00327,P07949
DB11691,Q01959
DB06203,P35218
DB06016,Q02750
DB01452,P10275
DB01108,Q9NRF9
DB00605,P14735
DB11614,P42766
DB00673,Q13509
