Drugbank_id,Uniprot_id
DB00193,Q14957
DB08896,P35916
DB00396,P06401
DB13125,P40238
DB13345,P34969
DB01110,O75469
DB04855,Q08289
DB01236,Q16720
DB00145,Q9BYV1
DB07931,O75469
DB00669,P28221
DB00232,Q13621
DB00142,P48507
DB09231,Q9P0X4
DB00972,P25021
DB01380,P04083
DB00540,P08588
DB05521,Q9Y6L6
DB06144,P28335
DB15035,O60674
DB02659,P00395
DB01073,P09884
DB09096,P04040
DB00449,P06276
DB00794,P47870
DB08896,P04049
DB00834,O75469
DB01100,P35462
DB14487,P0C0L5
DB00909,Q8IWT1
DB00202,P20309
DB05767,P19838
DB01043,O00591
DB00162,O94788
DB14001,Q86XP1
DB00145,Q14032
DB12010,P42681
DB14533,P02765
DB08437,Q9UNX3
DB01054,Q9H2S1
DB00477,P50406
DB09089,Q02641
DB00628,Q9UN88
DB03010,Q9NY65
DB12010,P51812
DB11672,P16152
DB00995,P30044
DB00412,P37231
DB01593,P14780
DB01132,P37231
DB09221,P17948
DB01233,P46098
DB05087,P18507
DB06579,P18507
DB00398,P09619
DB00321,P35372
DB01567,A8MPY1
DB00145,Q14330
DB14533,P46736
DB04209,Q04759
DB01159,Q12791
DB13643,Q99928
DB01592,P00450
DB14068,P08183
DB14533,P20851
DB00191,P21397
DB11093,P28676
DB01186,P28335
DB08922,P25100
DB01565,P01189
DB00988,Q05940
DB00371,P18507
DB00579,Q01959
DB01593,O75340
DB00915,P36544
DB01352,P36544
DB14533,P04004
DB01097,P35869
DB00495,O14746
DB00246,P14416
DB01553,P34903
DB00371,P34903
DB00211,P35348
DB13729,P07477
DB01236,P98194
DB01093,Q8WXI7
DB00945,P98066
DB04835,P51681
DB01593,P00736
DB14719,P47869
DB01544,P14867
DB01200,P41595
DB01200,P28222
DB00217,P13945
DB01099,P26358
DB01593,P68104
DB01186,P14416
DB00972,P04054
DB01483,P43681
DB00823,P06401
DB00228,O95180
DB01708,Q14957
DB00514,P17787
DB01036,P11229
DB00794,P47869
DB15490,Q99928
DB06144,P35368
DB11952,O00329
DB00767,P35367
DB01544,P47869
DB01577,P54219
DB00482,P35354
DB09130,P29034
DB09130,P12814
DB02587,O43306
DB11397,P02787
DB01026,P05093
DB06637,Q16322
DB01613,P16066
DB14487,P04637
DB08954,P48051
DB00344,P23975
DB00247,P08908
DB00675,P10275
DB13345,P28223
DB08892,O75899
DB13025,Q8WXA8
DB00364,P01133
DB01159,O60391
DB02709,P37231
DB15489,P18507
DB12010,P42345
DB11148,Q06432
DB12010,O15075
DB01035,Q12809
DB12010,Q96D53
DB12010,Q9HAZ1
DB00696,P18825
DB01511,P48169
DB00540,P08913
DB04847,Q9H6Z9
DB02587,P28482
DB00569,P00742
DB01403,P21728
DB00228,Q8N1C3
DB01558,P31644
DB01119,P06576
DB13953,Q99527
DB12645,Q9UBN7
DB04855,P08588
DB00228,P54284
DB00228,O60391
DB13955,O75469
DB12404,P31644
DB00116,P11586
DB04855,O95069
DB09283,Q9NP56
DB01189,P30049
DB06195,P50750
DB01073,P23921
DB12010,P48736
DB01235,P21917
DB08162,P17612
DB03701,Q01959
DB01097,Q02127
DB09089,O00305
DB02709,Q96EB6
DB01043,P48169
DB00409,P28223
DB11148,Q9UF02
DB00458,P25100
DB00861,P23219
DB14487,P78330
DB01138,Q92887
DB09194,P28223
DB09053,Q06187
DB14487,P02765
DB01708,Q12879
DB00182,P14416
