Drugbank_id,Uniprot_id
DB01133,P61421
DB04855,P10827
DB12010,P54619
DB01483,P42262
DB00282,P14324
DB05541,P35498
DB12010,Q15303
DB13346,Q9UBN7
DB12010,Q16832
DB00502,P21728
DB01073,P09884
DB11800,P16234
DB01023,Q01668
DB01544,P28472
DB00306,P78334
DB00321,P35367
DB01553,P48169
DB00458,P14416
DB00292,Q9UN88
DB11763,P36888
DB01511,P28472
DB00289,Q14957
DB00402,P28472
DB00237,Q16099
DB15490,O14764
DB06262,P35368
DB00292,O00591
DB11278,P18089
DB03619,P21266
DB01401,P23219
DB00753,P14867
DB01614,P35348
DB14490,Q9BY41
DB13951,P10275
DB14715,P34903
DB01028,P18505
DB00892,Q9Y5Y9
DB00412,Q07869
DB01077,Q13332
DB14011,P48167
DB01325,P55011
DB01599,P23141
DB00715,P28221
DB12010,Q9NRH2
DB00935,P08913
DB13867,P06401
DB01496,Q13002
DB01110,Q9UNX9
DB00168,Q7RTX0
DB12010,Q9Y2H1
DB00940,P08912
DB06711,P35348
DB00842,P47870
DB00241,P18507
DB12483,P42338
DB00668,P01375
DB00825,P54284
DB00402,P18507
DB09130,P05067
DB01351,Q16445
DB00431,P24046
DB14063,P08183
DB01050,P10415
DB02342,P04798
DB00363,P46098
DB01873,Q9NY65
DB06216,P41595
DB01054,Q86W47
DB00986,P20309
DB14481,P13693
DB06406,P00742
DB00865,Q01959
DB01026,P10275
DB00695,Q13621
DB00182,P07550
DB00653,Q08289
DB06781,P04150
DB01351,P36544
DB11901,P18507
DB01942,O14936
DB00186,P18507
DB00565,P30532
DB00242,Q9NR33
DB04297,Q8WUI4
DB00829,P14867
DB02342,Q16678
DB09089,Q9P0X4
DB13191,P12532
DB12010,O14757
DB01283,P23219
DB01133,Q9Y5K8
DB09235,Q9BXT2
DB00282,P42574
DB00753,P48169
DB01291,P08588
DB05039,P07550
DB00244,P37231
DB04948,P28221
DB01558,P78334
DB08846,Q16790
DB15489,Q99928
DB00835,P20309
DB00454,P31645
DB04841,O43497
DB01593,P04279
DB12147,P22607
DB09167,P23975
DB01295,P35348
DB13014,P09211
DB08864,O75469
DB13191,P06732
DB00237,P18507
DB13025,Q8WXA8
DB14481,P04271
DB11619,P06401
DB04707,P61925
DB01013,P04083
DB12695,O43169
DB00437,P47989
DB00978,P11388
DB01213,P00325
DB01043,O00591
DB01589,Q99928
DB09071,P49286
DB09096,P05129
DB01267,P28223
DB00841,P07550
DB02546,Q9BY41
DB09235,Q9P0X4
DB11921,P04150
DB15685,P35916
DB13783,P23219
DB01553,Q99928
DB01113,Q07343
DB13345,P28335
DB09194,P35348
DB01394,P07437
DB00622,O00305
DB09342,Q9UQD0
DB09232,Q01668
DB00837,Q9UBS5
DB09241,P33402
DB00163,P05771
DB00162,Q96NR8
DB01012,P41180
DB06741,Q13224
DB08895,P29597
DB01608,P35368
DB00677,P02787
DB14487,P06396
DB00907,P23975
DB01065,P27797
DB12010,O75385
DB00543,P35368
DB09096,P05771
DB00451,P06756
DB00381,Q13936
DB11967,P36507
DB11619,P30968
DB01412,P30542
DB00905,P43088
DB02587,P05121
DB04865,P39023
DB00642,P22102
DB14011,P37231
DB00717,P06401
DB01559,Q8N1C3
DB00312,O60391
DB00622,Q9UF02
DB00182,P31645
DB00628,O14764
DB11841,Q8WUI4
DB01238,Q01959
DB00645,Q9Y5Y9
DB00555,P14416
DB01215,Q9UN88
DB06730,P06401
DB00246,P50406
DB09031,P08183
DB01592,P69905
DB04948,P08908
DB00177,P30556
DB12010,P49760
DB12010,Q9UK32
DB14512,P04150
DB00818,Q99928
DB00726,P35348
DB01043,P46098
DB00368,P35348
DB13174,Q13133
DB00237,O00591
DB13335,P14867
DB01235,P21917
DB00540,P08588
DB00628,Q9UN88
DB01212,Q8TCC7
DB09061,P04035
DB00443,P04150
DB00801,O00591
DB00221,P07550
DB09020,P50993
DB01019,P11229
DB00349,P28472
DB00374,Q9H244
DB00557,P35367
DB15102,P22607
DB01595,P47870
DB14010,P08908
DB01593,P29372
DB01173,Q05586
DB01224,P08912
DB00273,Q16478
DB01159,O15554
DB00831,P0DP23
DB00721,Q12791
DB00312,Q8TCU5
DB01159,P59768
DB00843,Q00653
DB12010,Q8IVH8
DB00543,Q99928
DB00524,P55017
DB01595,Q9UN88
DB11274,P21728
DB01095,P04035
DB01017,P99999
DB00458,P08173
DB00940,P20309
DB11093,P35556
DB04795,P31040
DB00594,P51170
DB00334,P14416
DB09241,P29475
DB01224,P08172
DB00324,P04150
DB11093,Q99828
DB11363,Q9UM73
DB15490,Q16445
DB00477,P34969
DB00368,P18089
DB00334,P08588
DB01242,P28223
DB00908,P25100
DB01236,P98194
DB11755,Q7Z2W7
DB08901,P06239
DB00765,P07101
DB01593,P02647
DB04786,P21817
DB01161,Q9UQD0
DB01565,P01189
DB05087,Q99928
DB01118,Q08289
DB04844,Q05940
DB00703,P22748
DB01354,Q16445
DB08896,Q02763
DB00898,O00591
DB14533,P01591
DB09061,O95180
DB14715,P18505
DB00721,Q01959
DB00875,P35462
DB15490,Q99928
DB00661,P25100
DB09203,P35348
DB08912,P04049
DB11752,Q15139
DB00120,Q9Y285
DB06777,Q96RI1
DB12093,P14416
DB11348,P28676
DB01110,Q16558
DB06202,P34972
DB00237,Q16478
DB13953,Q15596
DB08918,P31645
DB00991,P35354
DB11859,Q16445
DB11823,Q16620
DB09409,O15399
DB04880,Q14432
DB00543,Q9UN88
DB06199,P25101
DB12010,Q9P0L2
DB00404,P78334
DB06176,Q8WUI4
DB14491,P02786
DB00246,P28566
DB01224,P14416
DB00716,P21462
DB00897,P18507
DB06800,P35372
DB00477,P18825
DB12537,Q8N1C3
DB09017,P48169
DB01068,O14764
DB00715,O95264
DB02587,Q12791
DB06216,P08908
DB00543,P41595
DB05381,P35367
DB05708,P36544
DB00289,O60391
