Drugbank_id,Uniprot_id
DB01520,O60488
DB04106,Q9Y6F1
DB00750,Q13332
DB00280,Q06203
DB00902,Q9UK17
DB00366,P06396
DB01565,P04626
DB09237,P19878
DB14723,P19838
DB00318,P00414
DB00155,P54750
DB01222,Q16665
DB01349,O60218
DB12465,Q01668
DB04690,Q05397
DB15444,P37173
DB00935,P07327
DB03701,P41180
DB01394,P39023
DB01628,P15559
DB00704,P13631
DB00257,P04156
DB00717,P15502
DB11640,Q8TDU6
DB01645,Q9BYF1
DB12598,P05141
DB13995,P35908
DB01116,P60842
DB09229,P41743
DB01073,Q6TGC4
DB00725,O43283
DB11093,P43403
DB00210,O14832
DB06623,Q96QT4
DB02067,Q99584
DB06732,Q9UK17
DB00163,P47870
DB15565,P14867
DB00610,P42684
DB12062,Q9Y271
DB17083,P05023
DB00590,Q9H2G2
DB01427,P14060
DB00500,P46439
DB00340,P54762
DB13760,P35398
DB03575,P54756
DB00401,Q92731
DB00938,Q9Y3R4
DB00905,Q9Y2U5
DB00421,Q9Y478
DB01412,P57078
DB01619,O15399
DB01213,Q01668
DB00849,P09958
DB00316,P02746
DB11632,P37088
DB05668,P11021
DB14002,Q13133
DB04817,P07998
DB00829,P04040
DB01297,P50416
DB00712,P61604
DB00645,P48736
DB00969,P41594
DB00429,Q9Y230
DB01028,P06576
DB12371,O15342
DB06699,P49913
DB01104,P23246
DB11757,P11142
DB01354,P45983
DB08805,Q14697
DB06233,P12931
DB01133,Q14697
DB00935,Q96L12
DB08871,Q16555
DB00261,P23141
DB00350,P47895
DB06154,P29317
DB00543,P10145
DB00349,Q9Y5K3
DB14517,Q07864
DB13074,Q13557
DB00468,O60658
DB00218,P54886
DB06782,P05090
DB01175,P54578
DB01068,Q9GZT9
DB00726,P07359
DB13953,P01591
DB09018,P00734
DB08815,Q14123
DB07996,Q14697
DB06506,Q9H6Z9
DB14520,P00750
DB15690,Q9UGI6
DB08836,P49069
DB12843,P00414
DB09014,Q9NSY1
DB00812,Q13523
DB01622,Q00975
DB00949,P10696
DB04829,P15559
DB14010,Q7RTX0
DB06190,P54762
DB09070,Q96RQ9
DB00673,Q12852
DB08883,Q99418
DB11921,P15169
DB09239,P49619
DB00554,P35408
DB01324,P05106
DB07715,P06702
DB00313,Q02153
DB14924,Q92781
DB06736,P10515
DB00839,O15146
DB00371,P30086
DB00199,P61925
DB03509,P14735
DB06788,P51957
DB01069,O15075
DB00191,P78352
DB09472,Q9UKV0
DB06711,P31751
DB06751,P11802
DB00436,P17174
DB01010,O15146
DB12130,O43772
