Drugbank_id,Uniprot_id
DB08437,P62750
DB00246,P28223
DB00952,P28222
DB00153,Q13936
DB01174,Q8TCU5
DB01437,Q99928
DB14490,P69905
DB04573,P03372
DB06228,P00742
DB06732,P03372
DB00232,P22748
DB00342,P20309
DB14185,P28566
DB09130,Q07021
DB00754,O75469
DB09130,P63244
DB04888,P08908
DB14541,P14060
DB00132,P37231
DB06809,P61073
DB00502,P35348
DB09295,P35354
DB09232,P54284
DB09128,P34969
DB00726,P08588
DB13954,P03372
DB00809,P08173
DB01403,P25100
DB01133,Q96LB4
DB00795,P37231
DB00555,P47870
DB02659,P00403
DB01622,P35368
DB00231,Q99928
DB01033,Q06203
DB11855,P08173
DB15011,P21730
DB01520,O15399
DB00471,P09917
DB11800,P08581
DB00248,P08588
DB09409,O15399
DB00551,P39900
DB04272,Q9BY32
DB09229,P18089
DB13335,Q99928
DB00776,Q14524
DB00142,Q9Y617
DB00829,P18507
DB12713,P31639
DB00116,P34897
DB01159,Q9NPC2
DB12843,P42345
DB11235,P20309
DB09014,Q99720
DB12695,P54578
DB12843,P42574
DB00536,P07998
DB15133,P08581
DB01189,Q9UN88
DB13955,Q14457
DB01118,P37231
DB01238,Q05586
DB12379,P04798
DB03615,P07237
DB00677,P06276
DB06468,P19634
DB14011,P24752
DB01238,P35367
DB04552,P47712
DB00926,P10826
DB00201,P0DMS8
DB00626,P14735
DB01135,Q15822
DB14723,Q16288
DB01593,P03952
DB06176,O15379
DB14027,P43220
DB01708,O75469
DB00753,Q16445
DB01382,Q09428
DB01239,O95264
DB14543,P04150
DB04884,P28222
DB06579,Q8N1C3
DB08897,P08173
DB15617,P02786
DB00159,P37231
DB11886,P21802
DB00818,P47870
DB00243,Q99250
DB06212,P30518
DB00800,P21918
DB00605,O60218
DB09096,P04179
DB09338,P53985
DB01118,P08588
DB00726,P21918
DB00252,P47870
DB06446,P28335
DB01373,P19801
DB01431,P03372
DB06153,P28223
DB01587,P78334
DB00867,O75897
DB00914,Q13131
DB00590,P25100
DB01268,P17948
DB04841,P0DP23
DB00218,P27169
DB00237,P42263
DB15488,Q92847
DB06195,P24941
DB00721,Q86W47
DB01544,P78334
DB01645,O75469
DB00668,P35348
DB01069,P08173
DB00794,P42262
