Drugbank_id,Uniprot_id
DB04837,Q07075
DB04695,Q02127
DB06730,P99999
DB09080,Q13946
DB01183,O00222
DB02546,Q02383
DB00363,Q16568
DB00350,Q96RI1
DB00721,P08670
DB00091,Q8N907
DB01394,P16499
DB00235,Q02153
DB00712,O43306
DB00902,P52564
DB00388,Q96RP8
DB04884,Q9UNQ0
DB09017,P21333
DB00415,Q9Y4K4
DB00675,P28702
DB13946,Q9H422
DB04844,P10997
DB04863,P25705
DB16390,Q15825
DB13873,O00264
DB00334,P06858
DB01034,Q9H1R3
DB00733,O15382
DB15617,P04004
DB01615,O75469
DB06263,Q9BY66
DB04946,P23297
DB00341,P21817
DB01071,P17752
DB00391,P02818
DB00243,P08263
DB09018,P00734
DB00995,P23921
DB00959,Q8TD43
DB06728,Q7LG56
DB06216,P09619
DB00959,O00763
DB05465,P29590
DB08950,P35368
DB04888,P29034
DB13720,P07737
DB01043,P08263
DB12015,P34995
DB04365,P23921
DB00528,Q15825
DB04888,P60568
DB03575,P19367
DB06741,Q14571
DB14517,P17174
DB01198,P68371
DB00563,P07204
DB00876,P07360
DB06719,P10599
DB13345,P31040
DB00268,P28223
DB01013,Q75N90
DB00383,Q9UBN7
DB00448,P48551
DB06268,Q9BYV1
DB00535,P09486
DB01006,P19634
DB00657,P51172
DB00903,P04150
DB05232,O00206
DB00245,P36544
DB00316,P54756
DB00675,P23560
DB06825,P42262
DB01397,Q8IVH8
DB00246,P21333
DB01135,P08253
DB00608,Q16595
DB01463,Q02127
DB00927,P36897
DB00527,P15880
DB00776,P30613
DB00636,P24752
DB00014,P68104
DB03374,Q9GZZ6
DB14132,P52564
DB01320,P06276
DB01122,Q96A05
DB15688,P29371
DB00562,P04798
DB09167,Q9BTZ2
DB00277,P02708
DB00134,Q99653
DB01440,Q96S37
DB00776,P30874
DB14487,P39748
DB01545,Q8IVH4
DB06739,P19835
DB01076,Q12791
DB08908,P10515
DB14543,O14976
DB04468,Q9BY41
DB03701,P29323
DB04690,Q92793
DB00356,Q06323
DB00588,Q96A05
DB09204,P05181
DB01403,P34932
DB05381,P29320
DB00805,P22413
DB00331,O00222
DB14063,P07947
DB12783,Q8IVL6
DB04868,P05164
DB09229,O95819
DB01400,Q96A05
DB00585,Q9Y257
DB00293,P14780
DB00199,P22314
DB00230,P16220
DB00392,Q92769
DB06469,P42858
DB01667,Q92482
DB01594,P28335
DB01191,P35228
DB13501,P00558
DB01204,P38435
DB09330,P19793
DB01892,P41595
DB00778,P19021
DB00946,P06858
DB01029,P49759
DB01618,Q9NRF9
DB05521,P05177
DB14520,P54760
DB00805,Q03013
DB15444,P37173
DB17472,Q13258
DB00521,Q9Y6F1
DB06406,P08708
DB04849,P06396
DB12843,P23786
DB00232,Q15375
DB00226,P12277
DB14921,Q969G6
DB06210,Q9H4B4
DB13125,P15880
DB00866,Q9UHA3
DB08871,P31749
DB01146,Q12882
DB01203,O75914
DB00376,Q9UBV8
DB13940,P05091
DB00395,Q13126
DB00906,O00142
DB00703,P31152
DB01237,P11926
DB00585,P23634
DB00498,P01011
DB16200,O76083
DB06203,P37802
DB00744,Q8N5S9
DB01873,P55011
DB00782,Q13574
DB06800,Q04206
DB05034,Q01718
DB00807,Q99928
DB01420,P04156
DB00269,Q7RTX0
DB12332,O75897
