GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A2I0BVG8	GO:0005737	cytoplasm	C
UniProtKB	A0A2I0BVG8	GO:0005886	plasma membrane	C
UniProtKB	A0A2I0BVG8	GO:0036126	sperm flagellum	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0005886	plasma membrane	C
UniProtKB	O00238	GO:0043235	receptor complex	C
UniProtKB	O00238	GO:0043235	receptor complex	C
UniProtKB	O00238	GO:1990712	HFE-transferrin receptor complex	C
UniProtKB	O00329	GO:0005737	cytoplasm	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005829	cytosol	C
UniProtKB	O00329	GO:0005829	cytosol	C
UniProtKB	O00329	GO:0005829	cytosol	C
UniProtKB	O00329	GO:0005829	cytosol	C
UniProtKB	O00329	GO:0005829	cytosol	C
UniProtKB	O00329	GO:0005829	cytosol	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005886	plasma membrane	C
UniProtKB	O00329	GO:0005943	phosphatidylinositol 3-kinase complex, class IA	C
UniProtKB	O00329	GO:0005943	phosphatidylinositol 3-kinase complex, class IA	C
UniProtKB	O00329	GO:0005942	phosphatidylinositol 3-kinase complex	C
UniProtKB	O00329	GO:0005942	phosphatidylinositol 3-kinase complex	C
UniProtKB	O00329	GO:0005942	phosphatidylinositol 3-kinase complex	C
UniProtKB	O00444	GO:0005634	nucleus	C
UniProtKB	O00444	GO:0005730	nucleolus	C
UniProtKB	O00444	GO:0005813	centrosome	C
UniProtKB	O00444	GO:0005813	centrosome	C
UniProtKB	O00444	GO:0005813	centrosome	C
UniProtKB	O00444	GO:0005813	centrosome	C
UniProtKB	O00444	GO:0005814	centriole	C
UniProtKB	O00444	GO:0005814	centriole	C
UniProtKB	O00444	GO:0005814	centriole	C
UniProtKB	O00444	GO:0005814	centriole	C
UniProtKB	O00444	GO:0005829	cytosol	C
UniProtKB	O00444	GO:0005829	cytosol	C
UniProtKB	O00444	GO:0005829	cytosol	C
UniProtKB	O00444	GO:0005829	cytosol	C
UniProtKB	O00444	GO:0005829	cytosol	C
UniProtKB	O00444	GO:0005829	cytosol	C
UniProtKB	O00444	GO:0005829	cytosol	C
