GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A2I0BVG8	GO:0009931	calcium-dependent protein serine/threonine kinase activity	F
UniProtKB	O00238	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O00238	GO:0004675	transmembrane receptor protein serine/threonine kinase activity	F
UniProtKB	O00238	GO:0004888	transmembrane signaling receptor activity	F
UniProtKB	O00238	GO:0005025	transforming growth factor beta receptor activity, type I	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005515	protein binding	F
UniProtKB	O00238	GO:0005524	ATP binding	F
UniProtKB	O00238	GO:0036122	BMP binding	F
UniProtKB	O00238	GO:0046332	SMAD binding	F
UniProtKB	O00238	GO:0046332	SMAD binding	F
UniProtKB	O00238	GO:0098821	BMP receptor activity	F
UniProtKB	O00329	GO:0005515	protein binding	F
UniProtKB	O00329	GO:0005515	protein binding	F
UniProtKB	O00329	GO:0005515	protein binding	F
UniProtKB	O00329	GO:0005515	protein binding	F
UniProtKB	O00329	GO:0005515	protein binding	F
UniProtKB	O00329	GO:0005515	protein binding	F
UniProtKB	O00329	GO:0005515	protein binding	F
UniProtKB	O00329	GO:0005515	protein binding	F
UniProtKB	O00329	GO:0005515	protein binding	F
UniProtKB	O00329	GO:0016301	kinase activity	F
UniProtKB	O00329	GO:0016303	1-phosphatidylinositol-3-kinase activity	F
UniProtKB	O00329	GO:0016303	1-phosphatidylinositol-3-kinase activity	F
UniProtKB	O00329	GO:0016303	1-phosphatidylinositol-3-kinase activity	F
UniProtKB	O00329	GO:0035005	1-phosphatidylinositol-4-phosphate 3-kinase activity	F
UniProtKB	O00444	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O00444	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O00444	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O00444	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
