GENE PRODUCT ID,GO TERM
A0A2I0BVG8,GO:0006468
A0A2I0BVG8,GO:0007292
A0A2I0BVG8,GO:0046777
A0A2I0BVG8,GO:0048232
O00238,GO:0010628
O00238,GO:0001550
O00238,GO:0001649
O00238,GO:0001654
O00238,GO:0002063
O00238,GO:0009953
O00238,GO:0030166
O00238,GO:0030501
O00238,GO:0030509
O00238,GO:0032332
O00238,GO:0042698
O00238,GO:0045669
O00238,GO:0045944
O00238,GO:0060350
O00238,GO:0061036
O00238,GO:0071363
O00238,GO:0071773
O00238,GO:1902731
O00329,GO:0016310
O00329,GO:0001779
O00329,GO:0001819
O00329,GO:0001938
O00329,GO:0002250
O00329,GO:0002551
O00329,GO:0002679
O00329,GO:0006468
O00329,GO:0006954
O00329,GO:0006955
O00329,GO:0007165
O00329,GO:0010595
O00329,GO:0010628
O00329,GO:0010818
O00329,GO:0030101
O00329,GO:0030183
O00329,GO:0030217
O00329,GO:0030335
O00329,GO:0030593
O00329,GO:0033031
O00329,GO:0035747
O00329,GO:0035754
O00329,GO:0036092
O00329,GO:0038084
O00329,GO:0042110
O00329,GO:0042113
O00329,GO:0043303
O00329,GO:0043491
O00329,GO:0045087
O00329,GO:0045766
O00329,GO:0048015
O00329,GO:0050852
O00329,GO:0050853
O00329,GO:0060374
O00329,GO:0072672
O00329,GO:1905278
O00444,GO:0046601
O00444,GO:0006468
O00444,GO:0007099
O00444,GO:0060271
O00444,GO:0060707
O00444,GO:0098535
O00506,GO:0006468
O00506,GO:0006979
O00506,GO:0007165
O00506,GO:0032874
O00506,GO:0034599
O00506,GO:0036481
O00506,GO:0046777
O00506,GO:0051645
O00506,GO:0051683
O00506,GO:0090168
O00750,GO:0008150
O00750,GO:0036092
O00750,GO:0043491
O00750,GO:0048015
O14578,GO:0000278
O14578,GO:0000281
O14578,GO:0032467
O14578,GO:0035331
O14578,GO:0048699
O14578,GO:0051402
O14730,GO:0007059
O14730,GO:0030490
O14730,GO:0031333
O14730,GO:0032728
O14730,GO:0039534
O14730,GO:0043124
O14730,GO:0045089
O14730,GO:0071359
O14730,GO:0098586
O14730,GO:1990786
O14733,GO:0006970
O14733,GO:0007165
O14733,GO:0007254
O14733,GO:0009408
O14733,GO:0009411
O14733,GO:0032212
O14733,GO:0034612
O14733,GO:0038095
O14733,GO:0043507
O14733,GO:0045893
O14733,GO:0051403
O14733,GO:0051973
O14733,GO:0070374
O14733,GO:0090398
O14733,GO:1904355
O14757,GO:0000077
O14757,GO:0006260
O14757,GO:0006281
O14757,GO:0006338
O14757,GO:0006468
O14757,GO:0006915
O14757,GO:0006974
O14757,GO:0007095
O14757,GO:0010569
O14757,GO:0018107
O14757,GO:0042770
O14757,GO:0044818
O14757,GO:0045787
O14757,GO:0045814
O14757,GO:0045839
O14757,GO:0046602
O14757,GO:0070317
O14757,GO:0071260
O14757,GO:0090399
O14757,GO:1901796
O14920,GO:0051092
O14920,GO:0002223
O14920,GO:0002479
O14920,GO:0002755
O14920,GO:0006468
O14920,GO:0006954
O14920,GO:0007249
O14920,GO:0009615
O14920,GO:0010803
O14920,GO:0018105
O14920,GO:0030866
O14920,GO:0033209
O14920,GO:0034138
O14920,GO:0035509
O14920,GO:0035666
O14920,GO:0038095
O14920,GO:0042325
O14920,GO:0043123
O14920,GO:0045087
O14920,GO:0045893
O14920,GO:0045944
O14920,GO:0050852
O14920,GO:0051403
O14920,GO:0051604
O14920,GO:0070498
O14920,GO:0071356
O14920,GO:0072659
O14920,GO:1903140
O14920,GO:1903347
O14936,GO:0001953
O14936,GO:0007155
O14936,GO:0008104
O14936,GO:0010839
O14936,GO:0046928
O14936,GO:0061045
O14936,GO:0090288
O14965,GO:0006468
O14965,GO:0009611
O14965,GO:0097421
O14965,GO:0000086
O14965,GO:0000278
O14965,GO:0007051
O14965,GO:0007052
O14965,GO:0010389
O14965,GO:0010629
O14965,GO:0018105
O14965,GO:0031647
O14965,GO:0032091
O14965,GO:0032465
O14965,GO:0045840
O14965,GO:0045931
O14965,GO:0046605
O14965,GO:0046777
O14965,GO:0061523
O14965,GO:0090141
O14965,GO:1901796
O14976,GO:0006898
O14976,GO:0007029
O14976,GO:0007030
O14976,GO:0010977
O14976,GO:0016191
O14976,GO:0034067
O14976,GO:0046907
O14976,GO:0048268
O14976,GO:0051085
O14976,GO:0072318
O14976,GO:0072583
O14976,GO:0072659
O14976,GO:0090160
O14976,GO:1905443
O15075,GO:0006468
O15075,GO:0007399
O15075,GO:0007417
O15075,GO:0009615
O15075,GO:0016197
O15075,GO:0048812
O15111,GO:0006468
O15111,GO:0006954
O15111,GO:0006955
O15111,GO:0007249
O15111,GO:0007252
O15111,GO:0009615
O15111,GO:0009653
O15111,GO:0032088
O15111,GO:0032727
O15111,GO:0033209
O15111,GO:0034142
O15111,GO:0034614
O15111,GO:0038061
O15111,GO:0043123
O15111,GO:0045087
O15111,GO:0045893
O15111,GO:0045944
O15111,GO:0051092
O15111,GO:0071276
O15111,GO:0071356
O15111,GO:0098586
O15146,GO:0070374
O15146,GO:0001934
O15146,GO:0007169
O15146,GO:0007528
O15146,GO:0007613
O15146,GO:0008582
O15146,GO:0010628
O15146,GO:0010976
O15146,GO:0046777
O15146,GO:0051897
O15146,GO:0071340
O15146,GO:2000541
O15197,GO:0007411
O15197,GO:0048013
O15264,GO:0006970
O15264,GO:0018105
O15264,GO:0032755
O15264,GO:0034644
O15264,GO:0035556
O15264,GO:0050729
O15264,GO:0051403
O15264,GO:0070301
O15264,GO:0071347
O15264,GO:0072709
O15264,GO:0072740
O15264,GO:1903936
