GENE PRODUCT ID,GO TERM
A0A2I0BVG8,GO:0005737
A0A2I0BVG8,GO:0005886
A0A2I0BVG8,GO:0036126
O00238,GO:0005886
O00238,GO:0043235
O00238,GO:1990712
O00329,GO:0005737
O00329,GO:0005886
O00329,GO:0005829
O00329,GO:0005943
O00329,GO:0005942
O00444,GO:0005634
O00444,GO:0005730
O00444,GO:0005813
O00444,GO:0005814
O00444,GO:0005829
O00444,GO:0098536
O00444,GO:0120098
O00444,GO:0120099
O00506,GO:0005794
O00506,GO:0005737
O00506,GO:0070062
O00506,GO:0090443
O00750,GO:0005737
O00750,GO:0005886
O00750,GO:0005654
O00750,GO:0005829
O00750,GO:0043231
O00750,GO:0005942
O14578,GO:0005829
O14578,GO:0016020
O14730,GO:0005829
O14730,GO:0030688
O14733,GO:0005634
O14733,GO:0005737
O14733,GO:0005829
O14757,GO:0000781
O14757,GO:0005634
O14757,GO:0000794
O14757,GO:0005615
O14757,GO:0005654
O14757,GO:0005737
O14757,GO:0005813
O14757,GO:0005829
O14757,GO:0043231
O14757,GO:0000785
O14757,GO:0032991
O14920,GO:0005737
O14920,GO:0005829
O14920,GO:0008385
O14920,GO:0009898
O14920,GO:0035631
O14936,GO:0005604
O14936,GO:0005886
O14936,GO:0005911
O14936,GO:0016323
O14936,GO:0005652
O14936,GO:0005730
O14936,GO:0005737
O14936,GO:0005829
O14936,GO:0005925
O14936,GO:0015629
O14936,GO:0016363
O14936,GO:0042734
O14936,GO:0060170
O14965,GO:0005876
O14965,GO:0000776
O14965,GO:0031616
O14965,GO:0051233
O14965,GO:0005634
O14965,GO:0005654
O14965,GO:0005813
O14965,GO:0005819
O14965,GO:0005829
O14965,GO:0015630
O14965,GO:0016323
O14965,GO:0030496
O14965,GO:0036064
O14965,GO:0048471
O14965,GO:0072686
O14965,GO:0097431
O14965,GO:0032133
O14976,GO:0005737
O14976,GO:0031982
O14976,GO:0043231
O14976,GO:0005794
O14976,GO:0005829
O14976,GO:0016020
O14976,GO:0030136
O15075,GO:0005886
O15111,GO:0005737
O15111,GO:0005654
O15111,GO:0005829
O15111,GO:0008385
O15111,GO:0009898
O15111,GO:0035631
O15146,GO:0005886
O15146,GO:0031594
O15146,GO:0045211
O15146,GO:0043235
O15197,GO:0005886
O15197,GO:0030425
O15197,GO:0005576
O15197,GO:0005829
O15264,GO:0005634
O15264,GO:0005737
O15264,GO:0005829
O15530,GO:0005737
O15530,GO:0005829
O15530,GO:0005886
O15530,GO:0042995
O43283,GO:0016020
O43293,GO:0005634
O43293,GO:0005737
O43293,GO:0005654
O43293,GO:0005829
O43318,GO:0005737
O43318,GO:0005829
O43318,GO:0005634
O43318,GO:0005886
O43318,GO:0010008
O43318,GO:0140672
O43353,GO:0005886
O43353,GO:0005737
O43353,GO:0005829
O43353,GO:0005856
O43353,GO:0031982
O43353,GO:0032991
O60285,GO:0001650
O60285,GO:0005634
O60285,GO:0005654
O60285,GO:0005737
O60285,GO:0015630
O60331,GO:0005886
O60331,GO:0001931
O60331,GO:0005654
O60331,GO:0005829
O60331,GO:0005925
O60331,GO:0010008
O60674,GO:0005829
O60674,GO:0019897
O60674,GO:0031234
O60674,GO:0005634
O60674,GO:0005654
O60674,GO:0005737
O60674,GO:0005886
O60674,GO:0005901
O60674,GO:0005925
O60674,GO:0030526
O60674,GO:0031904
O60674,GO:0042022
O60674,GO:0045121
O60674,GO:0072536
O75116,GO:0005737
O75116,GO:0005813
O75116,GO:0005856
O75116,GO:0005829
O75116,GO:0036464
O75385,GO:0000407
O75385,GO:0005737
O75385,GO:0005776
O75385,GO:0005829
O75385,GO:0034045
O75385,GO:0000421
O75385,GO:0005741
O75385,GO:0005789
O75385,GO:0055037
O75385,GO:1903349
O75385,GO:1990316
O75460,GO:0005737
O75460,GO:0005783
O75460,GO:0005789
O75460,GO:1990332
O75460,GO:1990604
O75460,GO:1990630
O75582,GO:0005654
O75582,GO:0005737
O75582,GO:0005634
O75676,GO:0005654
O75676,GO:0005737
O75676,GO:0005634
O75676,GO:0005829
O75716,GO:0005737
O75716,GO:0005794
O75716,GO:0005654
O75716,GO:0005829
O75716,GO:0005886
O75747,GO:0005737
O75747,GO:0005886
O75747,GO:0005829
O75747,GO:0016020
O75747,GO:0005942
O75914,GO:0005737
O75914,GO:0005829
O75914,GO:0005886
O76039,GO:0032587
O76039,GO:0005634
O76039,GO:0032839
O76039,GO:0098978
O76039,GO:0005654
O76039,GO:0005813
O76039,GO:0036064
O76039,GO:0044294
O76039,GO:0097542
O94768,GO:0005634
O94768,GO:0005654
O94768,GO:0090543
O94804,GO:0005737
O94804,GO:0005829
O94804,GO:0005886
O94804,GO:0035579
O94804,GO:0070062
O94806,GO:0005829
O94806,GO:0005654
O94806,GO:0005886
O94921,GO:0005634
O94921,GO:0005737
O94921,GO:0005829
O94921,GO:0000307
O94921,GO:0005654
O94921,GO:0005886
O94921,GO:0000308
O94921-2,GO:0005654
O94921-2,GO:0005829
O95747,GO:0005737
O95747,GO:0005829
O95747,GO:0070062
O95819,GO:0005737
O95819,GO:0005925
O95835,GO:0000922
O95835,GO:0005737
O95835,GO:0005634
O95835,GO:0005829
O96013,GO:0005737
O96013,GO:0005794
O96013,GO:0005829
O96013,GO:0005912
O96013,GO:0005925
O96017,GO:0000781
O96017,GO:0005634
O96017,GO:0005737
O96017,GO:0005654
O96017,GO:0005794
O96017,GO:0016605
P00519,GO:0005886
P00519,GO:0005634
P00519,GO:0005654
P00519,GO:0005730
P00519,GO:0005737
P00519,GO:0005739
P00519,GO:0005829
P00519,GO:0015629
P00519,GO:0016604
P00519,GO:0030425
P00519,GO:0043025
P00519,GO:0048471
P00519,GO:0098794
P00519,GO:0032991
P00533,GO:0005768
P00533,GO:0005886
P00533,GO:0009925
P00533,GO:0032587
P00533,GO:0005615
P00533,GO:0005634
P00533,GO:0005737
P00533,GO:0005925
P00533,GO:0009986
P00533,GO:0010008
P00533,GO:0016020
P00533,GO:0016323
P00533,GO:0030054
P00533,GO:0030669
P00533,GO:0031901
P00533,GO:0045121
P00533,GO:0048471
P00533,GO:0097489
P00533,GO:0097708
P00533,GO:0032991
P00533,GO:0043235
P00533,GO:0070435
P04049,GO:0005886
P04049,GO:0005739
P04049,GO:0005829
P04049,GO:0005737
P04049,GO:0005741
P04049,GO:0005794
P04626,GO:0002116
P04626,GO:0005886
P04626,GO:0009925
P04626,GO:0005634
P04626,GO:0005654
P04626,GO:0005829
P04626,GO:0010008
P04626,GO:0016020
P04626,GO:0016323
P04626,GO:0038143
P04626,GO:0043235
P04626-4,GO:0005654
P04626-4,GO:0005829
P04626-4,GO:0005886
P04629,GO:0005886
P04629,GO:0030424
P04629,GO:0005769
P04629,GO:0005770
P04629,GO:0010008
P04629,GO:0032991
P04629,GO:0043235
P06213,GO:0005635
P06213,GO:0031981
P06213,GO:0005886
P06213,GO:0030424
P06213,GO:0005901
P06213,GO:0009897
P06213,GO:0010008
P06213,GO:0016020
P06213,GO:0032590
P06213,GO:0032809
P06213,GO:0070062
P06213,GO:0005899
P06213,GO:0043235
P06213-PRO_0000016687,GO:0030425
P06213-PRO_0000016687,GO:0043025
P06213-PRO_0000016687,GO:0044297
P06239,GO:0005886
P06239,GO:0000242
P06239,GO:0001772
P06239,GO:0005829
P06239,GO:0045121
P06239,GO:0070062
P06241,GO:0045121
P06241,GO:0005886
P06241,GO:0030425
P06241,GO:0005634
P06241,GO:0005739
P06241,GO:0005768
P06241,GO:0005829
P06241,GO:0014069
P06241,GO:0044297
P06241,GO:0048471
P06241,GO:0097038
P06241,GO:0097386
P07332,GO:0031410
P07332,GO:0005886
P07332,GO:0005737
P07332,GO:0005829
P07332,GO:0005925
P07332,GO:0009898
P07332,GO:0015630
P07333,GO:0005886
P07333,GO:0005654
P07333,GO:0009986
P07333,GO:0043231
P07333,GO:0043235
P07333,GO:1990682
P07947,GO:0005886
P07947,GO:0005794
P07947,GO:0005829
P07947,GO:0005925
P07947,GO:0070062
P07948,GO:0005886
P07948,GO:0009898
P07948,GO:0005634
P07948,GO:0005737
P07948,GO:0005765
P07948,GO:0005794
P07948,GO:0005829
P07948,GO:0030666
P07948,GO:0043231
P07948,GO:0045121
P07948,GO:0048471
