GENE PRODUCT ID,GO TERM
A0A2I0BVG8,GO:0009931
O00238,GO:0004674
O00238,GO:0004675
O00238,GO:0004888
O00238,GO:0005025
O00238,GO:0005515
O00238,GO:0005524
O00238,GO:0036122
O00238,GO:0046332
O00238,GO:0098821
O00329,GO:0005515
O00329,GO:0016301
O00329,GO:0016303
O00329,GO:0035005
O00444,GO:0004674
O00444,GO:0005515
O00444,GO:0042802
O00506,GO:0004672
O00506,GO:0004674
O00506,GO:0005515
O00506,GO:0042803
O00750,GO:0005515
O00750,GO:0016303
O00750,GO:0035005
O14578,GO:0001223
O14578,GO:0004674
O14578,GO:0005515
O14578,GO:0019901
O14578,GO:0030165
O14578,GO:0030291
O14578,GO:0097110
O14730,GO:0004674
O14730,GO:0005515
O14730,GO:0089720
O14733,GO:0000287
O14733,GO:0004708
O14733,GO:0005515
O14733,GO:0008545
O14733,GO:0019899
O14733,GO:0019901
O14733,GO:0019903
O14733,GO:0140677
O14757,GO:0004672
O14757,GO:0004674
O14757,GO:0005515
O14757,GO:0019904
O14757,GO:0035402
O14920,GO:0004672
O14920,GO:0004674
O14920,GO:0005515
O14920,GO:0008384
O14920,GO:0019901
O14920,GO:0042802
O14920,GO:0042803
O14920,GO:0046982
O14920,GO:0097110
O14920,GO:1990459
O14936,GO:0004385
O14936,GO:0004674
O14936,GO:0005102
O14936,GO:0005515
O14965,GO:0004672
O14965,GO:0004674
O14965,GO:0004712
O14965,GO:0005515
O14965,GO:0019901
O14965,GO:0046982
O14965,GO:0140677
O14976,GO:0004674
O14976,GO:0005515
O14976,GO:0030276
O14976,GO:0030332
O14976,GO:0051087
O15075,GO:0004672
O15075,GO:0005515
O15111,GO:0004672
O15111,GO:0004674
O15111,GO:0005515
O15111,GO:0008384
O15111,GO:0042803
O15111,GO:0046982
O15111,GO:0097110
O15111,GO:1990459
O15146,GO:0004713
O15146,GO:0004714
O15146,GO:0005515
O15146,GO:0017147
O15197,GO:0005003
O15197,GO:0005005
O15197,GO:0005515
O15197,GO:0038023
O15264,GO:0004674
O15264,GO:0004707
O15264,GO:0005515
O15530,GO:0004674
O15530,GO:0004676
O15530,GO:0005515
O15530,GO:0016004
O15530,GO:0043274
O43283,GO:0004674
O43283,GO:0004706
O43283,GO:0004709
O43283,GO:0005515
O43283,GO:0019899
O43283,GO:0019901
O43283,GO:0042802
O43283,GO:0042803
O43283,GO:0043539
O43283,GO:0106137
O43293,GO:0004674
O43293,GO:0005515
O43293,GO:0005524
O43293,GO:0008140
O43293,GO:0031267
O43293,GO:0042802
O43293,GO:0042803
O43293,GO:0043522
O43318,GO:0004674
O43318,GO:0004707
O43318,GO:0004709
O43318,GO:0005515
O43318,GO:0008349
O43318,GO:0030971
O43318,GO:0042802
O43318,GO:0097110
O43318,GO:1990450
O43353,GO:0004674
O43353,GO:0004706
O43353,GO:0005102
O43353,GO:0005515
O43353,GO:0030274
O43353,GO:0035591
O43353,GO:0042802
O43353,GO:0042803
O43353,GO:0050700
O43353,GO:0089720
O60285,GO:0002039
O60285,GO:0004674
O60285,GO:0005515
O60331,GO:0005515
O60331,GO:0016308
O60331,GO:0052742
O60674,GO:0004672
O60674,GO:0004713
O60674,GO:0004715
O60674,GO:0005102
O60674,GO:0005131
O60674,GO:0005143
O60674,GO:0005515
O60674,GO:0019901
O60674,GO:0020037
O60674,GO:0035401
O60674,GO:0042169
O60674,GO:0042393
O60674,GO:0042802
O75116,GO:0002020
O75116,GO:0003723
O75116,GO:0004674
O75116,GO:0005198
O75116,GO:0005515
O75116,GO:0048156
O75116,GO:0050321
O75116,GO:0061133
O75116,GO:0072518
O75385,GO:0004674
O75385,GO:0005515
O75385,GO:0031267
O75385,GO:0042802
O75385,GO:0044877
O75385,GO:0051020
O75460,GO:0000287
O75460,GO:0004521
O75460,GO:0004674
O75460,GO:0005161
O75460,GO:0005515
O75460,GO:0005524
O75460,GO:0019899
O75460,GO:0030544
O75460,GO:0042802
O75460,GO:0042803
O75460,GO:0043531
O75460,GO:0051082
O75460,GO:0051879
O75582,GO:0004674
O75582,GO:0004713
O75582,GO:0005515
O75582,GO:0005524
O75582,GO:0035175
O75582,GO:0044022
O75582,GO:0044024
O75676,GO:0004674
O75676,GO:0004711
O75676,GO:0005515
O75676,GO:0005524
O75676,GO:0035175
O75676,GO:0044022
O75716,GO:0004674
O75716,GO:0005515
O75747,GO:0016303
O75747,GO:0035005
O75747,GO:0052742
O75914,GO:0004674
O75914,GO:0004708
O75914,GO:0005515
O76039,GO:0004672
O76039,GO:0004674
O76039,GO:0005515
O76039,GO:0005524
O76039,GO:0016301
O76039,GO:0031267
O94768,GO:0004672
O94768,GO:0004674
O94768,GO:0005524
O94804,GO:0004674
O94804,GO:0005515
O94804,GO:0042802
O94804,GO:0042803
O94806,GO:0004674
O94806,GO:0004697
O94806,GO:0005515
O94806,GO:0016301
O94921,GO:0004693
O94921,GO:0005515
O94921,GO:0030332
O95382,GO:0000287
O95382,GO:0004709
O95382,GO:0005515
O95382,GO:0005524
O95747,GO:0000287
O95747,GO:0004674
O95747,GO:0005515
O95747,GO:0005524
O95747,GO:0019901
O95747,GO:0042802
O95819,GO:0004111
O95819,GO:0004674
O95819,GO:0005515
O95819,GO:0005524
O95819,GO:0008017
O95819,GO:0008349
O95835,GO:0000287
O95835,GO:0004674
O95835,GO:0005515
O95835,GO:0005524
O95835,GO:0019901
O95835,GO:0030331
O96013,GO:0004672
O96013,GO:0004674
O96013,GO:0005515
O96013,GO:0098641
O96017,GO:0004674
O96017,GO:0005515
O96017,GO:0019901
O96017,GO:0031625
O96017,GO:0042802
O96017,GO:0042803
P00519,GO:0097100
P00519,GO:0000287
P00519,GO:0000400
P00519,GO:0000405
P00519,GO:0001784
P00519,GO:0003677
P00519,GO:0003713
P00519,GO:0003785
P00519,GO:0004515
P00519,GO:0004672
P00519,GO:0004713
P00519,GO:0004715
P00519,GO:0005080
P00519,GO:0005515
P00519,GO:0005524
P00519,GO:0016301
P00519,GO:0017124
P00519,GO:0019905
P00519,GO:0030145
P00519,GO:0038191
P00519,GO:0042169
P00519,GO:0046875
P00519,GO:0051019
P00519,GO:0070064
P00519,GO:1990837
P00533,GO:0005006
P00533,GO:0003682
P00533,GO:0003690
P00533,GO:0004709
P00533,GO:0004713
P00533,GO:0004714
P00533,GO:0004888
P00533,GO:0005515
P00533,GO:0019899
P00533,GO:0019900
P00533,GO:0019903
P00533,GO:0030296
P00533,GO:0031625
P00533,GO:0042802
P00533,GO:0045296
P00533,GO:0048408
P00533,GO:0051015
P00533,GO:0051117
P04049,GO:0031267
P04049,GO:0004672
P04049,GO:0004674
P04049,GO:0004709
P04049,GO:0005515
P04049,GO:0019899
P04049,GO:0042802
P04626,GO:0019838
P04626,GO:0001042
P04626,GO:0004713
P04626,GO:0004714
P04626,GO:0004888
P04626,GO:0005102
P04626,GO:0005515
P04626,GO:0015026
P04626,GO:0030971
P04626,GO:0042802
P04626,GO:0043125
P04626,GO:0046982
P04629,GO:0004713
P04629,GO:0004714
P04629,GO:0005030
P04629,GO:0005515
P04629,GO:0010465
P04629,GO:0042802
P04629,GO:0042803
P04629,GO:0043121
P04629,GO:0048406
P06213,GO:0001540
P06213,GO:0004713
P06213,GO:0005009
P06213,GO:0005159
P06213,GO:0005515
P06213,GO:0005524
P06213,GO:0005525
P06213,GO:0019904
P06213,GO:0031994
P06213,GO:0031995
P06213,GO:0038024
P06213,GO:0043548
P06213,GO:0043559
P06213,GO:0043560
P06213,GO:0044877
P06213,GO:0051425
P06213-PRO_0000016687,GO:0005198
P06239,GO:0001784
P06239,GO:0004713
P06239,GO:0004715
P06239,GO:0004722
P06239,GO:0005102
P06239,GO:0005515
P06239,GO:0016004
P06239,GO:0019901
P06239,GO:0019903
P06239,GO:0042169
P06239,GO:0042608
P06239,GO:0042609
P06239,GO:0042610
P06239,GO:0042802
P06239,GO:0043274
P06239,GO:0043548
P06239,GO:0051117
P06241,GO:0004713
P06241,GO:0004715
P06241,GO:0005102
P06241,GO:0005515
P06241,GO:0016004
P06241,GO:0019899
P06241,GO:0031802
P06241,GO:0042802
P06241,GO:0043014
