GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	O00141	GO:0001558	regulation of cell growth	P
UniProtKB	O00141	GO:0006468	protein phosphorylation	P
UniProtKB	O00141	GO:0006814	sodium ion transport	P
UniProtKB	O00141	GO:0007616	long-term memory	P
UniProtKB	O00141	GO:0008217	regulation of blood pressure	P
UniProtKB	O00141	GO:0030334	regulation of cell migration	P
UniProtKB	O00141	GO:0032411	positive regulation of transporter activity	P
UniProtKB	O00141	GO:0035556	intracellular signal transduction	P
UniProtKB	O00141	GO:0042127	regulation of cell population proliferation	P
UniProtKB	O00141	GO:0042981	regulation of apoptotic process	P
UniProtKB	O00141	GO:0048812	neuron projection morphogenesis	P
UniProtKB	O00141	GO:0050790	regulation of catalytic activity	P
UniProtKB	O00141	GO:0051090	regulation of DNA-binding transcription factor activity	P
UniProtKB	O00141	GO:0060453	regulation of gastric acid secretion	P
UniProtKB	O00141	GO:0070294	renal sodium ion absorption	P
UniProtKB	O00141	GO:1901796	regulation of signal transduction by p53 class mediator	P
UniProtKB	O00311	GO:0000082	G1/S transition of mitotic cell cycle	P
UniProtKB	O00311	GO:0000727	double-strand break repair via break-induced replication	P
UniProtKB	O00311	GO:0007165	signal transduction	P
UniProtKB	O00311	GO:0008284	positive regulation of cell population proliferation	P
UniProtKB	O00311	GO:0010571	positive regulation of nuclear cell cycle DNA replication	P
UniProtKB	O00311	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	P
UniProtKB	O00311	GO:0044770	cell cycle phase transition	P
UniProtKB	O00329	GO:0016310	phosphorylation	P
UniProtKB	O00329	GO:0001779	natural killer cell differentiation	P
UniProtKB	O00329	GO:0001819	positive regulation of cytokine production	P
UniProtKB	O00329	GO:0001938	positive regulation of endothelial cell proliferation	P
UniProtKB	O00329	GO:0002250	adaptive immune response	P
UniProtKB	O00329	GO:0002551	mast cell chemotaxis	P
UniProtKB	O00329	GO:0002679	respiratory burst involved in defense response	P
UniProtKB	O00329	GO:0006468	protein phosphorylation	P
UniProtKB	O00329	GO:0006954	inflammatory response	P
UniProtKB	O00329	GO:0006954	inflammatory response	P
UniProtKB	O00329	GO:0006955	immune response	P
UniProtKB	O00329	GO:0007165	signal transduction	P
UniProtKB	O00329	GO:0010595	positive regulation of endothelial cell migration	P
