0,1
CHEMBL1992220,Q13188
CHEMBL1967992,Q5S007
CHEMBL324153,P36888
CHEMBL1966343,Q9HAZ1
CHEMBL1992042,P36507
CHEMBL1980407,P06239
CHEMBL1241681,P12931
CHEMBL340384,Q5VT25
CHEMBL1241578,P42336
CHEMBL1090360,P48730
CHEMBL1989805,O00418
CHEMBL1975128,P49841
CHEMBL2005509,Q13627
CHEMBL2151321,Q08881
CHEMBL1973720,Q13557
CHEMBL1978166,P17948
CHEMBL2086760,P10721
CHEMBL339364,Q05513
CHEMBL296586,P00519
CHEMBL50894,P68400
CHEMBL2001257,O75676
CHEMBL386636,O94806
CHEMBL385478,P29597
CHEMBL50894,Q8N4C8
CHEMBL1980995,P50613
CHEMBL1977713,Q9HAZ1
CHEMBL1983595,Q9HAZ1
CHEMBL1982992,P49760
CHEMBL244378,Q9NWZ3
CHEMBL1975128,P23443
CHEMBL271381,P06241
CHEMBL2000685,P00519
CHEMBL1965660,Q7L7X3
CHEMBL1997129,Q8TDC3
CHEMBL2006263,Q9H4B4
CHEMBL1242026,P54760
CHEMBL1995811,P49760
CHEMBL394619,Q8NE63
CHEMBL1974328,Q9HBH9
CHEMBL408995,P41279
CHEMBL1998121,Q8TDC3
CHEMBL435809,Q05513
CHEMBL2005631,P06239
CHEMBL1987009,Q9BZL6
CHEMBL1979057,Q8NE63
CHEMBL1976240,Q13237
CHEMBL1992732,P06241
CHEMBL1972355,P50613
CHEMBL1971245,P36888
CHEMBL1994040,P48730
CHEMBL1975121,Q13464
CHEMBL75680,Q00535
CHEMBL1977041,P06213
CHEMBL1975900,Q13976
CHEMBL1965836,Q9NWZ3
CHEMBL53596,P05129
CHEMBL2000104,P35916
CHEMBL374581,Q02156
CHEMBL253969,O00444
CHEMBL1982924,Q9H2G2
CHEMBL2003638,Q8NE63
CHEMBL335020,O94806
CHEMBL1242285,P42338
CHEMBL1242385,P78527
CHEMBL1989029,P06241
CHEMBL1988581,P36507
CHEMBL2000354,Q13627
CHEMBL458997,Q14680
CHEMBL1993166,P23443
CHEMBL539474,O94806
CHEMBL1997846,P17948
CHEMBL1974870,Q13131
CHEMBL1970104,P12931
CHEMBL363648,Q8N4C8
CHEMBL538718,P41743
CHEMBL214198,Q16539
CHEMBL215943,P06239
CHEMBL1090360,P42685
CHEMBL1993941,P06241
CHEMBL1993661,P08069
CHEMBL1980329,P07949
CHEMBL1977148,P07948
CHEMBL1966722,P11309
CHEMBL483525,O14965
CHEMBL2003657,Q9BZL6
CHEMBL1976220,Q9H2G2
CHEMBL1988838,Q05397
CHEMBL1991734,P07949
CHEMBL1974870,P31751
CHEMBL220241,Q05655
CHEMBL1970879,Q5VT25
CHEMBL1966524,Q9BZL6
CHEMBL1988387,O95819
CHEMBL2006715,P52333
CHEMBL1970104,P04629
CHEMBL1968791,Q06187
CHEMBL103055,P05771
CHEMBL1973359,Q07912
CHEMBL1980995,P35968
CHEMBL602123,P15056
CHEMBL1966628,Q9HCP0
CHEMBL244378,Q9H2G2
CHEMBL1682553,Q86V86
CHEMBL1989471,P00519
CHEMBL1084546,Q96RR4
CHEMBL1967878,O94806
CHEMBL1978371,P36507
CHEMBL1985095,P49840
CHEMBL184847,P00519
CHEMBL1973359,Q12851
CHEMBL2071201,O14965
CHEMBL1967720,P22607
CHEMBL1977223,P49336
CHEMBL1991800,P00519
CHEMBL1242566,P35968
CHEMBL243088,Q9H2G2
CHEMBL1997846,Q9H2G2
CHEMBL396523,Q13627
CHEMBL1788116,P45983
CHEMBL1242113,P42336
CHEMBL101311,P08069
CHEMBL1992634,Q9H2G2
CHEMBL131193,O94806
CHEMBL1090360,O96013
CHEMBL1997335,P08581
CHEMBL2007574,P49336
CHEMBL2006237,P49760
CHEMBL1994669,O94806
CHEMBL2111784,P00533
CHEMBL508928,P12931
CHEMBL2046643,Q04759
CHEMBL1988838,P06239
CHEMBL1991078,O75116
CHEMBL1990254,Q13976
CHEMBL519982,P35968
CHEMBL1970903,Q9UEE5
CHEMBL2003341,P51817
CHEMBL52387,P06493
CHEMBL1998159,O15075
CHEMBL1974664,P51451
CHEMBL1980995,P07948
CHEMBL1968930,Q9Y4K4
CHEMBL271441,P07333
CHEMBL50894,P35916
CHEMBL1978448,O43781
CHEMBL2007421,P36888
CHEMBL2005718,Q13464
CHEMBL1988692,P06239
CHEMBL1983963,O95819
CHEMBL1967887,Q13464
CHEMBL2005631,Q8N4C8
CHEMBL1997617,Q08881
CHEMBL590109,Q9BZL6
CHEMBL162903,Q05655
CHEMBL1973720,P49841
CHEMBL1988141,Q04912
CHEMBL2148053,Q02750
CHEMBL337297,P24723
CHEMBL1971172,Q9H2X6
CHEMBL2005482,O95819
CHEMBL2001149,O14757
CHEMBL1242202,P35968
CHEMBL335020,P05771
CHEMBL379975,Q13627
CHEMBL1997764,Q9HCP0
CHEMBL248757,Q14680
CHEMBL491758,P36888
CHEMBL1966040,P49841
