0,1
CHEMBL1988173,Q14012
CHEMBL515982,P11309
CHEMBL1996646,P45983
CHEMBL410295,P29597
CHEMBL2003817,Q14012
CHEMBL274064,P06493
CHEMBL1975534,P45983
CHEMBL1988387,Q13153
CHEMBL52387,P15735
CHEMBL1988805,O94806
CHEMBL1994938,O00418
CHEMBL2004934,Q16288
CHEMBL2003286,Q9BZL6
CHEMBL312698,P05129
CHEMBL1989805,P36888
CHEMBL1985566,P23443
CHEMBL1971149,P05129
CHEMBL1834657,Q16539
CHEMBL1972489,Q9H2X6
CHEMBL451964,O60674
CHEMBL1985367,P49760
CHEMBL1978166,Q00535
CHEMBL1990884,P43405
CHEMBL2007372,Q13153
CHEMBL1993413,P48729
CHEMBL1242566,P54760
CHEMBL1989646,Q96SB4
CHEMBL1984044,Q7L7X3
CHEMBL1879463,Q7L7X3
CHEMBL1242202,Q9UBF8
CHEMBL202930,P19784
CHEMBL1993781,P07332
CHEMBL1980704,Q14680
CHEMBL1977135,O15530
CHEMBL1978167,P06241
CHEMBL1973720,O14965
CHEMBL210618,Q13627
CHEMBL379975,Q06418
CHEMBL562488,P36888
CHEMBL2005186,P07333
CHEMBL1973483,Q9Y6M4
CHEMBL231209,Q05513
CHEMBL1999749,Q05655
CHEMBL2004438,Q13464
CHEMBL106966,Q05655
CHEMBL1972119,P07948
CHEMBL360847,Q12851
CHEMBL1996510,P48729
CHEMBL1994830,Q08881
CHEMBL1968127,O94806
CHEMBL1966343,Q06418
CHEMBL1976196,Q16288
CHEMBL1992323,P15735
CHEMBL1242109,P54760
CHEMBL1978200,Q8N4C8
CHEMBL1993722,O14757
CHEMBL1967252,P17948
CHEMBL1993548,P05129
CHEMBL1986869,P48730
CHEMBL1983195,P48730
CHEMBL1978099,Q9BXA7
CHEMBL396523,P15735
CHEMBL1949855,P35968
CHEMBL1992937,Q04771
CHEMBL1992306,Q13976
CHEMBL1983195,Q9UEE5
CHEMBL1974416,P16591
CHEMBL1999918,P29597
CHEMBL1993548,Q13153
CHEMBL1970189,P27448
CHEMBL1989265,Q00535
CHEMBL1682341,Q05655
CHEMBL1974310,P51451
CHEMBL1995211,Q02750
CHEMBL2004615,P24941
CHEMBL55394,P12931
CHEMBL481491,P08922
CHEMBL1993781,P23443
CHEMBL1988075,O15075
CHEMBL1973540,Q9NWZ3
CHEMBL1089082,P42345
CHEMBL2003286,P12931
CHEMBL211378,Q9NR20
CHEMBL2005899,O15530
CHEMBL1991800,O15264
CHEMBL1974328,P07333
CHEMBL1981215,Q16288
CHEMBL213451,P41240
CHEMBL1984162,Q8TDC3
CHEMBL1973142,P53778
CHEMBL363058,Q15118
CHEMBL443962,Q05655
CHEMBL1970217,P48730
CHEMBL1999112,P48730
CHEMBL1972849,P49760
CHEMBL1970369,P28482
CHEMBL1991434,P27448
CHEMBL2006276,Q13237
CHEMBL1982924,P41743
CHEMBL2338334,P49137
CHEMBL340384,Q9Y4K4
CHEMBL1986603,P48730
CHEMBL406845,P08922
CHEMBL468280,Q9NWZ3
CHEMBL1996390,P06213
CHEMBL1991782,O60674
CHEMBL2000481,Q9H4B4
CHEMBL1989518,P06239
CHEMBL1980142,P78368
CHEMBL1987535,Q8IU85
CHEMBL2006010,O00444
CHEMBL210928,Q9HBY8
CHEMBL1966343,P28482
CHEMBL2005112,P27448
CHEMBL2006778,Q13464
CHEMBL1970709,P35916
CHEMBL1980715,Q13188
CHEMBL1967094,O75582
CHEMBL1998680,Q9UHD2
CHEMBL1997119,Q04912
CHEMBL415049,O75116
CHEMBL1983309,P28482
CHEMBL1997892,P50750
CHEMBL1981047,P51617
CHEMBL1971943,Q13627
CHEMBL210963,P53667
CHEMBL1969126,Q15303
CHEMBL2006493,Q14289
CHEMBL394619,P45984
CHEMBL1964444,Q9Y243
CHEMBL320574,O94806
CHEMBL2005186,Q9NR20
CHEMBL1972276,Q8NE63
CHEMBL1990884,Q13627
CHEMBL2001584,O43293
CHEMBL1994977,Q9HAZ1
CHEMBL184847,P43405
CHEMBL2002240,P05129
CHEMBL1682540,Q5VT25
CHEMBL482538,O96013
CHEMBL394790,Q9Y243
CHEMBL1982957,P53778
CHEMBL2004025,Q16620
CHEMBL1983534,P12931
CHEMBL1993413,P04629
CHEMBL1996831,P27448
CHEMBL1980144,Q9BXA7
CHEMBL102346,P00533
CHEMBL2004355,Q9BZL6
CHEMBL246356,P00533
CHEMBL1966816,Q14012
CHEMBL1987533,P11362
CHEMBL112263,Q15139
CHEMBL338967,P05771
CHEMBL1974328,P48730
CHEMBL231209,Q15303
CHEMBL1996923,P53667
CHEMBL1241439,P42336
CHEMBL1995832,P53667
CHEMBL1977814,O95819
CHEMBL1969537,Q8NE63
CHEMBL1890036,P49137
CHEMBL1984711,Q96RG2
CHEMBL517956,O60285
CHEMBL1090356,P05129
CHEMBL246970,O43293
CHEMBL364623,P11362
CHEMBL358130,P24723
CHEMBL2005548,P53778
CHEMBL1996604,Q9H2G2
CHEMBL1973359,P36888
CHEMBL340921,P51955
CHEMBL301018,Q02763
CHEMBL2005631,Q13557
CHEMBL2003420,Q7L7X3
CHEMBL1976420,P06213
CHEMBL1980167,Q9UHD2
CHEMBL1977814,P06213
CHEMBL1272116,P49841
CHEMBL2007002,P22607
CHEMBL79004,P05771
CHEMBL1973138,P50750
CHEMBL583144,P08581
CHEMBL394619,Q9HBH9
CHEMBL2000335,P48729
CHEMBL1271641,P54646
CHEMBL1973868,O60674
CHEMBL379601,P45983
CHEMBL1996155,O96013
CHEMBL2004544,Q00535
CHEMBL1971186,P11362
CHEMBL1973711,P08581
CHEMBL1970352,P45983
CHEMBL597754,P53350
CHEMBL50894,Q5S007
CHEMBL111779,P05771
CHEMBL2001584,P36888
CHEMBL1967094,O95819
CHEMBL1999414,P11309
CHEMBL1992073,P07333
CHEMBL1982711,P16591
CHEMBL1969190,P31749
CHEMBL184847,Q13131
CHEMBL1976158,P11309
CHEMBL606245,O14920
CHEMBL1982957,P51812
CHEMBL413779,Q16620
CHEMBL1996345,Q8IU85
CHEMBL310179,Q05513
CHEMBL523823,P48730
CHEMBL1682553,P28482
CHEMBL1988163,P49336
CHEMBL1984367,P08069
CHEMBL1984842,Q9Y463
CHEMBL1965836,P29597
CHEMBL44137,Q15139
CHEMBL1967560,Q8IW41
CHEMBL1968791,Q9Y243
CHEMBL1727312,Q13627
CHEMBL1998470,P04629
CHEMBL1988995,P51617
CHEMBL2002165,O15075
CHEMBL1977135,Q13627
CHEMBL2006188,Q9NR20
CHEMBL299368,O94806
CHEMBL1989646,P51812
CHEMBL1987982,Q9Y4K4
CHEMBL373751,P49841
CHEMBL1987009,Q96PF2
CHEMBL383172,Q13554
CHEMBL1988173,O96017
CHEMBL2004692,Q9BZL6
CHEMBL38380,P35968
CHEMBL1980163,Q96PF2
CHEMBL1997340,Q9H3Y6
CHEMBL1682540,Q9H3Y6
CHEMBL127929,P22612
CHEMBL1991395,O96013
CHEMBL1993243,P00533
CHEMBL1998253,P06239
CHEMBL210928,O96013
CHEMBL539474,Q9UM73
CHEMBL1991356,Q9NWZ3
CHEMBL514499,P06493
CHEMBL1988153,Q13131
CHEMBL1982135,P06493
CHEMBL1969042,O60674
CHEMBL1202927,Q15139
CHEMBL1975256,P28482
CHEMBL1972221,O43781
CHEMBL1995172,Q7KZI7
CHEMBL1995172,P16234
CHEMBL210618,O15111
CHEMBL2006299,P08069
CHEMBL1990583,P53667
CHEMBL207235,P12931
CHEMBL1879463,Q00535
CHEMBL1978200,Q9NR20
CHEMBL1973540,P17612
CHEMBL1999590,P07949
CHEMBL2000481,P31749
CHEMBL1996510,O75116
CHEMBL215803,P21802
CHEMBL2000879,Q02750
CHEMBL259922,Q86V86
CHEMBL1976420,Q9BXA7
CHEMBL207674,Q9UGJ0
CHEMBL1977128,P52333
CHEMBL1969502,P08069
CHEMBL1996791,Q8N4C8
CHEMBL443962,P31751
CHEMBL1997193,Q12851
CHEMBL347195,P41743
CHEMBL2000894,P53667
CHEMBL1987359,P29317
CHEMBL175225,Q05655
CHEMBL2002479,Q8NE63
CHEMBL78862,P17612
CHEMBL1981947,Q8N4C8
CHEMBL604712,Q9HC98
CHEMBL1986970,Q8TDC3
CHEMBL1977681,O75116
CHEMBL1969879,P51812
CHEMBL1982506,P42679
CHEMBL1970369,P35968
CHEMBL1988838,Q13555
CHEMBL1727312,Q9Y4K4
CHEMBL1990496,O43293
CHEMBL1974935,P07333
CHEMBL1288582,Q16539
CHEMBL1241588,O00329
CHEMBL375284,P53667
CHEMBL2007592,P49841
CHEMBL1973937,P27448
CHEMBL1965169,Q14164
CHEMBL1082440,P29597
CHEMBL1983640,Q5S007
CHEMBL1996048,P34947
CHEMBL422897,P78368
CHEMBL1989569,Q9HBH9
CHEMBL2000801,P15735
CHEMBL1981725,P17612
CHEMBL1975787,P27448
CHEMBL1981782,P36888
CHEMBL1972221,P68400
CHEMBL1985095,Q13555
CHEMBL1985074,Q14289
CHEMBL267869,P24723
CHEMBL2002240,O96013
CHEMBL2000114,P51812
CHEMBL1825138,Q9Y463
CHEMBL1998585,P15735
CHEMBL351380,Q05655
CHEMBL1993424,P08069
CHEMBL2004159,O43293
CHEMBL360847,P36888
CHEMBL1995740,Q05655
CHEMBL1995172,Q96SB4
CHEMBL412142,P17612
CHEMBL242865,P50613
CHEMBL1973516,Q16620
CHEMBL1965836,Q9HBH9
CHEMBL21156,P53667
CHEMBL47940,Q02763
CHEMBL80121,P22612
CHEMBL1980489,Q9NWZ3
CHEMBL1970142,P17612
CHEMBL1991395,O14757
CHEMBL1986970,Q9Y243
CHEMBL1986143,P49760
CHEMBL2004872,P51451
CHEMBL1973893,Q9HBH9
CHEMBL340384,O00418
CHEMBL2004871,Q9Y243
CHEMBL1979554,Q16620
CHEMBL458997,Q13976
CHEMBL262623,P06239
CHEMBL217090,P22694
CHEMBL2000104,Q9HBY8
CHEMBL1972820,P11362
CHEMBL1993243,P51957
CHEMBL2006263,Q9P1W9
CHEMBL1970203,P00533
CHEMBL1682553,P08922
CHEMBL1983595,P52333
CHEMBL1994321,Q13153
CHEMBL1969049,Q5VT25
CHEMBL1977604,Q00535
CHEMBL209534,Q05513
CHEMBL1966524,P08581
CHEMBL1980163,P31749
CHEMBL2004311,P45984
CHEMBL1994040,O14965
CHEMBL1986186,P08581
CHEMBL1997822,Q96KB5
CHEMBL1242199,Q9UBF8
CHEMBL117697,Q16644
CHEMBL1972276,Q13464
CHEMBL2003456,P07332
CHEMBL259850,Q13153
CHEMBL1984633,Q96KB5
CHEMBL1974328,P11362
CHEMBL1972258,P27448
CHEMBL1976455,O43293
CHEMBL2001288,Q9NWZ3
CHEMBL1972355,Q16620
CHEMBL259922,P08581
CHEMBL1966425,P11309
CHEMBL2000354,Q16288
CHEMBL1986139,Q16513
CHEMBL327291,P05129
CHEMBL1982541,P31749
CHEMBL2003514,P52333
CHEMBL1980144,Q13882
CHEMBL1978166,P45984
CHEMBL1994693,Q14012
CHEMBL550418,P49336
CHEMBL1986143,P35968
CHEMBL1989471,O14965
CHEMBL1973860,P22607
CHEMBL1967564,P17612
CHEMBL281470,Q05655
CHEMBL1738710,P27361
CHEMBL1994074,Q96KB5
CHEMBL1965570,Q7KZI7
CHEMBL1190711,P68400
CHEMBL447974,P41743
CHEMBL1989708,Q9Y6M4
CHEMBL2001239,P24941
CHEMBL535331,Q16644
CHEMBL1270230,P49841
CHEMBL38380,Q13627
CHEMBL1997822,P48729
CHEMBL207584,O15264
CHEMBL1985580,O14757
CHEMBL2333365,Q14289
CHEMBL1461728,P45983
CHEMBL484390,Q13882
CHEMBL1980329,P07333
CHEMBL1996791,Q00535
CHEMBL1965660,Q9H4B4
CHEMBL2000071,P31751
CHEMBL1986186,O75582
CHEMBL1996500,Q86V86
CHEMBL406845,Q96GD4
CHEMBL1996208,Q05513
CHEMBL2002240,Q16513
CHEMBL2006493,Q12851
CHEMBL1986943,P41743
CHEMBL2007375,Q7L7X3
CHEMBL569880,P31749
CHEMBL1989474,P43405
CHEMBL1972820,P41743
CHEMBL271381,O15075
CHEMBL1991577,Q5VT25
CHEMBL1982957,P49137
CHEMBL1997597,P11309
CHEMBL1983025,Q9P1W9
CHEMBL1969755,Q13882
CHEMBL1973961,P51955
CHEMBL1981792,Q14164
CHEMBL1972820,Q9HCP0
CHEMBL1972849,P35968
CHEMBL336961,O15111
CHEMBL1984432,Q05655
CHEMBL413779,P53667
CHEMBL2006580,Q00535
CHEMBL386637,P23458
CHEMBL1976196,P53667
CHEMBL214198,P41240
CHEMBL184847,Q7L7X3
CHEMBL1977148,Q13627
CHEMBL428973,Q04759
CHEMBL336961,Q13627
CHEMBL1979970,O96013
CHEMBL260092,P04626
CHEMBL1090360,P49760
CHEMBL387971,O14757
CHEMBL392642,Q06418
CHEMBL116070,Q16620
CHEMBL1992740,P08069
CHEMBL1988995,P78368
CHEMBL1095626,Q13464
CHEMBL248757,Q9UBE8
CHEMBL1983449,Q13554
CHEMBL468280,O14965
CHEMBL1958401,P00533
CHEMBL1976455,Q16288
CHEMBL1991678,O43293
CHEMBL1995211,P06239
CHEMBL474432,P00533
CHEMBL1994321,P17612
CHEMBL1980376,Q13627
CHEMBL36985,P05771
CHEMBL262433,Q06418
CHEMBL522251,Q05513
CHEMBL1964413,Q7L7X3
CHEMBL1978567,Q07912
CHEMBL1995916,Q9HAZ1
CHEMBL1982506,O14965
CHEMBL424872,Q8IU85
CHEMBL1999718,P45983
CHEMBL211378,Q9UM73
CHEMBL352085,Q05655
CHEMBL378627,P30530
CHEMBL1996234,P05129
CHEMBL1682540,P07333
CHEMBL117697,Q13882
CHEMBL1178727,O43293
CHEMBL1975121,P29597
CHEMBL1982711,P51812
CHEMBL1972221,P10721
CHEMBL1997023,P05129
CHEMBL2312646,P49137
CHEMBL1990885,P06493
CHEMBL316264,Q14289
CHEMBL1240545,P42345
CHEMBL1993781,P29597
CHEMBL1375640,Q8IW41
CHEMBL1774056,P00533
CHEMBL394619,P49137
CHEMBL50894,Q9BZL6
CHEMBL2006567,P68400
CHEMBL260092,P00533
