"O00141","O00311","O00329","O00418","O00444","O14757","O14920","O14965","O15075","O15111","O15264","O15530","O43293","O43741","O43781","O60285","O60674","O75116","O75582","O75676","O94806","O95819","O96013","O96017","P00519","P00533","P04049","P04626","P04629","P05129","P05771","P06213","P06239","P06241","P06493","P07332","P07333","P07947","P07948","P07949","P08069","P08581","P08631","P08922","P09619","P09769","P10721","P11309","P11362","P11802","P12931","P15056","P15735","P16234","P16591","P17252","P17612","P17948","P19784","P21802","P22455","P22607","P22612","P22694","P23443","P23458","P24723","P24941","P27361","P27448","P28482","P29317","P29323","P29376","P29597","P30291","P30530","P31749","P31751","P34947","P35916","P35968","P36507","P36888","P41240","P41279","P41743","P42336","P42338","P42345","P42679","P42684","P42685","P43403","P43405","P45983","P45984","P48729","P48730","P48736","P49137","P49336","P49674","P49759","P49760","P49840","P49841","P50613","P50750","P51451","P51617","P51812","P51813","P51817","P51955","P51957","P52333","P52564","P53350","P53667","P53778","P53779","P54619","P54646","P54760","P67870","P68400","P78368","P78527","P80192","Q00534","Q00535","Q02156","Q02750","Q02763","Q02779","Q04759","Q04771","Q04912","Q05397","Q05513","Q05655","Q06187","Q06418","Q07912","Q08881","Q12851","Q12866","Q13131","Q13153","Q13177","Q13188","Q13237","Q13464","Q13554","Q13555","Q13557","Q13627","Q13882","Q13976","Q14012","Q14164","Q14289","Q14680","Q15078","Q15118","Q15139","Q15303","Q15418","Q15759","Q16288","Q16512","Q16513","Q16539","Q16566","Q16584","Q16620","Q16644","Q5S007","Q5VT25","Q7KZI7","Q7L7X3","Q86V86","Q8IU85","Q8IW41","Q8N4C8","Q8NE63","Q8TDC3","Q96GD4","Q96KB5","Q96L34","Q96PF2","Q96RG2","Q96RR4","Q96SB4","Q99683","Q9BUB5","Q9BWU1","Q9BXA7","Q9BZL6","Q9H0K1","Q9H2G2","Q9H2X6","Q9H3Y6","Q9H4B4","Q9HAZ1","Q9HBH9","Q9HBY8","Q9HC98","Q9HCP0","Q9NR20","Q9NWZ3","Q9NYL2","Q9P1W9","Q9P289","Q9UBE8","Q9UBF8","Q9UBS0","Q9UEE5","Q9UGI9","Q9UGJ0","Q9UHD2","Q9UM73","Q9UQM7","Q9Y243","Q9Y463","Q9Y478","Q9Y4K4","Q9Y6M4"
1,0.033947,0.010459,0.014488,0.090412,0.1039,0.066878,0.178619,0.095856,0.074788,0.075502,0.205852,0.117701,0.017695,0.054814,0.120841,0.041362,0.108856,0.198056,0.200044,0.08554,0.046025,0.103056,0.108196,0.041024,0.032472,0.055674,0.032282,0.034184,0.238223,0.262261,0.024835,0.05177,0.054436,0.092922,0.050208,0.028049,0.043748,0.06248,0.028395,0.022053,0.034057,0.058002,0.011864,0.027637,0.041447,0.027146,0.066777,0.035589,0.08244,0.050061,0.049768,0.122079,0.027633,0.049187,0.256925,0.325898,0.024839,0.068549,0.035919,0.037165,0.037387,0.327539,0.327628,0.299083,0.034805,0.24937,0.099914,0.079007,0.116958,0.081166,0.039683,0.040484,0.020644,0.035231,0.047644,0.032735,0.341165,0.348708,0.16282,0.024217,0.024912,0.094481,0.026003,0.060231,0.062782,0.263911,0.010003,0.011202,0.008411,0.046287,0.042397,0.059586,0.045964,0.051185,0.062987,0.065038,0.042408,0.039163,0.01019,0.136108,0.03813,0.039101,0.032258,0.032415,0.064588,0.070783,0.096567,0.046557,0.059291,0.025974,0.238115,0.056417,0.293563,0.100418,0.091022,0.044436,0.080078,0.121944,0.057249,0.072887,0.058235,0.01689,0.122113,0.041278,0.018961,0.067127,0.038799,0.006178,0.04211,0.085628,0.087803,0.246895,0.094313,0.039783,0.045711,0.230848,0.030987,0.027702,0.042683,0.264991,0.23593,0.058187,0.030089,0.039776,0.05898,0.06492,0.03164,0.118384,0.11238,0.119785,0.097124,0.166871,0.11412,0.104279,0.124897,0.124688,0.057247,0.059268,0.186632,0.188316,0.042582,0.056826,0.115445,0.021017,0.016267,0.085074,0.031812,0.236856,0.073792,0.023787,0.193183,0.198574,0.076889,0.121896,0.04673,0.032829,0.114067,0.024993,0.10516,0.118902,0.055131,0.074465,0.188396,0.078613,0.046284,0.059447,0.11197,0.188467,0.02346,0.118967,0.128558,0.052607,0.08344,0.022511,0.057744,0.046874,0.036914,0.118997,0.085723,0.094409,0.064474,0.036594,0.059615,0.11672,0.033118,0.087315,0.606745,0.124659,0.048241,0.060154,0.057995,0.048051,0.080993,0.12321,0.054213,0.02071,0.308692,0.119608,0.013329,0.014764,0.043243,0.016002,0.129226,0.368429,0.058371,0.017628,0.062375,0.04295
0.033947,1,0.00941,0.012987,0.021414,0.031072,0.018749,0.029215,0.02561,0.017922,0.042973,0.034915,0.032582,0.015018,0.024997,0.033513,0.010894,0.021773,0.026453,0.024122,0.025961,0.014433,0.026126,0.037707,0.009823,0.011379,0.018251,0.01247,0.015256,0.023553,0.02441,0.010452,0.020743,0.017498,0.037428,0.009868,0.01459,0.020532,0.024013,0.012438,0.009874,0.014167,0.02297,0.009239,0.010653,0.024553,0.011252,0.035179,0.01197,0.035421,0.02141,0.015696,0.038963,0.011248,0.013324,0.023757,0.031201,0.01077,0.063461,0.012253,0.015289,0.013835,0.032501,0.032937,0.030394,0.011728,0.023937,0.043766,0.037904,0.024213,0.038288,0.012525,0.013793,0.010797,0.010595,0.028458,0.013277,0.031672,0.03208,0.022298,0.009958,0.010258,0.02786,0.015187,0.019976,0.027129,0.025978,0.010468,0.010304,0.006568,0.018141,0.009811,0.01598,0.01534,0.012316,0.033031,0.032001,0.050265,0.04969,0.010375,0.036689,0.031202,0.050398,0.032553,0.029463,0.037965,0.044349,0.047479,0.034961,0.019212,0.019761,0.028997,0.011359,0.033983,0.021607,0.017347,0.010508,0.035739,0.028838,0.020123,0.042429,0.030908,0.0139,0.029735,0.012224,0.024649,0.060016,0.027349,0.005538,0.017119,0.039294,0.043356,0.023708,0.028491,0.014937,0.01731,0.022867,0.016922,0.011496,0.013868,0.026121,0.025989,0.014609,0.013987,0.010061,0.012758,0.021188,0.014241,0.029826,0.029018,0.027913,0.032362,0.022424,0.021361,0.030348,0.032859,0.038197,0.021617,0.017183,0.025751,0.044049,0.018804,0.01491,0.029746,0.018412,0.0104,0.025197,0.010669,0.027864,0.043098,0.013984,0.024026,0.023968,0.04067,0.037712,0.019924,0.015487,0.037779,0.010787,0.01571,0.023661,0.013544,0.041272,0.043737,0.028141,0.014027,0.021861,0.024667,0.027662,0.024126,0.024006,0.036125,0.016097,0.028776,0.017216,0.01897,0.025385,0.030207,0.038099,0.025663,0.020611,0.013946,0.017423,0.015488,0.029982,0.030805,0.031563,0.032887,0.029988,0.028304,0.029863,0.020699,0.015821,0.037486,0.039287,0.035014,0.009922,0.026934,0.033467,0.011677,0.011573,0.018494,0.008293,0.038345,0.031623,0.024774,0.013996,0.01675,0.02822
0.010459,0.00941,1,0.008868,0.006995,0.012054,0.007513,0.01085,0.00851,0.009257,0.013275,0.009687,0.012359,0.010649,0.008194,0.010557,0.006421,0.006063,0.010421,0.009583,0.008433,0.006379,0.010178,0.011914,0.008427,0.006003,0.009223,0.007343,0.009523,0.008957,0.008943,0.005627,0.00979,0.009302,0.01337,0.008058,0.007127,0.009027,0.010092,0.007011,0.005663,0.005977,0.009436,0.005561,0.008161,0.009376,0.008057,0.010717,0.008567,0.011798,0.009109,0.010436,0.010196,0.006809,0.007271,0.009597,0.015033,0.00757,0.011547,0.007142,0.007676,0.007448,0.011907,0.011597,0.01024,0.006359,0.008659,0.013647,0.013887,0.008222,0.014799,0.00768,0.006678,0.006923,0.006414,0.008805,0.007588,0.013338,0.012555,0.008169,0.005869,0.006237,0.010651,0.006862,0.00939,0.011982,0.008804,0.31822,0.536245,0.013733,0.009383,0.007189,0.009107,0.010538,0.007405,0.009112,0.009151,0.01153,0.010114,0.209862,0.014026,0.011297,0.010386,0.008388,0.009884,0.00856,0.010641,0.012967,0.013724,0.009124,0.008776,0.008673,0.008773,0.01076,0.011875,0.008611,0.00595,0.011962,0.008404,0.009301,0.010158,0.008732,0.011171,0.009767,0.006345,0.013742,0.011216,0.010879,0.010976,0.007951,0.014396,0.01503,0.007935,0.010737,0.007297,0.009655,0.010228,0.010592,0.005772,0.007984,0.008852,0.00829,0.00911,0.00749,0.008271,0.00818,0.007967,0.007081,0.009437,0.010125,0.010097,0.009592,0.008109,0.006777,0.008396,0.008936,0.008894,0.00887,0.01177,0.008639,0.010049,0.008667,0.008148,0.01239,0.012817,0.01016,0.007385,0.006541,0.008688,0.010836,0.007434,0.009093,0.006987,0.013969,0.012586,0.007599,0.007295,0.009525,0.004837,0.005685,0.008035,0.008052,0.011707,0.011792,0.011124,0.006585,0.007774,0.007776,0.011085,0.009821,0.008366,0.010277,0.005979,0.009452,0.008257,0.006391,0.009027,0.011978,0.010124,0.009501,0.009294,0.006472,0.006469,0.008446,0.009019,0.008399,0.009795,0.010648,0.012135,0.012501,0.01004,0.0091,0.007453,0.012426,0.013667,0.011177,0.044454,0.010401,0.009926,0.009359,0.009727,0.007869,0.005642,0.010704,0.014915,0.010473,0.011316,0.008048,0.010477
0.014488,0.012987,0.008868,1,0.009239,0.012452,0.007932,0.012234,0.009363,0.012317,0.012143,0.010658,0.011718,0.014386,0.014363,0.015046,0.007447,0.007607,0.009937,0.009392,0.008415,0.008604,0.010109,0.012992,0.012137,0.009342,0.008795,0.006613,0.00913,0.008853,0.008794,0.006334,0.010133,0.012286,0.017162,0.008127,0.009837,0.011058,0.011103,0.008147,0.006562,0.007499,0.013983,0.00562,0.008459,0.010269,0.008934,0.013464,0.008996,0.014866,0.010556,0.009139,0.012501,0.008543,0.007923,0.009045,0.010826,0.007679,0.014136,0.011188,0.010138,0.008878,0.014193,0.010834,0.010069,0.00717,0.009792,0.012199,0.014393,0.011348,0.014699,0.007368,0.007744,0.009195,0.008852,0.011323,0.008581,0.011446,0.012417,0.009451,0.008319,0.008387,0.015869,0.008843,0.012509,0.010062,0.01021,0.007867,0.008357,0.006575,0.010252,0.007753,0.012716,0.014793,0.010481,0.012218,0.010907,0.013743,0.013433,0.009905,0.012539,0.011542,0.012036,0.018434,0.012401,0.010522,0.010969,0.012817,0.01454,0.011808,0.009675,0.012663,0.011261,0.013924,0.010784,0.009775,0.010012,0.013873,0.009159,0.010816,0.011374,0.011709,0.016056,0.009851,0.008452,0.015444,0.012665,0.010237,0.004178,0.009898,0.01443,0.013029,0.010737,0.013864,0.007455,0.009703,0.010634,0.011701,0.007809,0.008219,0.010266,0.009614,0.008687,0.007988,0.008359,0.010307,0.008766,0.009106,0.009769,0.010862,0.010492,0.010798,0.008139,0.007501,0.009737,0.010651,0.011224,0.009314,0.011093,0.009484,0.013066,0.008477,0.008166,0.010119,0.013669,0.012447,0.00834,0.007987,0.012686,0.013654,0.0091,0.008302,0.008103,0.01073,0.011414,0.011919,0.009178,0.013482,0.007031,0.006945,0.008317,0.008481,0.012016,0.014415,0.011966,0.007083,0.011793,0.009519,0.013213,0.012097,0.010484,0.011878,0.007511,0.011556,0.009569,0.008951,0.011086,0.010863,0.011336,0.00873,0.007847,0.007512,0.007102,0.010381,0.008821,0.013765,0.011351,0.014362,0.014073,0.010159,0.012274,0.012819,0.010117,0.013252,0.011438,0.009689,0.008914,0.010808,0.011483,0.010517,0.010702,0.008858,0.006725,0.014034,0.012698,0.010819,0.013067,0.008394,0.010516
0.090412,0.021414,0.006995,0.009239,1,0.083723,0.030863,0.152154,0.074795,0.028262,0.05307,0.106622,0.103594,0.012205,0.046202,0.100905,0.02694,0.044547,0.06254,0.057466,0.053941,0.033581,0.066148,0.065232,0.028535,0.026061,0.039878,0.022781,0.02351,0.067828,0.071978,0.016121,0.038919,0.039289,0.081792,0.037239,0.028726,0.039187,0.041787,0.018078,0.016552,0.024416,0.035604,0.012217,0.021441,0.039865,0.027917,0.060051,0.026565,0.055839,0.041126,0.04194,0.095306,0.024268,0.04545,0.081151,0.116161,0.021311,0.044871,0.028063,0.026586,0.027591,0.115897,0.115929,0.096815,0.027576,0.076567,0.086373,0.056301,0.091974,0.060067,0.033956,0.030461,0.014632,0.023563,0.02583,0.023718,0.093383,0.097129,0.060081,0.020163,0.020161,0.057334,0.023188,0.043449,0.047096,0.075363,0.006876,0.007866,0.005014,0.037746,0.026216,0.050425,0.03928,0.038091,0.04005,0.04469,0.028697,0.025591,0.006631,0.06911,0.033069,0.024949,0.028402,0.031436,0.044312,0.051236,0.083368,0.055604,0.033951,0.023772,0.081773,0.047107,0.110821,0.078355,0.067712,0.026073,0.043789,0.129842,0.04207,0.050351,0.03838,0.014719,0.0955,0.030524,0.013091,0.044896,0.028634,0.004324,0.032029,0.058974,0.078654,0.07843,0.058728,0.029142,0.031164,0.082978,0.017225,0.02064,0.031572,0.078519,0.07843,0.04034,0.023615,0.023418,0.045047,0.045973,0.020773,0.09703,0.07226,0.074719,0.07856,0.076479,0.045896,0.090784,0.100343,0.107376,0.040488,0.055609,0.083373,0.110403,0.03612,0.033762,0.096095,0.011948,0.010586,0.054874,0.024767,0.083053,0.057417,0.023445,0.070749,0.070635,0.061127,0.083236,0.031045,0.028079,0.072568,0.018682,0.034352,0.091419,0.049358,0.065726,0.105526,0.0359,0.035139,0.036078,0.088025,0.157397,0.027287,0.091636,0.097662,0.041077,0.071462,0.015772,0.045445,0.041895,0.03337,0.101002,0.056508,0.08271,0.049509,0.025894,0.04977,0.139744,0.030354,0.056696,0.09167,0.094991,0.02812,0.037818,0.048269,0.02998,0.072907,0.083919,0.057961,0.011904,0.101978,0.08912,0.009193,0.013512,0.033704,0.011908,0.10929,0.095179,0.045586,0.011422,0.048635,0.030449
0.1039,0.031072,0.012054,0.012452,0.083723,1,0.056404,0.119047,0.08536,0.068328,0.082484,0.096435,0.086243,0.016244,0.036289,0.11756,0.034841,0.0577,0.086149,0.076078,0.054715,0.042127,0.082992,0.113754,0.033432,0.025356,0.060587,0.031073,0.042784,0.069981,0.069969,0.021688,0.057045,0.062347,0.128033,0.046358,0.026026,0.057373,0.060353,0.023544,0.022523,0.029487,0.057223,0.017667,0.025142,0.057605,0.028491,0.076106,0.03252,0.084591,0.063874,0.052821,0.106653,0.025921,0.046611,0.076434,0.116504,0.0233,0.071409,0.03223,0.033075,0.030542,0.11888,0.120763,0.086537,0.04034,0.071122,0.129934,0.090912,0.129676,0.089658,0.035116,0.033835,0.025403,0.041857,0.039676,0.026712,0.078756,0.085962,0.059589,0.022714,0.022899,0.077304,0.024915,0.048923,0.065523,0.080084,0.009479,0.010615,0.006931,0.045786,0.032091,0.064531,0.048396,0.042356,0.065572,0.062897,0.052952,0.034979,0.011484,0.077215,0.055589,0.037904,0.028633,0.032253,0.057651,0.064953,0.083572,0.080584,0.059264,0.034329,0.088017,0.043168,0.107099,0.077212,0.060832,0.029708,0.064907,0.108467,0.056259,0.074522,0.063644,0.01455,0.13679,0.031954,0.01565,0.06579,0.030428,0.006399,0.035731,0.083075,0.118503,0.07155,0.075285,0.018465,0.040242,0.0681,0.030508,0.02556,0.037501,0.075227,0.059862,0.036647,0.022694,0.038754,0.045541,0.067852,0.020905,0.136012,0.07959,0.084847,0.08889,0.084735,0.057644,0.108196,0.119088,0.120474,0.032424,0.062628,0.091616,0.148785,0.057083,0.034442,0.130735,0.016431,0.013332,0.059961,0.028968,0.090101,0.076782,0.024321,0.057689,0.055755,0.078819,0.102183,0.038673,0.046066,0.073819,0.01428,0.039441,0.132025,0.046162,0.096966,0.153534,0.045659,0.041252,0.046249,0.122548,0.136985,0.027064,0.127303,0.142052,0.054622,0.088372,0.028103,0.050474,0.044418,0.053816,0.134955,0.05698,0.111758,0.050285,0.024375,0.051817,0.095585,0.026734,0.074708,0.098447,0.095859,0.036907,0.026222,0.072462,0.047979,0.087853,0.114181,0.067498,0.011346,0.084646,0.089209,0.011447,0.012886,0.048399,0.016658,0.127987,0.082958,0.034356,0.018793,0.0698,0.032967
0.066878,0.018749,0.007513,0.007932,0.030863,0.056404,1,0.064526,0.04982,0.472178,0.060258,0.054655,0.076423,0.015538,0.049323,0.053757,0.030795,0.024724,0.041669,0.047111,0.050575,0.031774,0.039847,0.064172,0.029077,0.018347,0.030277,0.017952,0.025959,0.048328,0.048137,0.016825,0.035657,0.035986,0.073809,0.043994,0.021301,0.031739,0.033366,0.023429,0.018422,0.0227,0.031979,0.014301,0.023296,0.035372,0.020172,0.039403,0.025337,0.066593,0.032628,0.027464,0.052384,0.024588,0.039564,0.048315,0.073727,0.017719,0.043934,0.025587,0.025033,0.026433,0.077474,0.067484,0.059052,0.029887,0.04754,0.068207,0.057498,0.061174,0.05179,0.027476,0.029676,0.032525,0.034741,0.031795,0.027851,0.059642,0.061304,0.063386,0.01839,0.018729,0.053199,0.021063,0.038879,0.039301,0.051511,0.006963,0.00957,0.005693,0.037,0.027742,0.03663,0.034628,0.036133,0.046485,0.050743,0.034099,0.03521,0.007529,0.07294,0.04423,0.035154,0.024807,0.028616,0.054427,0.057835,0.051258,0.046179,0.034849,0.022579,0.051554,0.02874,0.067643,0.060872,0.055783,0.025671,0.035569,0.051699,0.033277,0.06846,0.044546,0.013992,0.054514,0.033333,0.014864,0.042946,0.027093,0.005674,0.033441,0.067735,0.073952,0.045668,0.052217,0.022196,0.035385,0.047623,0.02017,0.022329,0.030052,0.052078,0.049562,0.02856,0.029378,0.015954,0.031242,0.032625,0.026672,0.052001,0.06438,0.064012,0.055475,0.048972,0.023861,0.047782,0.055499,0.062197,0.028482,0.03238,0.054325,0.092216,0.081236,0.027382,0.050484,0.015162,0.012353,0.050581,0.019251,0.050877,0.062264,0.0164,0.038907,0.040436,0.070508,0.06538,0.034304,0.022054,0.079228,0.016189,0.022024,0.055777,0.026139,0.043469,0.09514,0.047181,0.032108,0.030654,0.043261,0.069688,0.035243,0.05913,0.045682,0.02829,0.034406,0.022793,0.035156,0.026859,0.042203,0.038832,0.051517,0.047643,0.032842,0.030005,0.037466,0.040215,0.023908,0.037982,0.057015,0.061688,0.029913,0.042636,0.045346,0.031592,0.046807,0.051599,0.036662,0.010321,0.059946,0.064928,0.010438,0.009147,0.071884,0.022421,0.058564,0.058919,0.033314,0.01757,0.028087,0.027724
0.178619,0.029215,0.01085,0.012234,0.152154,0.119047,0.064526,1,0.118842,0.065063,0.11475,0.166193,0.149799,0.017211,0.062319,0.148363,0.050764,0.077867,0.119916,0.111167,0.089378,0.046664,0.10065,0.120031,0.057031,0.036653,0.057014,0.030854,0.037137,0.11757,0.119239,0.030816,0.062036,0.054037,0.150143,0.062773,0.032131,0.055518,0.066492,0.029458,0.026438,0.029232,0.061411,0.015044,0.029819,0.047914,0.033008,0.112342,0.046482,0.087162,0.05766,0.050944,0.12618,0.03359,0.068822,0.126601,0.194865,0.033057,0.085744,0.0432,0.044928,0.046812,0.201554,0.204141,0.162589,0.043886,0.137428,0.156035,0.083429,0.147913,0.086697,0.042985,0.037042,0.033245,0.039278,0.03782,0.039935,0.156924,0.164047,0.08776,0.03384,0.036184,0.120014,0.027576,0.070521,0.102981,0.122285,0.011243,0.01104,0.008157,0.062342,0.055051,0.066863,0.065472,0.059833,0.07501,0.071633,0.050725,0.050904,0.010286,0.119481,0.063467,0.049424,0.038126,0.035731,0.076517,0.079011,0.116029,0.088223,0.065303,0.043611,0.134904,0.06362,0.207675,0.129767,0.084159,0.048646,0.100319,0.157557,0.067825,0.111933,0.070118,0.018053,0.154209,0.035285,0.019671,0.07775,0.04164,0.005664,0.047113,0.107342,0.149059,0.132403,0.127247,0.042396,0.052012,0.132231,0.035487,0.028992,0.058064,0.117158,0.118038,0.07877,0.036631,0.043881,0.072143,0.078906,0.025898,0.153722,0.110862,0.118413,0.123153,0.132427,0.081624,0.121019,0.134388,0.144577,0.045396,0.074316,0.140348,0.181097,0.047768,0.048181,0.138308,0.021259,0.01414,0.090773,0.03455,0.134097,0.11108,0.028574,0.104742,0.109872,0.104351,0.144591,0.053328,0.042246,0.123631,0.025548,0.065,0.141465,0.078077,0.126653,0.173463,0.066211,0.048017,0.057486,0.130769,0.534367,0.035449,0.148038,0.155518,0.061628,0.1132,0.028543,0.065071,0.049513,0.064388,0.150227,0.093412,0.129863,0.078725,0.042642,0.074644,0.149121,0.039873,0.086187,0.170273,0.140458,0.045456,0.061991,0.079777,0.076281,0.126304,0.152731,0.064044,0.012757,0.175428,0.13777,0.01426,0.013705,0.059699,0.026187,0.152662,0.160553,0.057548,0.016574,0.066662,0.043222
0.095856,0.02561,0.00851,0.009363,0.074795,0.08536,0.04982,0.118842,1,0.044788,0.058655,0.087519,0.159088,0.014514,0.052457,0.097699,0.022956,0.041056,0.092486,0.089376,0.084899,0.026041,0.076349,0.127416,0.040113,0.01484,0.041591,0.01766,0.017426,0.064626,0.066409,0.014472,0.038105,0.033557,0.082449,0.040497,0.020525,0.034978,0.037963,0.016229,0.016456,0.019481,0.032508,0.017154,0.019628,0.033823,0.018477,0.066873,0.021095,0.051885,0.036818,0.043029,0.13838,0.01853,0.042716,0.071658,0.136334,0.017819,0.049914,0.023556,0.020457,0.022641,0.143567,0.137575,0.087118,0.025628,0.07636,0.075488,0.065709,0.095489,0.063768,0.026804,0.028431,0.024975,0.019687,0.03455,0.017548,0.096235,0.10247,0.068768,0.016214,0.017308,0.05728,0.021634,0.042178,0.048137,0.069816,0.007508,0.00735,0.00621,0.043881,0.03808,0.044745,0.036326,0.033112,0.054444,0.05674,0.043521,0.03753,0.009355,0.131423,0.039138,0.036082,0.03814,0.048169,0.047607,0.051183,0.066178,0.042541,0.036051,0.021633,0.128539,0.034625,0.129019,0.083298,0.053006,0.01873,0.0416,0.077098,0.042011,0.064409,0.051517,0.014618,0.110227,0.026255,0.014165,0.050399,0.02823,0.00488,0.035906,0.065707,0.06819,0.069892,0.055231,0.016087,0.037108,0.059663,0.015222,0.023448,0.035349,0.067611,0.056578,0.030949,0.01825,0.016217,0.035693,0.04643,0.015909,0.109305,0.086752,0.090289,0.072412,0.070053,0.042689,0.146806,0.163576,0.167342,0.035048,0.057272,0.070805,0.233984,0.040621,0.029838,0.102913,0.019063,0.0112,0.085304,0.016883,0.126944,0.063293,0.01498,0.053974,0.052005,0.069807,0.18359,0.036554,0.018276,0.140672,0.019435,0.030591,0.090261,0.036254,0.070778,0.228328,0.106037,0.025493,0.045607,0.087699,0.120731,0.022834,0.094417,0.110101,0.040804,0.078401,0.017101,0.03689,0.063487,0.03789,0.101821,0.087597,0.090575,0.036048,0.036028,0.040942,0.084262,0.038506,0.114846,0.099741,0.096625,0.031774,0.05789,0.04079,0.02838,0.07078,0.077978,0.043377,0.010991,0.086274,0.12814,0.012862,0.013497,0.040216,0.017224,0.176021,0.097685,0.0431,0.015734,0.043553,0.029508
0.074788,0.017922,0.009257,0.012317,0.028262,0.068328,0.472178,0.065063,0.044788,1,0.057138,0.049216,0.072315,0.015162,0.044321,0.054731,0.026973,0.02385,0.045254,0.042196,0.049328,0.028083,0.052615,0.064961,0.023954,0.016026,0.033375,0.017037,0.023579,0.051062,0.049339,0.020584,0.042792,0.044443,0.070772,0.039465,0.019805,0.03927,0.038069,0.023082,0.021275,0.020527,0.035401,0.020367,0.024417,0.046299,0.021565,0.038144,0.02759,0.062789,0.04203,0.026281,0.054958,0.028274,0.041899,0.051105,0.075058,0.020065,0.03999,0.026631,0.025353,0.027493,0.074356,0.072888,0.056188,0.022023,0.044782,0.065978,0.053727,0.063407,0.058161,0.029112,0.028479,0.038722,0.028235,0.033263,0.030241,0.056969,0.059266,0.067278,0.019762,0.020302,0.054759,0.021345,0.035716,0.041032,0.051097,0.007407,0.009171,0.006545,0.047005,0.024574,0.034577,0.040842,0.034042,0.054391,0.055642,0.028499,0.028114,0.007552,0.06622,0.038934,0.028069,0.023946,0.028083,0.047922,0.050498,0.04653,0.044867,0.042683,0.018221,0.050162,0.032293,0.069665,0.057361,0.058135,0.022839,0.029536,0.044159,0.033644,0.06793,0.05439,0.013643,0.052594,0.029889,0.014907,0.03992,0.026833,0.004377,0.024945,0.0559,0.06282,0.044784,0.054493,0.024941,0.026279,0.048021,0.01747,0.02295,0.029064,0.051946,0.047049,0.028103,0.027828,0.013654,0.034939,0.031024,0.031614,0.053627,0.062167,0.067579,0.048683,0.055192,0.022399,0.041999,0.052127,0.05369,0.026311,0.03832,0.056102,0.088513,0.074092,0.028121,0.05036,0.013606,0.01105,0.052343,0.0159,0.04948,0.070895,0.020501,0.041317,0.041451,0.072925,0.058106,0.025151,0.024523,0.067806,0.018056,0.022257,0.060958,0.025994,0.04051,0.085375,0.039272,0.02801,0.031023,0.043637,0.072522,0.033016,0.062612,0.050989,0.031632,0.042271,0.020138,0.038103,0.027262,0.038928,0.051686,0.050963,0.051459,0.039607,0.028477,0.035071,0.034297,0.025847,0.033251,0.062169,0.06148,0.028989,0.039401,0.049406,0.03365,0.038409,0.05658,0.041592,0.008626,0.055375,0.064772,0.013641,0.009469,0.072613,0.028666,0.050798,0.056248,0.028994,0.016363,0.030557,0.027151
