From src:'1'	To src:'2'
CHEMBL323556	DB07996
CHEMBL3989868	DB11652
CHEMBL1235805	DB08509
CHEMBL417	DB00445
CHEMBL567204	DB08457
CHEMBL382301	DB09059
CHEMBL1382627	DB05245
CHEMBL2110938	DB11584
CHEMBL1480987	DB04838
CHEMBL188462	DB16205
CHEMBL360563	DB03749
CHEMBL1231240	DB03622
CHEMBL401377	DB07210
CHEMBL47386	DB03823
CHEMBL282614	DB12883
CHEMBL562967	DB12045
CHEMBL343633	DB13443
CHEMBL177275	DB07018
CHEMBL3935857	DB14935
CHEMBL220896	DB07993
CHEMBL2104149	DB01459
CHEMBL64934	DB03982
CHEMBL2105945	DB11797
CHEMBL1236183	DB04936
CHEMBL4446378	DB17166
CHEMBL193233	DB08591
CHEMBL311875	DB04092
CHEMBL249420	DB15130
CHEMBL436462	DB01908
CHEMBL509	DB00939
CHEMBL1697832	DB13843
CHEMBL2105212	DB13430
CHEMBL1172560	DB03897
CHEMBL1232889	DB07803
CHEMBL713	DB00442
CHEMBL475251	DB07159
CHEMBL202932	DB07772
CHEMBL107430	DB05653
CHEMBL3989690	DB06156
CHEMBL104937	DB01977
CHEMBL2110725	DB11641
CHEMBL3183581	DB15957
CHEMBL420937	DB03034
CHEMBL3039521	DB05168
CHEMBL549695	DB08656
CHEMBL2106277	DB14664
CHEMBL1229801	DB06911
CHEMBL404	DB01606
CHEMBL283639	DB08726
CHEMBL148	DB01598
CHEMBL14227	DB03568
CHEMBL372303	DB08348
CHEMBL288010	DB03768
CHEMBL524004	DB04843
CHEMBL107360	DB13246
CHEMBL125200	DB03722
CHEMBL1079175	DB16828
CHEMBL113194	DB02359
CHEMBL194805	DB06902
CHEMBL2105085	DB12079
CHEMBL3219124	DB14810
CHEMBL159660	DB01498
CHEMBL264950	DB08695
CHEMBL1233960	DB08082
CHEMBL1113	DB00543
CHEMBL128	DB00669
CHEMBL3989917	DB14019
CHEMBL240624	DB11864
CHEMBL526330	DB04658
CHEMBL379064	DB16767
CHEMBL3989901	DB05683
CHEMBL3693786	DB15449
CHEMBL552128	DB11260
CHEMBL140	DB11672
CHEMBL1233973	DB04147
CHEMBL1561	DB00491
CHEMBL73148	DB05431
CHEMBL266349	DB13616
CHEMBL559401	DB08349
CHEMBL1236395	DB12310
CHEMBL3813873	DB12978
CHEMBL1235116	DB08363
CHEMBL72628	DB05483
CHEMBL66380	DB08256
CHEMBL1200685	DB09315
CHEMBL220808	DB06454
CHEMBL1528	DB09325
CHEMBL485253	DB00247
CHEMBL1095	DB00754
CHEMBL96051	DB17053
CHEMBL1236196	DB01851
CHEMBL87580	DB06883
CHEMBL539163	DB04787
CHEMBL79	DB00281
CHEMBL249837	DB00931
CHEMBL466496	DB07234
CHEMBL1507567	DB14646
CHEMBL2105667	DB12427
CHEMBL142996	DB08169
