From	To
A0A087X1C5	1564
A0A0B4J2F0	101928527
A0A0B4J2F2	102724428
A0A0K2S4Q6	100130520
A0A0U1RRE5	550643
A0AV02	84561
A0AV96	54502
A0AVF1	79989
A0AVI4	92305
A0AVK6	79733
A0AVT1	55236
A0FGR8	57488
A0FGR9	83850
A0JLT2	219541
A0JNW5	23074
A0JP26	102724631
A0MZ66	57698
A0PJK1	125206
A0PJY2	389549
A0PK00	144404
A0PK11	645104
A1A4S6	79658
A1A4Y4	345611
A1A519	340069
A1A5B4	338440
A1A5C7	63027
A1E959	54959
A1KXE4	130074
A1KZ92	137902
A1L0T0	10994
A1L167	134111
A1L190	644186
A1L390	26030
A1L3X0	79993
A1L4H1	284297
A1L4K1	123722
A1X283	285590
A1XBS5	137392
A1Z1Q3	140733
A2A288	340152
A2A2Y4	257019
A2IDD5	124093
A2PYH4	164045
A2RRP1	51594
A2RTX5	123283
A2RU14	219854
A2RU30	9840
A2RU49	123688
A2RUB1	284071
A2RUB6	285331
A2RUC4	129450
A2RUH7	343263
A2VDJ0	23240
A3KMH1	23078
A4D0S4	22798
A4D126	729920
A4D161	340277
A4D1B5	54103
A4D1E9	85865
A4D1P6	29062
A4D1T9	136242
A4D2B0	255374
A4GXA9	197342
A4UGR9	129446
A5A3E0	728378
A5D8T8	348174
A5D8V6	55048
A5D8V7	115948
A5D8W1	79846
A5LHX3	122706
A5PKW4	5662
A5PLL7	387521
A5PLL7	387522
A5X5Y0	285242
A5YKK6	23019
A5YM72	57571
A6BM72	84465
A6H8Y1	55814
A6H8Z2	392307
A6NC98	283234
A6NCS4	137814
A6ND01	390243
A6ND36	644815
A6NDB9	342979
A6NDE4	378948
A6NDG6	283871
A6NDV4	51754
A6NED2	91433
A6NEM1	440295
A6NFA1	388630
A6NFQ2	285966
A6NFX1	388931
A6NFY7	644096
A6NGG8	388939
A6NGQ2	441161
A6NHL2	79861
A6NHR9	23347
A6NHX0	729438
A6NI15	343930
A6NI61	389827
A6NI73	353514
A6NIH7	84747
A6NIX2	126374
A6NJ46	157848
A6NJ78	196074
A6NK06	730249
A6NK58	387787
A6NK89	644943
A6NKB5	80003
A6NMZ7	131873
A6NNB3	387733
A6NNN8	146167
A6NNY8	389856
A7E2V4	23053
A7E2Y1	57644
A7KAX9	9743
A7MCY6	9755
A7MD48	84530
A7XYQ1	55084
A8K0Z3	100287171
A8K2U0	144568
A8K4G0	124599
A8K7I4	1179
A8K830	120376
A8K8P3	9814
A8K8V0	146540
A8MPY1	200959
A8MQ03	375791
A8MQ27	54492
A8MT69	201254
A8MTA8	730112
A8MTJ3	346562
A8MTJ6	344167
A8MTQ0	344022
A8MTZ0	92482
A8MU46	219537
A8MUP2	751071
A8MV65	389136
A8MVW5	253012
A8MW92	51105
A8MW95	441925
A8MW99	101928601
A8MXD5	389207
A8MXV4	390916
A8MYU2	157855
A8MZ59	342900
A8TX70	256076
A9QM74	402569
A9UHW6	57409
A9YTQ3	57491
B0I1T2	64005
B0YJ81	9200
B1AK53	83715
B2RTY4	4649
B2RUY7	402117
B2RUZ4	388588
B2RXF5	100128927
B2RXH2	390245
B3KU38	100505385
B6A8C7	441864
B7U540	100134444
B7ZAQ6	51463
B7ZAQ6	653519
C9JE40	197135
C9JLW8	348262
C9JR72	390594
C9JRZ8	441282
D3W0D1	100431172
D6RGH6	345643
E0CX11	647087
H0YL14	90120
H3BV60	100507588
K7EJ46	440335
K9M1U5	101180976
M0R2J8	341019
O00115	1777
O00116	8540
O00124	7993
O00139	3796
O00141	6446
O00142	7084
O00144	8326
O00148	10212
O00151	9124
O00154	11332
O00155	2848
O00159	4641
O00160	4542
O00161	8773
O00165	10456
O00167	2139
O00168	5348
O00170	9049
O00175	6369
O00180	3775
O00182	3965
O00186	6814
O00187	10747
O00189	9179
O00192	421
O00194	5874
O00198	8739
O00203	8546
O00204	6820
O00206	7099
O00212	29984
O00213	322
O00214	3964
O00217	4728
O00219	3038
O00220	8797
O00221	4794
O00222	2918
O00231	5717
O00232	5718
O00233	5715
O00237	7844
O00238	658
O00241	10326
O00244	475
O00253	181
O00254	2151
O00255	4221
O00257	8535
O00258	7485
O00264	10857
O00267	6829
O00268	6874
O00270	2853
O00273	1676
O00287	5994
O00291	3092
O00292	7044
O00294	7287
O00299	1192
O00300	4982
O00303	8665
O00305	785
O00308	11060
O00311	8317
O00322	11045
O00327	406
O00329	5293
O00330	8050
O00337	9154
O00338	6819
O00339	4147
O00341	6512
O00358	2304
O00391	5768
O00399	10671
O00400	9197
O00401	8976
O00408	5138
O00409	1112
O00410	3843
O00411	5442
O00418	29904
O00421	9034
O00422	10284
O00423	2009
O00425	10643
O00429	10059
O00442	8634
O00443	5286
O00444	10733
O00445	6861
O00451	2675
O00453	7940
O00459	5296
O00461	27333
O00462	4126
O00463	7188
O00468	375790
O00469	5352
O00470	4211
O00471	10640
O00472	22936
O00476	10786
O00478	10384
O00481	11119
O00482	2494
O00483	4697
O00487	10213
O00488	51042
O00499	274
O00501	7122
O00505	3839
O00506	10494
O00507	8287
O00512	607
O00519	2166
O00522	889
O00526	7379
O00533	10752
O00541	23481
O00548	28514
O00555	773
O00559	9166
O00560	6386
O00562	9600
O00566	10199
O00567	10528
O00571	1654
O00574	10663
O00584	8635
O00585	6366
O00587	4242
O00590	1238
O00591	2568
O00592	5420
O00602	2219
O00622	3491
O00623	5193
O00624	10246
O00625	8544
O00626	6367
O00628	5191
O00629	3840
O00631	6588
O00635	10475
O00712	4781
O00716	1871
O00743	5537
O00744	7480
O00746	4833
O00748	8824
O00750	5287
O00754	4125
O00755	7476
O00757	8789
O00762	11065
O00763	32
O00764	8566
O00767	6319
O14490	9229
O14492	10603
O14493	1364
O14494	8611
O14495	8613
O14497	8289
O14503	8553
O14508	8835
O14511	9542
O14512	30837
O14514	575
O14519	8099
O14520	364
O14521	6392
O14522	11122
O14523	9854
O14524	23306
O14525	460
O14526	23149
O14529	23316
O14530	10190
O14531	10570
O14543	9021
O14544	9306
O14556	26330
O14558	126393
O14559	115703
O14561	4706
O14569	11068
O14576	1780
O14578	11113
O14579	11316
O14593	8625
O14594	1463
O14595	10106
O14607	7404
O14610	2793
O14613	10435
O14617	8943
O14618	9973
O14625	6373
O14627	1046
O14628	7748
O14633	26239
O14638	5169
O14639	3983
O14640	1855
O14641	1856
O14645	7802
O14646	1105
O14647	1106
O14649	3777
O14653	9570
O14654	8471
O14656	1861
O14657	27348
O14662	8675
O14669	5639
O14672	102
O14678	5826
O14681	9538
O14682	8507
O14684	9536
O14686	8085
O14713	9270
O14717	1787
O14727	317
O14730	8780
O14732	3613
O14733	5609
O14734	10005
O14735	10423
O14737	9141
O14744	10419
O14745	9368
O14746	7015
O14756	8630
O14757	1111
O14763	8795
O14764	2563
O14770	4212
O14771	7760
O14772	8790
O14773	1200
O14775	10681
O14776	10915
O14777	10403
O14782	3797
O14786	8829
O14787	30000
O14788	8600
O14791	8542
O14792	9957
O14793	2660
O14795	10497
O14796	117157
O14798	8794
O14802	11128
O14804	9038
O14807	22808
O14810	10815
O14813	401
O14815	10753
O14817	7106
O14818	5688
O14827	5924
O14828	10067
O14829	5475
O14830	5470
O14832	5264
O14836	23495
O14841	26873
O14842	2864
O14843	2865
O14862	9447
O14863	7782
O14867	571
O14874	10295
O14879	3437
O14880	4259
O14893	8487
O14894	9032
O14896	3664
O14901	8462
O14904	7483
O14905	7484
O14907	30851
O14908	10755
O14910	8825
O14917	27253
O14920	3551
O14924	6002
O14925	100287932
O14926	25794
O14929	8520
O14931	259197
O14933	9246
O14936	8573
O14939	5338
O14944	2069
O14948	22797
O14949	27089
O14950	103910
O14950	10627
O14958	845
O14960	3950
O14964	9146
O14965	6790
O14966	8934
O14967	1047
O14972	10311
O14974	4659
O14975	11001
O14976	2580
O14977	51582
O14978	10127
O14979	9987
O14980	7514
O14981	9044
O14983	487
O14986	8395
O14994	8224
O15013	9639
O15014	23060
O15015	9726
O15018	23037
O15020	6712
O15021	375449
O15027	9919
O15031	23654
O15033	9870
O15040	9895
O15041	9723
O15042	23350
O15047	9739
O15049	23138
O15054	23135
O15055	8864
O15056	8871
O15060	9880
O15061	23336
O15062	9925
O15066	9371
O15067	5198
O15068	23263
O15072	9508
O15075	9201
O15078	80184
O15079	9751
O15083	26059
O15084	23243
O15085	9826
O15091	9692
O15105	4092
O15111	1147
O15116	27257
O15117	2533
O15118	4864
O15119	6926
O15120	10555
O15121	8560
O15123	285
O15126	9522
O15127	10066
O15130	8620
O15131	3841
O15143	10095
O15144	10109
O15145	10094
O15146	4593
O15151	4194
O15155	10282
O15156	51043
O15160	9533
O15162	5359
O15164	8805
O15165	753
O15169	8312
O15173	10424
O15178	6862
O15182	1070
O15194	10217
O15195	50853
O15197	2051
O15198	4093
O15204	27299
O15205	10537
O15209	9278
O15211	5863
O15212	10471
O15213	9277
O15217	2941
O15226	55922
O15228	8443
O15229	8564
O15230	3911
O15231	7739
O15232	4148
O15234	22794
O15239	4694
O15240	7425
O15243	54741
O15244	6582
O15245	6580
O15247	1193
O15254	8310
O15258	11079
O15259	4867
O15260	6836
O15263	100289462
O15263	1673
O15264	5603
O15265	6314
O15266	6473
O15269	10558
O15270	9517
O15273	8557
O15287	2189
O15294	8473
O15296	247
O15297	8493
O15303	2916
O15304	10572
O15305	5373
O15315	5890
O15318	10622
O15327	8821
O15342	8992
O15344	4281
O15347	3149
O15350	7161
O15353	8456
O15354	2861
O15355	5496
O15357	3636
O15360	2175
O15371	8664
O15372	8667
O15374	9122
O15379	8841
O15381	4931
O15382	587
O15389	8778
O15391	404281
O15392	332
O15393	7113
O15394	4685
O15397	10526
O15399	2906
O15400	8417
O15405	27324
O15409	93986
O15427	9123
O15431	1317
O15432	1318
O15438	8714
O15439	10257
O15440	10057
O15444	6370
O15446	10849
O15455	7098
O15457	4438
O15460	8974
O15466	29906
O15467	6360
O15479	4113
O15481	4115
O15484	726
O15488	8908
O15492	6004
O15496	8399
O15498	10652
O15499	2928
O15503	3638
O15504	11097
O15511	10092
O15514	5433
O15516	9575
O15519	8837
O15520	2255
O15522	26257
O15523	8653
O15524	8651
O15525	4097
O15527	4968
O15528	1594
O15529	2866
O15530	5170
O15533	6892
O15534	5187
O15535	7746
O15537	6247
O15540	2173
O15541	7737
O15547	9127
O15550	7403
O15551	1365
O15552	2867
O15553	4210
O15554	3783
O43143	1665
O43147	9905
O43148	8731
O43149	23140
O43150	8853
O43151	200424
O43155	23768
O43156	9675
O43157	5364
O43159	23378
O43164	9867
O43166	26037
O43167	9841
O43169	80777
O43172	9128
O43173	51046
O43174	1592
O43175	26227
O43181	4724
O43182	395
O43184	8038
O43186	1406
O43187	3656
O43189	5252
O43193	2862
O43194	2863
O43196	4439
O43236	5414
O43237	1783
O43240	5655
O43242	5709
O43248	3227
O43251	23543
O43252	9061
O43255	6478
O43257	10467
O43264	9183
O43272	5625
O43278	6692
O43280	11181
O43281	10278
O43283	9175
O43286	9334
O43290	9092
O43291	10653
O43292	8733
O43293	1613
O43294	7041
O43295	9901
O43296	9422
O43298	23099
O43299	9907
O43300	26045
O43303	9738
O43306	112
O43307	23229
O43309	9753
O43310	9811
O43312	9788
O43313	23300
O43314	23262
O43315	366
O43318	6885
O43320	8823
O43323	50846
O43324	9521
O43353	8767
O43364	3199
O43365	3200
O43374	10156
O43379	284403
O43390	10236
O43395	9129
O43396	9352
O43399	7165
O43402	10328
O43405	1690
O43422	5612
O43424	2895
O43426	8867
O43427	9158
O43432	8672
O43435	6899
O43439	9139
O43447	10465
O43448	9196
O43451	8972
O43462	51360
O43463	6839
O43464	27429
O43474	9314
O43482	11339
O43488	8574
O43490	8842
O43491	2037
O43493	10618
O43497	8913
O43502	5889
O43504	10542
O43505	11041
O43506	8748
O43508	407977
O43508	8742
O43511	5172
O43513	9443
O43516	7456
O43520	5205
O43521	10018
O43524	2309
O43525	3786
O43526	3785
O43529	9486
O43541	4091
O43542	7517
O43543	7516
O43548	9333
O43556	8910
O43557	8740
O43559	10817
O43561	27040
O43566	10636
O43567	11342
O43570	771
O43572	11216
O43581	9066
O43583	8562
O43586	9051
O43592	11260
O43593	55806
O43597	10253
O43598	10591
O43602	1641
O43603	8811
O43609	10252
O43610	10251
O43612	3060
O43613	3061
O43614	3062
O43615	10469
O43617	27095
O43623	6591
O43633	27243
O43639	8440
O43653	8000
O43660	5356
O43663	9055
O43665	6001
O43670	7756
O43674	4711
O43676	4709
O43678	4695
O43679	9079
O43680	6943
O43681	439
O43683	699
O43684	9184
O43687	9465
O43688	8612
O43699	946
O43704	27284
O43707	81
O43708	2954
O43709	114049
O43711	30012
O43715	51499
O43716	283459
O43719	27336
O43731	11015
O43734	10758
O43739	9265
O43741	5565
O43745	63928
O43747	164
O43749	4992
O43752	10228
O43759	9145
O43760	9144
O43761	9143
O43763	3196
O43765	6449
O43766	11019
O43768	2029
O43772	788
O43776	4677
O43781	8444
O43790	3892
O43791	8405
O43795	4430
O43805	8636
O43808	10478
O43809	11051
O43813	10314
O43815	6801
O43818	9136
O43819	9997
O43820	8372
O43822	755
O43823	10270
O43825	8707
O43826	2542
O43827	10218
O43829	7541
O43837	3420
O43847	4898
O43852	813
O43854	10085
O43861	374868
O43865	10768
O43866	922
O43868	9153
O43889	10488
O43895	7512
O43896	10749
O43897	7092
O43900	4007
O43903	2620
O43909	2137
O43913	5001
O43914	7305
O43915	2277
O43916	8534
O43918	326
O43920	4725
O43921	1943
O43924	5147
O43927	10563
O43929	5000
O43933	5189
O60216	5885
O60218	57016
O60220	1678
O60229	8997
O60231	8449
O60232	10534
O60235	9407
O60237	4660
O60238	665
O60239	9467
O60240	5346
O60241	576
O60242	577
O60243	9394
O60244	9282
O60248	6665
O60256	5636
O60258	8822
O60259	11202
O60260	5071
O60264	8467
O60266	109
O60269	9721
O60271	9043
O60281	23036
O60282	3800
O60284	9705
O60285	9891
O60291	23295
O60292	23094
O60293	196441
O60294	9836
O60296	66008
O60303	23247
O60304	26048
O60306	9716
O60307	23031
O60308	9731
O60312	57194
O60313	4976
O60315	9839
O60318	8888
O60331	23396
O60333	23095
O60336	23005
O60337	10299
O60341	23028
O60343	9882
O60346	23239
O60353	8323
O60356	26471
O60359	10368
O60381	26959
O60383	2661
O60391	116444
O60393	135935
O60423	148229
O60427	3992
O60437	5493
O60443	1687
O60447	7813
O60449	100526664
O60449	4065
O60462	8828
O60469	1826
O60476	10905
O60477	1620
O60478	7107
O60479	1747
O60481	7547
O60486	10154
O60487	10205
O60488	2182
O60493	8724
O60494	8029
O60496	9046
O60499	8677
O60500	4868
O60502	10724
O60503	115
O60504	10174
O60506	10492
O60507	8460
O60508	51362
O60512	8703
O60513	8702
O60516	8637
O60519	1389
O60524	9147
O60543	1149
O60547	2762
O60548	2306
O60551	9397
O60563	904
O60565	26585
O60566	701
O60568	8985
O60573	9470
O60583	905
O60602	7100
O60603	7097
O60609	2676
O60610	1729
O60613	9403
O60635	10103
O60636	10100
O60641	9892
O60645	11336
O60656	54600
O60658	5151
O60662	10324
O60663	4010
O60664	10226
O60667	9214
O60669	9194
O60671	5810
O60673	5980
O60674	3717
O60675	7975
O60678	10196
O60682	9242
O60683	5192
O60684	23633
O60687	27286
O60701	7358
O60704	8459
O60706	10060
O60711	9404
O60716	1500
O60721	9187
O60725	23463
O60729	8555
O60733	8398
O60741	348980
O60749	6643
O60755	8484
O60759	9595
O60760	27306
O60762	8813
O60763	8615
O60779	10560
O60783	63931
O60784	10043
O60806	9095
O60812	343069
O60814	85236
O60825	5208
O60826	28952
O60828	10084
O60829	9506
O60830	10245
O60831	11230
O60832	1736
O60840	778
O60841	9669
O60844	653808
O60858	10206
O60861	8522
O60869	8721
O60870	22944
O60879	1730
O60880	4068
O60882	9313
O60883	9283
O60884	10294
O60885	23476
O60888	51596
O60890	4983
O60894	10267
O60895	10266
O60896	10268
O60902	6474
O60906	6610
O60907	6907
O60909	8704
O60911	1515
O60921	3364
O60927	6992
O60928	3769
O60930	246243
O60931	1497
O60934	4683
O60936	8996
O60938	11081
O60939	6327
O60941	1838
O60942	8732
O75015	2215
O75019	11024
O75022	102725035
O75022	107987462
O75023	10990
O75027	22
O75030	4286
O75031	11077
O75037	23046
O75038	9651
O75044	23380
O75051	5362
O75052	9722
O75054	3321
O75056	9672
O75061	9829
O75063	9917
O75069	9911
O75072	2218
O75074	4037
O75077	8745
O75078	4185
O75081	863
O75083	9948
O75084	8324
O75093	6585
O75094	6586
O75096	4038
O75106	314
O75110	10079
O75112	11155
O75113	9683
O75116	9475
O75121	9848
O75122	23122
O75127	26024
O75128	23242
O75129	23245
O75131	8895
O75132	9889
O75140	9681
O75143	9776
O75144	23308
O75145	8541
O75146	9026
O75147	23363
O75150	9810
O75151	5253
O75152	9877
O75154	9727
O75155	23066
O75159	9655
O75161	261734
O75164	9682
O75165	23317
O75167	9749
O75170	9701
O75173	9507
O75175	4849
O75177	26039
O75179	26057
O75182	23309
O75185	9914
O75190	10049
O75191	9942
O75192	8800
O75197	4041
O75204	55654
O75208	57017
O75223	79017
O75251	374291
O75293	4616
O75298	6253
O75306	4720
O75309	1014
O75311	8001
O75312	8882
O75317	219333
O75319	8446
O75323	2631
O75324	8303
O75326	8482
O75330	3161
O75334	8499
O75339	8483
O75340	10016
O75342	242
O75344	8468
O75347	6902
O75348	9550
O75351	9525
O75354	955
O75355	956
O75356	957
O75360	5626
O75362	7764
O75364	5309
O75365	11156
O75366	10677
O75367	9555
O75368	6451
O75369	2317
O75376	9611
O75379	8674
O75381	5195
O75382	10612
O75385	8408
O75386	7289
O75387	8501
O75390	1431
O75396	9554
O75398	10522
O75400	55660
O75409	25763
O75410	6867
O75414	10201
O75417	10721
O75419	8318
O75425	64598
O75427	4034
O75431	10651
O75436	9559
O75438	4707
O75439	9512
O75443	7007
O75444	4094
O75445	7399
O75446	8819
O75448	9862
O75449	11104
O75452	8608
O75460	2081
O75461	1876
O75462	9244
O75469	8856
O75473	8549
O75475	11168
O75477	10613
O75478	6871
O75486	8464
O75487	2239
O75489	4722
O75494	10772
O75496	51053
O75503	1203
O75506	3281
O75508	5010
O75509	27242
O75521	10455
O75525	10656
O75528	10474
O75529	27097
O75530	8726
O75531	8815
O75533	23451
O75534	7812
O75553	1600
O75554	11193
O75556	4246
O75558	8676
O75563	8935
O75564	8629
O75569	8575
O75570	9617
O75575	27297
O75578	8515
O75581	4040
O75582	9252
O75586	10001
O75592	23077
O75593	8928
O75594	8993
O75600	23464
O75602	9576
O75603	9247
O75604	9099
O75607	10360
O75608	10434
O75610	10637
O75616	26284
O75618	9191
O75626	639
O75628	28954
O75629	8804
O75631	7380
O75636	8547
O75638	30848
O75643	23020
O75648	55687
O75663	261726
O75665	8481
O75674	10040
O75676	8986
O75677	5988
O75678	10739
O75679	10738
O75688	5495
O75689	11033
O75691	27340
O75694	9631
O75695	6102
O75712	2707
O75716	8576
O75717	11169
O75718	10491
O75746	8604
O75747	5288
O75751	6581
O75752	8706
O75762	8989
O75771	5892
O75781	5064
O75783	9028
O75787	10159
O75791	9402
O75792	10535
O75794	8872
O75795	7367
O75800	51364
O75807	23645
O75808	6650
O75815	8412
O75817	10248
O75818	10799
O75821	8666
O75822	8669
O75828	874
O75829	11061
O75832	5716
O75838	10518
O75840	8609
O75841	7348
O75843	8906
O75844	10269
O75845	6309
O75864	284352
O75865	79090
O75871	1089
O75874	3417
O75879	5188
O75880	6341
O75881	9420
O75882	8455
O75884	10741
O75886	10254
O75888	8741
O75891	10840
O75896	11334
O75897	27233
O75899	9568
O75900	8510
O75907	8694
O75908	8435
O75909	8812
O75911	9249
O75912	9162
O75914	5063
O75915	10550
O75916	8787
O75920	728492
O75920	8293
O75923	8291
O75925	8554
O75928	9063
O75934	10286
O75935	11258
O75936	8424
O75937	22826
O75940	10285
O75943	5884
