Drugbank_ID,Uniprot_id
DB00006,P00734
DB00007,P30968
DB00014,P30968
DB00014,P22888
DB00035,P30518
DB00035,P47901
DB00035,P37288
DB00050,P30968
DB00050,P22888
DB00067,P30518
DB00067,P30559
DB00067,P47901
DB00067,P37288
DB00091,P62937
DB00091,Q96LZ3
DB00091,P30405
DB00091,P49069
DB00106,P30968
DB00114,P13196
DB00114,Q9BYV1
DB00114,O95470
DB00114,P32929
DB00114,P54687
DB00114,Q9UJX1
DB00114,O75600
DB00114,P80404
DB00114,P24298
DB00114,Q9GZT4
DB00114,P19113
DB00114,Q16719
DB00114,P21549
DB00114,Q9Y617
DB00114,P34897
DB00114,P11217
DB00114,Q96GD0
DB00114,P35520
DB00114,O15270
DB00114,Q16773
DB00114,P22557
DB00114,P11926
DB00114,P04181
DB00114,P17174
DB00114,P34896
DB00114,P23378
DB00114,P00505
DB00114,Q9Y600
DB00114,O15269
DB00114,Q6ZQY3
DB00114,Q9Y697
DB00114,Q8IUZ5
DB00114,Q6YP21
DB00114,Q6IBS8
DB00114,Q5VZ30
DB00114,Q5JAM2
DB00114,Q59GM9
DB00114,Q8IVA8
DB00114,Q96I15
DB00114,Q59FK2
DB00114,Q53ET4
DB00114,Q8N5Z0
DB00114,P20711
DB00114,P11216
DB00114,O94903
DB00114,O15382
DB00114,Q9NVS9
DB00114,Q96A70
DB00114,P20132
DB00114,Q99259
DB00114,Q8TD30
DB00114,Q9BXA1
DB00114,Q96GA7
DB00114,Q9NUV7
DB00114,P17735
DB00114,Q9HD40
DB00114,Q96EN8
DB00114,Q6WRI0
DB00114,Q9UGI5
DB00115,Q8IVH4
DB00115,Q99707
DB00115,Q9Y4U1
DB00115,P42898
DB00115,Q9UBK8
DB00115,P22033
DB00116,Q99707
DB00116,Q53ET4
DB00116,O75891
DB00116,P34896
DB00116,P11586
DB00116,P42898
DB00116,Q96DP5
DB00116,P48728
DB00116,P31939
DB00116,P34897
DB00116,P13995
DB00116,O95954
DB00117,P42357
DB00117,P12081
DB00117,Q99624
DB00117,P19113
DB00118,Q00266
DB00118,Q9HBK9
DB00118,Q14749
DB00118,P35520
DB00118,Q8N1G2
DB00118,P17707
DB00118,P21964
DB00118,P31153
DB00119,P14618
DB00119,O15375
DB00119,P30613
DB00119,O95907
DB00119,P11498
DB00119,Q9BYV1
DB00119,P53985
DB00119,P11177
DB00119,P80404
DB00119,O15427
DB00119,O15403
DB00119,P36021
DB00119,O15374
DB00119,O60669
DB00120,P17735
DB00120,P00439
DB00120,Q9UHI5
DB00120,Q9Y285
DB00120,P07101
DB00120,O95363
DB00120,Q9NSD9
DB00121,P05165
DB00121,P50747
DB00121,P05166
DB00121,Q9HCC0
DB00121,P11498
DB00121,O00763
DB00121,Q13085
DB00121,Q96RQ3
DB00122,Q13393
DB00122,Q8TCT1
DB00122,P49585
DB00122,P06276
DB00122,Q9Y5K3
DB00122,P36544
DB00122,O14939
DB00122,P22303
DB00123,P30825
DB00123,Q15046
DB00123,P52569
DB00123,Q8WY07
DB00123,O43246
DB00125,Q96A70
DB00125,P29474
DB00125,P30825
DB00125,P00966
DB00125,P78540
DB00125,O43246
DB00125,Q8WY07
DB00125,P35228
DB00125,P04424
DB00126,O14832
DB00126,Q8IVL6
DB00126,Q9NVH6
DB00126,Q9H6Z9
DB00126,Q9GZT9
DB00126,Q8IVL5
DB00126,Q8N543
DB00126,P09172
DB00126,Q6NS38
DB00126,Q96KS0
DB00126,Q02809
DB00126,P19021
DB00126,Q9BY66
DB00126,Q6N063
DB00126,Q32P28
DB00126,Q96Q83
DB00126,Q9NXG6
DB00126,P13674
DB00126,O00469
DB00126,O60568
