Drugbank_id,Uniprot_id
DB00006,P00734
DB00007,P30968
DB00014,P22888
DB00014,P30968
DB00035,P37288
DB00035,P47901
DB00035,P30518
DB00067,P30559
DB00067,P37288
DB00067,P47901
DB00067,P30518
DB00091,Q96LZ3
DB00091,P62937
DB00091,P30405
DB00091,P49069
DB00115,Q99707
DB00115,Q8IVH4
DB00115,Q9Y4U1
DB00115,P42898
DB00115,Q9UBK8
DB00115,P22033
DB00116,P13995
DB00116,O95954
DB00116,Q96DP5
DB00116,P11586
DB00116,O75891
DB00116,P42898
DB00116,Q99707
DB00116,P34896
DB00116,P34897
DB00116,P31939
DB00116,P48728
DB00118,Q00266
DB00118,Q14749
DB00118,Q8N1G2
DB00118,P21964
DB00118,P31153
DB00120,P17735
DB00120,Q9NSD9
DB00120,Q9Y285
DB00120,Q9UHI5
DB00120,P00439
DB00120,P07101
DB00120,O95363
DB00122,P49585
DB00122,Q8TCT1
DB00122,P36544
DB00122,O14939
DB00122,P22303
DB00122,P06276
DB00122,Q9Y5K3
DB00122,Q13393
DB00126,Q8IVL5
DB00126,Q8N543
DB00126,P09172
DB00126,Q96KS0
DB00126,Q02809
DB00126,P19021
DB00126,O60568
DB00126,Q9BY66
DB00126,Q32P28
DB00126,O75936
DB00126,O00469
DB00126,Q96Q83
DB00126,Q8IVL6
DB00126,Q9H6Z9
DB00126,Q9GZT9
DB00126,O14832
DB00127,P52788
DB00127,P07550
DB00127,P08588
DB00127,P41180
DB00127,P11926
DB00130,P15104
DB00130,Q06203
DB00130,P17812
DB00132,P19793
DB00132,P32418
DB00132,O60427
DB00132,Q03181
DB00132,Q9NXB9
DB00132,P37231
DB00132,Q07869
DB00132,Q8NER1
DB00132,O95864
DB00132,Q96RI1
DB00134,Q9H2M3
DB00134,P50579
DB00134,Q93088
DB00134,Q9UBK8
DB00134,Q99707
DB00135,Q9Y2Z4
DB00135,P54577
DB00135,P17735
DB00135,P07101
DB00136,P31260
DB00139,Q9BXA5
DB00139,P51649
DB00140,Q969G6
DB00140,P30043
DB00142,Q14831
DB00142,O15067
DB00142,P48507
DB00142,Q16099
DB00142,P48664
DB00142,Q07075
DB00142,Q13224
DB00142,P48506
DB00142,P39086
DB00142,Q04609
DB00142,Q12879
DB00142,Q5JPH6
DB00142,O14841
DB00142,Q14957
DB00142,Q05586
DB00142,P43003
DB00142,Q13255
DB00142,Q13002
DB00142,P54886
DB00142,P00367
DB00142,P49915
DB00142,P07814
DB00142,O94925
DB00142,Q8N159
DB00142,P54687
DB00142,P80404
DB00142,Q9Y617
DB00142,O00222
DB00142,Q9UI32
DB00142,P43004
DB00142,Q05932
DB00142,Q9UDR5
DB00142,Q13003
DB00142,O15399
DB00142,Q16478
DB00142,P38435
DB00142,P42262
DB00142,P49448
DB00142,P48058
DB00142,P42263
DB00142,Q6IA69
DB00142,P42261
DB00142,Q8TCU5
DB00142,Q9UPY5
DB00142,P15104
DB00142,P08243
DB00142,O95954
DB00142,P17735
DB00142,Q8TD30
DB00142,Q99259
DB00142,O15382
DB00142,Q8N5Z0
DB00142,P00505
DB00142,P17174
DB00142,Q14833
DB00142,Q05329
DB00142,P43005
DB00145,Q9P0Z9
DB00145,O75600
DB00145,P21549
DB00145,P34897
DB00145,P22557
DB00145,P34896
DB00145,Q14749
DB00145,P50440
DB00145,Q14957
DB00145,Q9BYV1
DB00145,Q12879
DB00145,O75311
DB00145,P41250
DB00145,O60391
DB00145,Q14330
DB00145,Q14032
DB00145,P23415
DB00145,P48167
DB00145,P48637
DB00145,P13196
DB00150,Q9UGM6
DB00150,P23381
DB00152,Q9H3S4
DB00153,Q00975
DB00153,Q06432
