GENE PRODUCT ID,GO TERM
A0A024RBG1,GO:0071543
A0A024RBG1,GO:1901907
A0A024RBG1,GO:1901909
A0A024RBG1,GO:1901911
A0A075B734,GO:0006833
A0A075B734,GO:0015793
A0A075B759,GO:0006457
A0A075B767,GO:0006457
A0A087WT01,GO:0006955
A0A087WT01,GO:0009617
A0A087WT01,GO:0050830
A0A087WUV0,GO:0006357
A0A087WWA1,GO:0046854
A0A087X1C5,GO:0006805
A0A087X1C5,GO:0042178
A0A087X1C5,GO:0019369
A0A0A6YYK7,GO:0006955
A0A0B4J2A2,GO:0006457
A0A0B4J2F0,GO:1900101
A0A0B4J2F2,GO:0035556
A0A0C5B5G6,GO:0001649
A0A0C5B5G6,GO:0006357
A0A0C5B5G6,GO:0032147
A0A0C5B5G6,GO:0033687
A0A0C5B5G6,GO:0043610
A0A0C5B5G6,GO:0048630
A0A0C5B5G6,GO:0071902
A0A0C5B5G6,GO:0072522
A0A0C5B5G6,GO:2001145
A0A0K2S4Q6,GO:0030593
A0A0U1RRE5,GO:0000956
A0A0U1RRE5,GO:0010607
A0A1B0GTB2,GO:0032469
A0A1B0GTB2,GO:0035774
A0A1B0GTB2,GO:0045665
A0A1B0GTB2,GO:0048812
A0A1B0GTB2,GO:0051480
A0A1B0GTS1,GO:0006357
A0A1B0GTW7,GO:0061966
A0A1B0GUS4,GO:0006511
A0A1B0GUS4,GO:0070979
A0A1B0GUY1,GO:0030198
A0A1B0GVX0,GO:0001817
A0A1B0GVZ6,GO:0000122
A0A1B0GVZ6,GO:0006346
A0A1B0GWH4,GO:0006357
A0A1W2PP81,GO:0051123
A0A1W2PPD8,GO:0006338
A0A1W2PPD8,GO:0010468
A0A1W2PPE2,GO:0051123
A0A1W2PPF3,GO:0006357
A0A1W2PPG7,GO:0007186
A0A1W2PPH5,GO:0051123
A0A1W2PPK0,GO:0006357
A0A1W2PPL8,GO:0051123
A0A1W2PPM1,GO:0006357
A0A1W2PPW3,GO:0051123
A0A1W2PQ09,GO:0051123
A0A1W2PQ27,GO:0006369
A0A1W2PQ27,GO:0006378
A0A1W2PQ64,GO:0006369
A0A1W2PQ64,GO:0006378
A0A1W2PQ73,GO:0006357
A0A1W2PQC6,GO:0006369
A0A1W2PQC6,GO:0006378
A0A1W2PQD8,GO:0006369
A0A1W2PQD8,GO:0006378
A0A1W2PQJ5,GO:0006369
A0A1W2PQJ5,GO:0006378
A0A1W2PR19,GO:0006749
A0A1W2PR48,GO:0090090
A0A1W2PR64,GO:0051123
A0A1W2PR75,GO:0006369
A0A1W2PR75,GO:0006378
A0A1W2PR95,GO:0035303
A0A1W2PRV1,GO:0051123
A0A2R8Y2Y2,GO:0008150
A0A2R8Y4L2,GO:0000398
A0A2Z4LIS9,GO:0006357
A0A3B3IT33,GO:0010468
A0A3B3IT33,GO:0016567
A0A3B3IT33,GO:0045087
A0A3B3IU46,GO:0032259
A0A3B3IU46,GO:0036031
A0A3B3IU63,GO:0070828
A0A455ZAR2,GO:0000122
A0A7P0TBJ1,GO:0050821
A0AV96,GO:0000381
A0AV96,GO:0016554
A0AV96,GO:0060340
A0AV96,GO:0070935
A0AVF1,GO:0007224
A0AVF1,GO:0035082
A0AVF1,GO:0035720
A0AVF1,GO:0035735
A0AVF1,GO:0042073
A0AVF1,GO:0060271
A0AVF1,GO:0061512
A0AVI2,GO:0046928
A0AVI4,GO:0000209
A0AVI4,GO:0006511
A0AVI4,GO:0016567
A0AVI4,GO:0030970
A0AVI4,GO:0036503
A0AVK6,GO:0000122
A0AVK6,GO:0001890
A0AVK6,GO:0002040
A0AVK6,GO:0006357
A0AVK6,GO:0032466
