GENE PRODUCT ID,GO TERM
A0A024RBG1,GO:0005634
A0A024RBG1,GO:0005737
A0A024RBG1,GO:0005829
A0A075B734,GO:0005886
A0A075B734,GO:0016323
A0A075B759,GO:0005737
A0A075B767,GO:0005737
A0A087WT01,GO:0042105
A0A087WUV0,GO:0005634
A0A087WWA1,GO:0005942
A0A087X1C5,GO:0005737
A0A087X1C5,GO:0043231
A0A087X1C5,GO:0005739
A0A0A6YYK7,GO:0005615
A0A0A6YYK7,GO:0005886
A0A0B4J2A2,GO:0005737
A0A0B4J2F0,GO:0005741
A0A0B4J2F2,GO:0005634
A0A0B4J2F2,GO:0005737
A0A0C5B5G6,GO:0005615
A0A0C5B5G6,GO:0005634
A0A0C5B5G6,GO:0005739
A0A0K2S4Q6,GO:0005886
A0A0U1RRE5,GO:0000932
A0A1B0GTB2,GO:0005783
A0A1B0GTS1,GO:0005634
A0A1B0GTW7,GO:0005737
A0A1B0GUS4,GO:0005634
A0A1B0GUS4,GO:0000151
A0A1B0GUY1,GO:0005615
A0A1B0GUY1,GO:0062023
A0A1B0GVX0,GO:0005634
A0A1B0GVX0,GO:0098560
A0A1B0GVX0,GO:0098574
A0A1B0GVZ6,GO:0005634
A0A1B0GWH4,GO:0005634
A0A1B0GWH4,GO:0000785
A0A1W2PP81,GO:0005669
A0A1W2PPD8,GO:0005634
A0A1W2PPD8,GO:0000785
A0A1W2PPE2,GO:0005669
A0A1W2PPF3,GO:0005634
A0A1W2PPF3,GO:0005654
A0A1W2PPG7,GO:0005834
A0A1W2PPH5,GO:0005669
A0A1W2PPK0,GO:0005634
A0A1W2PPL8,GO:0005669
A0A1W2PPM1,GO:0005634
A0A1W2PPW3,GO:0005669
A0A1W2PQ09,GO:0005669
A0A1W2PQ27,GO:0005847
A0A1W2PQ64,GO:0005847
A0A1W2PQ73,GO:0005634
A0A1W2PQC6,GO:0005847
A0A1W2PQD8,GO:0005847
A0A1W2PQJ5,GO:0005847
A0A1W2PR19,GO:0005737
A0A1W2PR48,GO:0005634
A0A1W2PR48,GO:0005667
A0A1W2PR64,GO:0005669
A0A1W2PR75,GO:0005847
A0A1W2PR95,GO:0005829
A0A1W2PRV1,GO:0005669
A0A2R8Y2Y2,GO:0005575
A0A2R8Y4L2,GO:0071013
A0A2Z4LIS9,GO:0005759
A0A2Z4LIS9,GO:0005634
A0A3B3IT33,GO:0005737
A0A3B3IU46,GO:0031533
A0A3B3IU63,GO:0005634
A0A3B3IU63,GO:0000786
A0A455ZAR2,GO:0005634
