GENE PRODUCT ID,GO TERM
A0A024RBG1,GO:0000298
A0A024RBG1,GO:0008486
A0A024RBG1,GO:0034431
A0A024RBG1,GO:0034432
A0A075B734,GO:0015204
A0A075B734,GO:0015250
A0A075B734,GO:0015254
A0A075B759,GO:0003755
A0A075B759,GO:0016018
A0A075B767,GO:0003755
A0A075B767,GO:0016018
A0A087WT01,GO:0005515
A0A087WUV0,GO:0000978
A0A087WUV0,GO:0000981
A0A087WWA1,GO:0046935
A0A087X1C5,GO:0070330
A0A087X1C5,GO:0016712
A0A087X1C5,GO:0020037
A0A0A6YYK7,GO:0042287
A0A0A6YYK7,GO:0042605
A0A0B4J2A2,GO:0003755
A0A0B4J2A2,GO:0016018
A0A0B4J2F0,GO:0005515
A0A0B4J2F2,GO:0004674
A0A0B4J2F2,GO:0005515
A0A0C5B5G6,GO:0003677
A0A0C5B5G6,GO:0140297
A0A0K2S4Q6,GO:0042803
A0A0K2S4Q6,GO:0005515
A0A0U1RRE5,GO:0005515
A0A1B0GTB2,GO:0051117
A0A1B0GTS1,GO:0000978
A0A1B0GTS1,GO:0003700
A0A1B0GTW7,GO:0008233
A0A1B0GUS4,GO:0031625
A0A1B0GUS4,GO:0061631
A0A1B0GUY1,GO:0030020
A0A1B0GVX0,GO:0008270
A0A1B0GVZ6,GO:0008327
A0A1B0GWH4,GO:0000978
A0A1B0GWH4,GO:0000981
A0A1B0GWH4,GO:0003700
A0A1W2PP81,GO:0016251
A0A1W2PPD8,GO:0032454
A0A1W2PPE2,GO:0016251
A0A1W2PPF3,GO:0000977
A0A1W2PPF3,GO:0000981
A0A1W2PPG7,GO:0031681
A0A1W2PPH5,GO:0016251
A0A1W2PPK0,GO:0000978
A0A1W2PPK0,GO:0000981
A0A1W2PPL8,GO:0016251
A0A1W2PPM1,GO:0000978
A0A1W2PPM1,GO:0000981
A0A1W2PPW3,GO:0016251
A0A1W2PQ09,GO:0016251
A0A1W2PQ27,GO:0008420
A0A1W2PQ64,GO:0008420
A0A1W2PQ73,GO:0000981
A0A1W2PQC6,GO:0008420
A0A1W2PQD8,GO:0008420
A0A1W2PQJ5,GO:0008420
A0A1W2PR19,GO:0004364
A0A1W2PR48,GO:0003714
A0A1W2PR64,GO:0016251
A0A1W2PR75,GO:0008420
A0A1W2PR95,GO:0051721
A0A1W2PRV1,GO:0016251
A0A2R8Y2Y2,GO:0003674
A0A2R8Y4L2,GO:0003730
A0A2Z4LIS9,GO:0000978
A0A2Z4LIS9,GO:0000981
A0A3B3IT33,GO:0061630
A0A3B3IU46,GO:0003723
A0A3B3IU63,GO:0031492
A0A455ZAR2,GO:0005515
A0A7P0TBJ1,GO:0005515
A0A7P0TBJ1,GO:0031625
A0AV96,GO:0003723
A0AV96,GO:0003729
A0AV96,GO:0003730
A0AV96,GO:0005515
A0AV96,GO:0019899
A0AV96,GO:0140767
