drugbank_id_1,drugbank_id_2,label
DB01606,DB09268,1
DB00390,DB04861,1
DB00268,DB00391,1
DB00224,DB00338,1
DB00181,DB01215,1
DB00747,DB06204,1
DB01418,DB06209,1
DB00193,DB00501,1
DB00595,DB01147,1
DB00186,DB00652,1
DB00333,DB01595,1
DB00104,DB00335,1
DB00211,DB09082,1
DB00559,DB01095,1
DB00860,DB05521,1
DB00862,DB00968,1
DB00367,DB01319,1
DB00358,DB00872,1
DB00216,DB00889,1
DB00343,DB05109,1
DB01590,DB06335,1
DB00451,DB09146,1
DB00956,DB01068,1
DB00624,DB01015,1
DB00921,DB09073,1
DB00983,DB01064,1
DB00252,DB06212,1
DB00706,DB00996,1
DB00998,DB06288,1
DB00559,DB00834,1
DB00222,DB00635,1
DB00851,DB01097,1
DB00196,DB00530,1
DB00482,DB01172,1
DB00542,DB00999,1
DB00263,DB00559,1
DB00206,DB09027,1
DB00557,DB00652,1
DB00814,DB00955,1
DB01036,DB09118,1
DB00281,DB00598,1
DB01100,DB09118,1
DB00204,DB00714,1
DB01076,DB09055,1
DB01224,DB09097,1
DB00872,DB01394,1
DB00224,DB00997,1
DB01171,DB01238,1
DB00728,DB01017,1
DB00598,DB01291,1
DB00582,DB00604,1
DB01098,DB01393,1
DB00220,DB01211,1
DB01253,DB09073,1
DB01064,DB06707,1
DB00391,DB00623,1
DB01171,DB01178,1
DB00214,DB01340,1
DB00544,DB04938,1
DB00749,DB01296,1
DB00277,DB00957,1
DB00559,DB01229,1
DB00898,DB01624,1
DB00503,DB06414,1
DB00278,DB00304,1
DB00243,DB01229,1
DB00501,DB00847,1
DB00502,DB01017,1
DB00273,DB00819,1
DB00850,DB01253,1
DB05521,DB09065,1
DB01288,DB01364,1
DB01041,DB04574,1
DB01062,DB08873,1
DB00794,DB11256,1
DB00187,DB00281,1
DB00479,DB01000,1
DB00861,DB04865,1
DB00623,DB09076,1
DB01238,DB01609,1
DB00252,DB01166,1
DB00337,DB01380,1
DB00908,DB09049,1
DB01197,DB01235,1
DB00374,DB00503,1
DB05246,DB06204,1
DB01320,DB08881,1
DB00496,DB09039,1
DB00578,DB00618,1
DB00193,DB00998,1
DB00816,DB01364,1
DB00335,DB00862,1
DB00722,DB01235,1
DB00605,DB06826,1
DB00346,DB00381,1
DB00765,DB01018,1
DB00224,DB01218,1
DB00834,DB01100,1
DB00246,DB00413,1
DB00834,DB09063,1
DB00623,DB09290,1
DB00754,DB01418,1
DB00006,DB00266,1
DB00243,DB06636,1
DB01247,DB09209,1
DB00619,DB00864,1
DB00222,DB01590,1
DB00619,DB06636,1
DB00450,DB01253,1
DB00861,DB00955,1
DB01211,DB08896,1
DB00364,DB00451,1
DB01203,DB01392,1
DB00428,DB01097,1
DB00263,DB04938,1
DB00136,DB00959,1
DB00983,DB09082,1
DB00573,DB04865,1
DB00186,DB01267,1
DB00704,DB01192,1
DB01624,DB05812,1
DB00252,DB01182,1
DB00259,DB09214,1
DB00909,DB02703,1
DB00803,DB06696,1
DB00333,DB00898,1
DB00673,DB01590,1
DB00601,DB04844,1
DB00673,DB00956,1
DB00554,DB06695,1
DB00582,DB06589,1
DB01087,DB01264,1
DB00582,DB01427,1
DB01097,DB09330,1
DB00264,DB06603,1
DB00335,DB06218,1
DB00960,DB08896,1
DB00871,DB01551,1
DB00582,DB01023,1
DB00486,DB00660,1
DB00991,DB01418,1
DB00470,DB01255,1
DB00181,DB04953,1
DB00350,DB01119,1
DB01590,DB05521,1
DB06290,DB08880,1
DB00367,DB00673,1
DB00203,DB00322,1
DB00136,DB01254,1
DB00872,DB06605,1
DB00136,DB00443,1
DB00035,DB00465,1
DB00177,DB08822,1
DB00220,DB00635,1
DB00220,DB01194,1
DB00816,DB01168,1
DB00317,DB00615,1
DB00275,DB01143,1
DB00186,DB00794,1
DB01415,DB01418,1
DB00328,DB06696,1
DB00682,DB01551,1
DB00682,DB00783,1
DB00494,DB00557,1
DB00343,DB01184,1
DB00450,DB01219,1
DB00320,DB01624,1
DB00252,DB01229,1
DB01072,DB06616,1
DB00898,DB04953,1
DB00252,DB06603,1
DB00214,DB00794,1
DB00196,DB00203,1
DB00436,DB00862,1
DB00436,DB00898,1
DB00280,DB00387,1
DB00912,DB04946,1
DB00295,DB01201,1
DB00559,DB00921,1
DB00232,DB01070,1
DB01624,DB06204,1
DB01095,DB06589,1
DB00180,DB00232,1
DB01251,DB04868,1
DB01072,DB01211,1
DB00391,DB00696,1
DB00625,DB01238,1
DB00358,DB00837,1
DB01222,DB04868,1
DB00834,DB01609,1
DB01251,DB04946,1
DB01193,DB09042,1
DB00607,DB08903,1
DB00350,DB01143,1
DB00252,DB00358,1
DB00277,DB01320,1
DB00512,DB00784,1
DB00224,DB00635,1
DB00304,DB06290,1
DB00492,DB08907,1
DB00007,DB00204,1
DB01068,DB05271,1
DB00673,DB09143,1
DB00211,DB00651,1
DB00216,DB01253,1
DB06702,DB09118,1
DB00014,DB01238,1
DB01198,DB01319,1
DB00334,DB01120,1
DB00834,DB02703,1
DB00736,DB08934,1
DB00765,DB01178,1
DB00444,DB09118,1
DB00285,DB00582,1
DB00904,DB00998,1
DB00468,DB08907,1
DB00722,DB00794,1
DB04574,DB06777,1
DB01068,DB09065,1
DB04908,DB08873,1
DB00486,DB01221,1
DB00316,DB00867,1
DB01095,DB01238,1
DB00304,DB04876,1
DB08932,DB09065,1
DB00396,DB01120,1
DB01268,DB06616,1
DB00333,DB00872,1
DB00222,DB00266,1
DB00684,DB01112,1
DB00762,DB00864,1
DB00784,DB01296,1
DB00557,DB01236,1
DB00582,DB00706,1
DB00582,DB01411,1
DB00319,DB00798,1
DB00214,DB00945,1
DB00007,DB01251,1
DB00199,DB01418,1
DB00188,DB00980,1
DB01041,DB01100,1
DB00615,DB06603,1
DB00898,DB01440,1
DB00285,DB01614,1
DB06210,DB11248,1
DB00741,DB00945,1
DB01184,DB08820,1
DB00682,DB01357,1
DB01232,DB08816,1
DB00199,DB01016,1
DB00177,DB00880,1
DB00570,DB00834,1
DB00452,DB00573,1
DB00448,DB08931,1
DB00346,DB01072,1
DB00233,DB00563,1
DB00912,DB00932,1
DB00220,DB00381,1
DB00700,DB09282,1
DB00391,DB09097,1
DB00332,DB00950,1
DB00246,DB06204,1
DB00717,DB01418,1
DB00007,DB01059,1
DB00700,DB00806,1
DB01399,DB09214,1
DB00213,DB01263,1
DB01076,DB01241,1
DB00281,DB01232,1
DB08897,DB09076,1
DB00736,DB00932,1
DB00190,DB00246,1
DB00612,DB08820,1
DB00335,DB09220,1
DB01219,DB06201,1
DB00277,DB01064,1
DB01072,DB06603,1
DB00335,DB09282,1
DB00222,DB00999,1
DB00468,DB06335,1
DB02901,DB06663,1
DB00497,DB06290,1
DB00333,DB00384,1
