drugbank_id_1,drugbank_id_2,label
DB01247,DB05271,1
DB00418,DB01045,1
DB00520,DB00528,1
DB08868,DB00450,1
DB00612,DB01113,1
DB09082,DB08868,1
DB00688,DB00798,1
DB00247,DB00872,1
DB00564,DB01106,1
DB09040,DB00175,1
DB00496,DB00866,1
DB00188,DB00875,1
DB00366,DB00458,1
DB08795,DB00266,1
DB04839,DB01621,1
DB00409,DB09068,1
DB00672,DB00266,1
DB00790,DB00866,1
DB00434,DB04946,1
DB00857,DB00215,1
DB00295,DB09117,1
DB01151,DB00297,1
DB00517,DB00652,1
DB00834,DB01100,1
DB08897,DB01551,1
DB09204,DB01612,1
DB09073,DB08895,1
DB01002,DB00335,1
DB00899,DB00423,1
DB00999,DB01020,1
DB01169,DB00232,1
DB00300,DB01131,1
DB00732,DB00443,1
DB00472,DB00331,1
DB01236,DB00321,1
DB08893,DB01115,1
DB00320,DB08868,1
DB00712,DB01050,1
DB00554,DB01359,1
DB08872,DB00285,1
DB09117,DB00285,1
DB04855,DB00592,1
DB00664,DB00657,1
DB01263,DB09034,1
DB01397,DB01708,1
DB00679,DB00883,1
DB00312,DB00820,1
DB00668,DB06203,1
DB00359,DB00468,1
DB00295,DB00774,1
DB09198,DB01029,1
DB00820,DB00195,1
DB00861,DB00487,1
DB00104,DB01224,1
DB01604,DB00266,1
DB08881,DB01138,1
DB00227,DB00738,1
DB00344,DB00434,1
DB00461,DB00195,1
DB00398,DB01035,1
DB00564,DB06414,1
DB02709,DB01295,1
DB00214,DB01135,1
DB00673,DB00637,1
DB00715,DB01132,1
DB00647,DB00872,1
DB00177,DB00281,1
DB00268,DB13874,1
DB01026,DB08877,1
DB02703,DB00477,1
DB09279,DB01435,1
DB00937,DB01246,1
DB00404,DB00333,1
DB01400,DB00908,1
DB00366,DB01224,1
DB08807,DB00983,1
DB01355,DB08867,1
DB01626,DB00622,1
DB00263,DB01065,1
DB00503,DB00604,1
DB00285,DB00234,1
DB00844,DB01558,1
DB00758,DB11079,1
DB00654,DB00678,1
DB00364,DB01141,1
DB00599,DB01219,1
DB00227,DB00949,1
DB03585,DB00524,1
DB00619,DB06176,1
DB00091,DB00732,1
DB09041,DB09216,1
DB00201,DB00898,1
DB01367,DB01267,1
DB00289,DB09073,1
DB00753,DB09068,1
DB00289,DB00398,1
DB09225,DB00768,1
DB00405,DB01041,1
DB00208,DB00623,1
DB01595,DB06288,1
DB00578,DB00385,1
DB06216,DB00765,1
DB00529,DB01232,1
DB08893,DB01274,1
DB01601,DB01115,1
DB00310,DB04876,1
DB00232,DB00258,1
DB00220,DB00672,1
DB00904,DB00696,1
DB00254,DB01418,1
DB00820,DB00862,1
DB00850,DB00598,1
DB06290,DB01015,1
DB00285,DB01236,1
DB01414,DB09268,1
DB06663,DB01195,1
DB00669,DB01104,1
DB09214,DB00991,1
DB09245,DB00476,1
DB01238,DB01155,1
DB01171,DB00422,1
DB09342,DB00754,1
DB00819,DB01076,1
DB08987,DB00427,1
DB01142,DB04868,1
DB01080,DB00765,1
DB00784,DB01297,1
DB00268,DB01418,1
DB01200,DB00206,1
DB01401,DB00467,1
DB09288,DB09026,1
DB01254,DB01624,1
DB09147,DB01137,1
DB08880,DB00377,1
DB00619,DB00744,1
DB09241,DB00359,1
DB01545,DB09225,1
DB00705,DB00829,1
DB00876,DB00244,1
DB13323,DB04841,1
DB00454,DB00458,1
DB01041,DB00695,1
DB01024,DB08439,1
DB00726,DB00218,1
DB00696,DB00877,1
DB00310,DB09026,1
DB00625,DB01179,1
DB01171,DB08808,1
DB00622,DB00266,1
DB08912,DB01166,1
DB00922,DB00177,1
DB00334,DB09342,1
DB00691,DB01203,1
DB00951,DB00748,1
DB09241,DB00696,1
DB00465,DB00489,1
DB00214,DB00385,1
DB04743,DB09091,1
DB01253,DB00997,1
DB02703,DB00898,1
DB00461,DB13167,1
DB05219,DB01120,1
DB11093,DB01208,1
DB00457,DB00700,1
DB01061,DB00266,1
DB00922,DB00797,1
