drugbank_id_1,drugbank_id_2,label
DB01118,DB00425,1
DB00458,DB01156,1
DB00757,DB00512,1
DB00252,DB00683,1
DB00210,DB00482,1
DB00512,DB00196,1
DB00250,DB00951,1
DB01219,DB00178,1
DB00773,DB01008,1
DB01009,DB00773,1
DB00813,DB00273,1
DB00440,DB00313,1
DB00524,DB01016,1
DB00381,DB01118,1
DB00661,DB00280,1
DB01076,DB00959,1
DB00874,DB00136,1
DB01240,DB00695,1
DB00186,DB00215,1
DB00947,DB01068,1
DB00669,DB00715,1
DB00479,DB01211,1
DB00460,DB00331,1
DB00196,DB01097,1
DB00231,DB00969,1
DB00231,DB00331,1
DB00230,DB01222,1
DB00953,DB00999,1
DB00238,DB00678,1
DB01215,DB00690,1
DB00422,DB00402,1
DB00883,DB00912,1
DB00635,DB01126,1
DB00641,DB00575,1
DB01026,DB01156,1
DB00959,DB00425,1
DB00681,DB00495,1
DB02379,DB00544,1
DB00938,DB01023,1
DB00175,DB01190,1
DB00967,DB00209,1
DB00341,DB00230,1
DB00213,DB00181,1
DB00227,DB01238,1
DB01020,DB01132,1
DB00425,DB00495,1
DB00661,DB00808,1
DB00909,DB01029,1
DB01193,DB00795,1
DB01036,DB00881,1
DB00358,DB01069,1
DB01186,DB00863,1
DB00862,DB00857,1
DB00627,DB00230,1
DB00214,DB00316,1
DB00996,DB00555,1
DB00921,DB00878,1
DB00625,DB00909,1
DB00454,DB00533,1
DB00443,DB00503,1
DB01076,DB00395,1
DB00413,DB00244,1
DB00413,DB00577,1
DB00275,DB00257,1
DB00257,DB00678,1
DB00230,DB00209,1
DB01203,DB00315,1
DB01115,DB00622,1
DB00650,DB00188,1
DB00829,DB00550,1
DB00440,DB00512,1
DB00454,DB00285,1
DB00704,DB00557,1
DB00697,DB01129,1
DB00947,DB00715,1
DB00458,DB00448,1
DB00450,DB00273,1
DB00218,DB00857,1
DB00196,DB01167,1
DB00203,DB00443,1
DB00441,DB00564,1
DB01327,DB01586,1
DB01068,DB00501,1
DB00238,DB00332,1
DB01149,DB01043,1
DB00343,DB01241,1
DB00495,DB00470,1
DB01212,DB00836,1
DB01097,DB00641,1
DB00379,DB00813,1
DB00335,DB00497,1
DB00390,DB00678,1
DB00601,DB01097,1
DB00214,DB00264,1
