protein_A,protein_B
1738,457
1655,1951
755,2002
2062,1673
2357,1888
262,2047
1452,1825
2281,385
2186,1856
1003,526
1409,2308
746,19
951,1313
1516,1097
274,2168
1936,1956
2473,155
1738,930
1655,2505
755,1401
2062,734
2357,1883
262,2521
1452,1150
2281,1175
2186,2328
1003,1773
1598,1690
1409,1699
1684,967
1738,957
1655,2445
755,270
2062,959
2357,110
262,1316
1452,1765
2281,22
2186,2509
1003,1846
1598,1476
1409,1864
1684,1146
746,1807
951,2233
1516,2483
2473,783
1738,1794
1655,1181
755,319
262,1435
1435,457
669,2002
319,1673
1181,1888
1794,2047
783,1825
165,385
1362,1856
2483,526
2233,905
1807,2308
1146,2133
1864,19
1476,1313
1846,1097
2509,2168
22,1956
1765,155
1316,930
110,2505
959,1401
270,734
2445,1883
957,2521
1435,1150
987,1175
669,2328
319,1773
1181,1690
1794,1699
783,967
3,396
2438,2319
1571,866
1277,1675
2089,1026
999,418
662,1119
113,1732
2218,2077
2107,327
524,1262
596,1137
2213,523
1453,1013
107,1101
566,1434
1115,1073
851,2227
724,702
367,870
1218,1866
2516,2040
2469,2178
1159,173
240,303
1872,919
1267,1828
859,2354
2105,1202
1923,1141
1155,2021
42,1737
1797,562
1729,28
1009,1241
722,1857
1346,1521
1274,1792
1205,2462
480,1519
1466,1824
2247,1822
2010,2117
1811,1772
1909,133
318,784
994,1961
413,1677
2067,1621
2222,82
2011,2338
2365,791
556,2398
1584,1350
2023,1869
1283,1422
1018,1751
1666,1659
873,2051
769,1731
909,93
3,1139
2438,1235
1571,1934
1277,247
2089,620
999,2387
662,2426
113,2393
2218,1145
2107,836
524,1630
596,1774
2213,1084
1453,657
107,1914
566,241
724,1192
367,2508
1218,333
2516,437
2469,498
1159,1152
240,1565
1872,583
1267,1027
859,997
2105,2307
1923,2244
1155,104
42,988
1797,531
1729,1925
1009,1985
722,630
1346,668
1274,2459
1205,2092
480,2471
1466,1053
2247,1760
2010,495
1811,1001
1909,1177
318,2458
994,792
807,1419
413,1488
2067,991
2222,529
2011,2361
2365,1289
556,968
1584,374
2023,321
1283,186
1018,1054
1666,1228
873,913
810,897
769,906
909,2048
3,111
2438,1676
1571,2417
1277,2362
2089,215
999,1709
662,1256
113,786
2218,511
2107,467
524,1323
596,586
2213,2033
1453,2131
107,972
566,1231
851,2147
724,1973
367,572
2516,2442
2469,8
1159,1494
240,161
1872,15
1267,1020
859,1736
2105,1988
1923,361
1155,1725
42,221
1797,815
1009,112
722,2323
1346,316
1274,891
1205,1149
480,2304
1466,95
2247,1780
2010,1636
1811,1568
1909,1552
318,2177
994,1153
807,883
413,1739
2067,232
