protein_A,protein_B
323,707
1457,396
2051,1490
1422,707
1653,1653
1653,2053
416,1918
2306,1918
2485,2057
13,653
13,1142
1142,653
585,470
585,2210
470,470
585,598
585,585
585,462
598,598
598,462
462,462
473,2007
1038,442
1953,2319
1953,1688
2319,1688
998,813
998,866
1265,1435
998,15
1521,15
998,1521
2394,1153
795,1153
89,2394
89,795
89,1153
1153,1231
1534,1153
2423,1153
1153,1153
89,1231
89,486
309,2414
1081,1708
1081,350
565,1479
2156,1674
837,1674
741,2156
2504,1849
2504,2504
375,1849
375,375
337,1676
337,2243
2243,1676
2474,1676
2474,2243
450,2198
2528,183
2322,1851
973,973
1026,2401
1675,2401
1675,1675
1675,1026
27,568
2296,2314
27,1285
178,2072
89,89
2199,300
1565,1471
583,1471
594,817
971,817
1573,236
1573,1960
1573,213
1573,696
2426,1590
2029,1527
1901,1781
1781,96
463,1413
1219,1992
27,209
1457,198
1338,2474
1783,447
447,2207
447,464
447,708
447,707
1950,1232
1232,2471
1867,1232
2134,1867
893,1867
1867,1622
1938,1867
1867,1700
1304,1867
1234,1867
745,1867
1867,1044
1867,932
1867,841
868,1867
251,1867
1877,1867
1867,1179
1867,1654
1540,1867
1867,818
2451,2307
1133,74
74,2451
74,2307
940,2401
955,1861
1510,955
965,1231
378,380
1897,378
1930,378
30,378
30,380
1897,30
1897,1930
30,1014
2080,380
1868,1212
1868,1566
1566,1212
541,323
2198,1722
1722,1588
2198,1588
378,817
27,895
2025,2025
2004,144
299,2004
1641,79
1641,2422
1641,2148
1563,1641
299,1641
1641,1641
1641,144
1611,1641
1641,2204
1641,292
1641,742
1641,1941
1941,2012
1941,378
1641,1880
2148,1880
1707,1641
1641,578
1016,578
2103,578
1707,578
2090,578
1941,578
1563,1880
1563,2223
1870,2223
1563,511
1880,160
1641,2065
1641,1016
1641,24
299,299
1641,193
527,1329
527,563
998,563
527,1685
563,302
563,418
563,1467
527,739
998,527
235,382
998,235
235,922
527,235
1104,739
842,739
1659,739
739,563
739,333
739,479
739,569
527,569
563,333
563,479
569,563
813,333
813,479
569,813
527,2113
1128,2113
1128,563
563,2113
1736,569
1736,998
1736,813
1736,479
1736,1039
714,714
527,714
563,714
302,714
1685,714
1736,527
1736,1685
1736,1028
1835,1779
586,541
1014,586
600,541
1687,38
38,783
38,165
165,783
1616,1687
1616,169
462,1889
585,1889
598,1889
836,968
968,1119
1857,1732
1857,2387
1095,132
1536,2077
844,2077
202,410
202,1984
1657,2399
1657,2141
1657,1886
410,1984
410,2373
1069,2141
1069,1886
326,730
1984,28
2141,960
530,960
1521,1536
1984,1981
2373,2242
1984,960
2210,598
2210,462
997,327
1412,1757
1781,1628
585,2289
585,1067
585,629
585,2349
470,1067
598,470
2210,470
462,470
470,2289
1889,470
470,1224
470,2349
1889,629
1889,1067
598,1067
598,629
598,2349
598,2289
598,1224
2210,1067
462,1067
462,2349
462,2289
462,1224
499,2391
2391,550
2390,2066
2322,1305
1707,79
1305,359
1955,359
594,359
359,2163
817,359
378,359
694,1766
694,90
2141,694
694,2350
1039,694
694,1824
694,1262
482,482
1172,29
275,1586
829,1959
1207,1782
829,1041
829,848
1959,848
848,2496
504,1996
1996,1727
1391,1248
1391,2191
2148,560
900,1580
1778,1778
228,646
2316,567
339,2035
339,2386
5,2486
245,245
262,262
837,1987
953,1378
1654,384
1938,1654
2486,384
1970,2153
1256,786
1378,404
1378,2214
2246,1431
3,1903
246,246
605,1703
1455,1455
1830,1484
2405,1589
1281,1714
1281,1635
2070,1281
1281,1597
2314,1281
1281,412
1281,514
1121,1281
685,2430
61,685
1137,1719
1130,1130
1493,498
437,523
437,531
523,531
1975,645
906,839
741,310
1232,1129
1013,2112
1699,1699
1686,1699
2114,672
921,1733
2134,2486
2134,1484
2134,727
2134,1326
2134,1225
2134,551
2134,2248
1540,1484
1540,1326
1540,1225
1540,551
1867,727
1867,551
497,1101
335,2170
167,1035
1035,1206
276,344
444,1434
254,1798
1613,1417
719,2106
1179,2490
1448,2182
2112,1073
1960,2182
1904,429
875,1578
346,1604
1793,349
1103,2336
213,2234
696,213
2279,157
1622,1503
1622,453
1622,542
1622,1744
1744,606
459,1392
1500,2151
1500,2492
1500,2186
1744,2395
1744,459
1744,1131
1744,2081
1744,1015
1744,2476
1744,2304
1480,1463
513,1291
1066,513
513,1963
1736,1963
892,856
213,861
2476,861
172,2433
1257,1538
1245,1464
968,1569
1053,2320
567,1631
1870,58
788,201
410,2271
1769,2453
80,1882
1040,2192
1570,1029
384,551
551,97
130,2295
130,591
130,1564
130,1406
121,439
2324,2044
144,298
1148,1942
2247,982
2035,2329
2035,16
2035,2087
2035,1613
2035,543
2035,139
2035,1124
2035,205
2035,1280
181,279
216,853
645,26
2248,279
27,958
27,1511
209,958
209,1404
209,1876
447,1505
1986,283
310,2290
973,115
1659,1798
1108,1108
1781,1778
1781,2270
1781,892
1781,2250
1781,1356
1781,684
1781,785
1014,786
1062,1365
1062,657
1062,2348
657,1513
1857,1805
252,1805
1505,1805
1817,1805
1938,1805
1805,1559
812,1805
1805,502
908,838
908,458
1699,458
1765,458
1686,458
1244,1244
805,1112
987,1864
987,669
1686,1807
26,26
1591,532
2273,666
1492,654
1175,2168
2372,457
1634,1982
2006,306
2431,45
1251,452
619,2432
1281,1
1129,2440
2227,1895
1455,1627
2430,1627
395,883
2052,2217
209,1748
1220,1220
1220,755
954,224
2063,966
1430,966
1157,702
421,421
1034,2096
2096,827
2047,243
2285,2008
931,1692
1768,1768
1034,827
2441,2441
2441,2406
61,2441
452,1873
1393,754
782,782
1165,1165
489,812
310,798
1165,1125
1118,1802
1160,1118
1355,2021
1702,2111
892,516
1061,2321
6,939
6,1730
1062,1508
277,220
559,2055
1646,616
625,1646
1539,595
2111,1074
2515,1284
2056,239
2036,1158
1364,524
2075,2075
1179,2139
2139,321
1765,812
1357,269
2035,675
1039,1866
2104,2187
1511,1380
1741,1560
713,713
1900,2304
1511,1511
1762,747
2515,1102
602,1572
555,1266
555,804
2052,1127
1734,397
921,682
2428,63
1765,2469
320,688
372,320
320,1954
1954,667
667,1181
502,667
732,1816
75,1396
1104,2040
2439,123
1959,2496
123,1625
1804,1804
1987,75
304,1987
1104,1453
1104,669
1864,669
1870,1171
2214,283
654,654
645,645
727,1326
727,1225
1378,283
540,1784
492,492
2008,2008
1559,1559
892,892
1986,1539
452,452
1952,545
1393,2021
1130,2055
1034,1954
1431,1431
632,632
2485,2189
1526,2171
1526,862
761,1113
243,761
123,2024
1397,2345
1329,2345
1393,35
319,319
1034,319
319,1920
1954,319
2291,1743
975,2381
1981,2178
1039,241
1254,241
292,520
403,1229
1644,1794
645,173
1378,2367
1787,1787
2041,2041
735,1394
303,919
1750,1636
472,472
638,1898
1374,2071
737,1828
2372,1819
1995,1636
885,1575
594,2030
1842,39
1842,671
1644,1842
1034,1842
1582,1842
1436,700
2446,1060
1771,1227
494,2284
289,2467
1227,1683
2372,2361
1054,2358
1620,1620
476,522
2324,1715
2103,39
677,145
2324,1546
596,596
596,794
2354,557
1394,2310
1302,2330
1394,1568
1378,1814
257,257
257,2484
1981,1728
2324,2216
85,2382
824,1593
1593,491
1202,138
1805,918
1181,2173
2331,1141
2345,1896
2282,2282
2203,508
1593,744
332,424
1227,1360
180,449
1430,218
699,1643
1741,2059
545,2412
1170,2522
2021,2361
1130,852
1351,1351
1954,2342
427,1794
1794,1842
1794,1794
1582,1794
2115,2115
1312,68
2239,1089
1257,2239
1512,2239
2239,931
2239,381
2239,983
2296,2239
2239,266
2239,687
2239,1737
530,2141
530,1677
2141,1677
2141,562
2141,2242
530,1069
530,2373
2373,28
2423,2320
1849,1925
2504,1925
375,1925
2004,1016
2004,2090
2004,24
1641,1955
1641,1305
1641,2012
1641,1343
527,275
1104,527
842,527
527,1659
527,813
527,333
527,479
527,302
527,481
527,423
527,1128
2166,34
2166,1834
586,600
1014,600
541,541
541,1241
541,707
1687,783
1687,165
1889,2349
1857,1889
1889,705
1665,1322
2051,1665
1665,268
1470,659
1470,1317
1470,1362
1965,1470
590,709
590,2510
590,219
578,590
590,1721
1781,590
534,534
2325,534
1880,534
534,1664
1941,686
1941,576
1941,1011
1941,880
1941,2443
1920,1920
688,1920
1920,2410
1920,2416
1920,86
660,686
688,2410
688,1993
688,2416
688,86
1521,1095
1521,2092
1587,1792
273,407
940,900
304,853
328,1818
328,317
328,308
1760,2220
2029,1760
1760,2026
2195,667
667,1842
320,81
320,1993
320,1842
2342,974
974,1150
2168,974
1175,974
1459,800
1489,2188
2188,2069
2188,936
1092,1259
1259,465
1259,753
2130,1979
1851,1555
1701,2
1701,1701
1701,996
1701,188
1701,869
304,876
304,1325
837,304
304,2020
304,880
304,1072
304,106
304,1282
1140,1557
63,1140
2474,1140
1580,2184
1329,1092
1092,465
1092,753
339,2329
336,2329
2329,543
2329,876
660,1011
660,611
660,880
660,2191
660,443
660,1305
2012,660
1806,547
1806,2429
1597,1806
193,578
193,1721
658,435
876,93
876,2183
876,1139
876,1235
876,1934
876,2140
5,2470
5,1899
1746,2082
1751,1850
972,201
972,788
469,972
186,528
1604,186
2474,337
1059,2462
2141,1059
2141,2462
893,1020
1020,1020
1243,67
1904,1515
940,2184
998,978
813,978
339,1072
2012,1072
1674,1072
2156,1072
1338,2269
1338,2042
1338,350
1338,1708
1338,1519
1338,1305
739,813
2092,1530
1515,322
1674,1160
2156,1160
1066,2
1066,701
354,1066
2,1211
354,1211
1653,2069
2029,2220
2071,2220
1901,2220
213,2220
696,2220
2220,1389
2220,934
2220,1973
2368,2220
1527,2220
2401,1711
2482,285
1701,2482
996,2482
299,2482
1437,1603
2470,1518
2470,1899
2470,2359
1257,187
1538,187
2486,1523
1980,821
1519,608
2141,1519
1597,219
2090,219
759,1597
1011,880
880,2255
1489,880
817,880
1921,712
712,2402
1921,322
322,2402
1824,1822
605,1254
605,1336
605,1482
235,1617
2117,1617
1617,1772
254,1617
1683,1617
1798,1617
1315,1617
133,1617
1377,1617
1617,2033
7,1617
1104,1617
842,1617
1491,1617
1659,1617
441,1617
2141,1617
908,1617
838,1617
1897,1554
1897,1363
186,325
323,323
2390,2343
2390,2180
2390,404
2390,643
895,958
1921,290
1921,2402
924,1921
1921,1455
2402,290
924,2402
1455,2402
963,1592
2424,2424
2,2424
247,620
1281,176
663,1843
1389,663
663,102
2404,663
934,663
312,1580
2058,1735
971,1368
971,1342
971,380
339,2087
705,2087
2029,1648
1781,2029
2029,137
2029,622
2029,2051
2029,719
2029,2353
2029,2234
2029,96
2029,198
2029,861
2029,1973
1874,1874
531,784
795,2145
2394,795
795,1534
2423,795
795,1685
795,4
795,1637
795,323
2394,2145
2394,1534
2423,2394
2394,323
2423,1534
1534,2145
2423,2145
2423,1111
1111,768
1111,391
135,1961
135,2497
380,135
135,774
1160,774
1160,1310
1930,1310
1716,1716
1716,2393
839,2037
839,860
839,453
839,542
552,517
1635,517
1281,517
593,2174
1635,1478
1281,1478
1783,1478
1281,2393
1479,1281
1281,1848
1281,2407
2090,1281
2063,1281
1653,2090
2069,2069
2,863
1954,2
2,505
2080,2174
1594,1594
378,1635
378,945
378,378
2080,378
378,264
817,1011
817,2334
1014,1256
380,2148
530,2503
2503,970
2503,428
2373,2503
2426,2503
1657,2503
2141,2503
1677,2503
201,201
875,1046
1578,1046
1079,2465
1719,2465
2465,361
2026,2465
1843,2465
2465,2116
2071,2465
1901,2465
213,2465
2465,2454
569,1039
2156,791
2053,860
1653,860
1571,1571
1571,1671
1571,1956
1571,2438
1571,2494
1219,1209
530,1979
2141,1979
1979,2335
30,1256
30,786
30,106
1930,106
106,1342
1365,82
1621,82
2338,2338
1371,1324
791,1311
586,586
586,2508
586,1774
586,1036
1774,2508
1036,2508
972,2508
972,1774
1899,2398
1899,1553
1350,1899
1899,1899
1899,898
2398,898
1553,898
1350,898
898,898
1350,1704
1350,414
1613,535
1613,317
339,1613
317,308
317,631
1977,1588
1588,1588
27,1422
1480,947
1160,947
1554,2325
2325,1363
195,1375
195,1998
195,2489
195,1869
195,1946
1375,1946
998,1911
374,374
374,2363
374,1567
701,505
499,550
2489,1387
2489,1869
2489,140
2489,36
885,2489
18,2489
2489,95
2489,1410
1488,2489
140,36
242,2397
2307,360
198,719
1422,719
1960,719
719,2116
719,365
719,2071
719,1135
1901,719
96,719
236,719
719,1264
2526,1919
2065,2065
380,1291
1554,380
380,1363
380,380
27,1900
998,1900
2213,413
707,1381
1410,1759
1759,1759
458,1759
860,860
860,533
1654,860
1850,860
2109,860
860,1279
608,860
447,860
1751,860
2005,1855
1104,563
842,563
1659,563
563,813
1960,361
1960,2234
696,1960
1960,213
1960,1135
1960,1827
1960,484
1960,861
1850,2393
1850,1152
1850,1336
1627,1850
85,1850
465,753
696,2234
2051,2234
2234,2026
236,2234
2234,861
2234,356
2234,2275
1719,2026
2071,2026
1901,2026
96,2026
1781,2026
2474,1795
2474,2241
2241,271
1795,2241
271,728
1901,2037
1901,1477
1901,2353
1901,1578
1901,608
1901,2078
1901,236
1901,2275
1901,861
1719,1477
96,1477
247,1477
620,1477
2198,2330
2198,136
2198,1977
1556,2353
934,102
934,2353
934,608
236,934
2275,934
299,144
1389,153
2037,1389
1389,2353
2116,153
1781,1389
1781,153
213,2037
213,622
213,2353
969,236
236,2078
1781,1648
1527,1973
998,423
598,1731
2371,1731
1731,1731
998,569
569,479
569,333
998,739
93,2183
93,1139
93,1235
93,1934
93,2140
93,648
1463,93
2183,1139
2183,1235
2183,1934
2183,2140
1139,1235
1139,1934
1139,2140
1235,1934
1235,2140
1934,2140
2010,401
2010,1277
2010,383
2010,1319
2010,2222
769,2010
401,1277
401,383
401,1319
401,2222
769,401
1277,383
1277,1319
1277,2222
769,1277
383,1319
383,2222
769,383
769,2222
1414,2333
1104,569
2207,1860
1554,1880
1554,2148
1554,2517
1316,2184
2184,190
1622,2184
453,2184
542,2184
1480,2184
2184,1739
1597,609
2090,1597
1816,528
1604,528
528,1288
528,1169
528,1194
528,386
732,528
998,247
1028,247
998,620
1028,620
209,1285
2350,2283
2350,430
380,2497
2497,587
1622,1622
1684,1409
1409,746
1409,2298
1500,1409
1684,746
1684,2298
1500,1684
746,2298
1500,746
194,83
194,1003
2298,83
1500,2298
2298,1738
198,1188
1028,198
1160,661
1554,1160
24,24
1714,1871
1871,2389
2035,705
89,2387
89,2455
1153,2144
469,354
469,149
469,776
469,419
469,1601
469,641
2327,2509
1453,1376
2494,1376
1453,2494
1440,850
850,2231
2267,411
1954,1196
2523,1495
1291,701
451,831
1011,2443
407,758
121,2044
998,2044
922,591
2141,910
2141,1766
2141,90
2141,838
520,118
1029,118
771,770
530,2426
530,1657
2426,2373
2426,1657
2426,2141
332,884
13,288
160,1480
160,1171
160,1311
836,363
1281,1213
2393,2393
1231,1177
1231,601
2359,1145
1510,2144
1245,2144
2320,1268
836,836
836,2499
836,1568
968,968
1488,1410
885,95
18,95
861,1843
861,2116
861,2071
2182,861
1173,691
1451,1173
74,2401
1783,1199
1523,2019
1847,2417
1847,2303
1847,215
1946,1847
1946,1758
1946,53
1946,166
1946,1940
1946,1612
1691,790
1691,1691
215,1691
1691,894
1691,1650
215,1630
2198,2198
2330,136
1722,136
67,1502
1502,1454
2330,1454
2330,67
893,1484
1484,1326
1418,1484
1484,2118
1484,1664
2134,893
2134,495
1540,893
1484,1010
2134,1010
893,1010
1867,1010
1664,1010
1540,384
893,727
1540,727
1484,727
727,2248
727,1010
727,495
893,1326
1867,1326
1326,1010
1326,1225
893,1225
1225,1010
1225,495
1225,2529
1867,495
1867,2529
893,1654
1938,1938
590,1640
2510,1640
578,1640
2141,407
2004,611
2004,1579
299,79
1941,1501
1941,535
1941,1840
1941,1823
611,237
58,115
1851,58
973,58
1463,686
576,611
576,81
576,2221
576,1330
1072,1485
2103,2128
443,2128
1851,115
1851,1851
1851,1804
1011,1884
1011,535
1011,284
1011,2205
304,1489
304,459
304,1131
304,149
943,2379
1596,1849
375,2504
1851,611
611,1843
1879,814
682,814
1529,348
992,1529
58,2191
1851,2191
2191,611
2191,1269
2191,443
2080,2191
2191,921
2191,1114
2191,1463
1851,443
611,443
2080,443
921,443
443,1114
1463,443
144,177
177,2091
177,351
1255,177
992,207
30,1774
144,578
578,1894
578,2483
1257,1351
1257,458
1257,1432
1714,1561
1561,611
1554,599
1563,299
1298,2502
2119,2502
454,856
131,454
454,2460
454,871
429,454
454,904
2101,1298
1298,2119
1298,1968
2101,325
2101,1926
404,2119
969,2119
1627,2119
2119,353
2119,1296
798,2396
696,122
1926,122
429,1626
1027,1444
1027,2149
2189,1926
1591,1926
95,1084
1464,2009
2304,2359
1844,611
1844,443
160,1844
1412,762
1412,657
1412,1412
1757,1757
1464,1756
429,1756
1756,1099
1040,2378
14,591
591,835
591,1564
58,2443
144,615
144,144
144,2501
144,492
144,1166
144,1358
144,1734
144,992
871,1968
124,124
1020,196
1510,196
196,503
1581,835
2090,2464
2090,1385
2090,1742
24,611
24,992
24,1579
24,1255
1708,298
1708,144
1877,298
144,1877
298,1989
144,1989
1467,298
144,1467
298,1384
144,1374
298,2275
144,546
144,1222
144,1663
144,861
144,1477
144,2114
144,738
144,316
144,1965
144,772
144,44
144,1745
144,723
1884,1242
1505,1242
1578,1242
1479,1242
1842,1242
992,1242
1136,1242
299,1633
848,2315
144,1914
144,2525
144,87
144,967
144,2301
298,992
578,298
992,535
298,1358
298,1424
144,1424
2270,1805
1463,611
1463,420
1463,98
826,1463
1463,1114
1463,1463
2207,2220
2220,1398
2220,1498
2220,967
2220,1753
2220,1840
2220,1216
2220,221
2220,2419
2220,623
2220,1650
2014,2220
652,2220
2220,1076
2220,914
2220,60
2220,1718
2220,796
2220,1608
2220,1999
1654,2220
678,678
678,1808
678,2089
2174,1286
474,474
474,1808
1529,1529
2518,2518
2518,1332
2518,2279
1726,1726
1795,1808
1698,1004
678,1180
678,630
1808,630
630,630
630,2297
115,1056
2089,2297
219,2363
1219,1698
593,1698
1555,1618
1618,2194
1391,1618
1463,648
2150,331
2150,816
2150,1065
1065,1065
2150,1359
2150,358
2150,2084
2150,432
2150,371
2150,2437
1632,2150
2150,369
2150,1193
2150,1367
2150,1107
2150,902
2150,226
468,2150
1065,358
1065,2084
1065,432
1065,371
1065,2437
1632,1065
1065,369
1065,1193
1065,1367
1065,1107
1065,902
1065,226
468,1065
1065,1359
2437,1107
371,1107
1367,1107
1107,902
371,902
2437,902
1367,902
331,1065
371,2437
1632,2437
1062,1246
2139,1246
1505,1505
2071,2513
1610,2278
1254,1858
216,1656
513,1942
1942,1000
1996,329
2130,2335
79,483
1930,786
1930,2157
1930,1256
1405,1656
1954,411
2003,255
182,1520
741,384
1841,1706
788,1619
1954,59
1246,59
2346,2346
2294,1221
1558,1251
1558,452
2279,1070
837,682
