,Uniprot_id,DrugBank_id,Affinity
0,P35968,DB00398,-12.06
0,P35968,DB01268,-9.085
0,P35968,DB04849,-10.33
0,P35968,DB04879,-9.807
0,P35968,DB06436,-9.477
0,P35968,DB06589,-9.969
0,P35968,DB06595,-9.194
0,P35968,DB06626,-10.83
0,P35968,DB08875,-10.27
0,P35968,DB08896,-11.4
0,P35968,DB08901,-12.21
0,P35968,DB09078,-11.1
0,P35968,DB09079,-8.244
0,P35968,DB11679,-11.01
0,P35968,DB11800,-11.51
0,P35968,DB12010,-7.545
0,P35968,DB12147,-8.022
0,P35968,DB12307,-9.886
0,P35968,DB14840,-9.998
0,P35968,DB15822,-9.201
