,Uniprot_id,DrugBank_id,Affinity,Mean_5_poses
0,P53350,DB00598,-7.793,-7.635599999999999
0,P53350,DB00312,-6.49,-6.455600000000001
0,P53350,DB01062,-7.364,-7.2665999999999995
0,P53350,DB00237,-6.513,-6.3412
0,P53350,DB01348,-8.324,-7.8768
0,P53350,DB00519,-8.318,-8.093
0,P53350,DB01114,-6.951,-6.816599999999999
0,P53350,DB06204,-6.265,-6.1878
0,P53350,DB04890,-7.605,-7.5292
0,P53350,DB00306,-6.814,-6.723599999999999
0,P53350,DB06282,-8.416,-8.194399999999998
0,P53350,DB00283,-8.098,-7.719800000000001
0,P53350,DB09076,-8.281,-8.1256
0,P53350,DB01081,-8.538,-8.4094
0,P53350,DB01231,-8.128,-7.992999999999999
0,P53350,DB00383,-8.275,-8.1556
0,P53350,DB00505,-7.15,-7.105200000000001
0,P53350,DB00178,-8.027,-7.771599999999999
0,P53350,DB00708,-7.515,-7.224200000000001
0,P53350,DB00557,-7.584,-7.3434
0,P53350,DB12278,-8.067,-7.8118
0,P53350,DB00771,-8.481,-8.2158
0,P53350,DB00376,-8.368,-8.203399999999998
0,P53350,DB00219,-7.568,-7.2296000000000005
0,P53350,DB04843,-8.722,-8.5662
0,P53350,DB00810,-8.232,-8.1158
0,P53350,DB00387,-8.086,-7.708800000000001
0,P53350,DB06787,-7.794,-7.704000000000001
0,P53350,DB00986,-7.743,-7.4148
0,P53350,DB00942,-8.145,-7.981199999999999
