,Uniprot_id,DrugBank_id,Affinity,Mean_5_poses
0,P00533,DB11652,-12.3,-11.794
0,P00533,DB11973,-9.777,-9.6482
0,P00533,DB11800,-8.979,-8.844
0,P00533,DB08875,-9.494,-9.3628
0,P00533,DB09078,-9.334,-9.0442
0,P00533,DB01254,-8.73,-8.5332
0,P00533,DB15822,-9.969,-9.526
0,P00533,DB12307,-10.89,-10.3604
0,P00533,DB15149,-8.353,-8.3218
0,P00533,DB06616,-8.945,-8.641
0,P00533,DB11886,-8.764,-8.703199999999999
0,P00533,DB11986,-11.27,-11.044
0,P00533,DB08896,-10.17,-9.6896
0,P00533,DB06589,-10.39,-10.109
0,P00533,DB00398,-10.12,-9.4916
0,P00533,DB14840,-9.695,-9.3674
0,P00533,DB08865,-9.986,-9.777199999999999
0,P00533,DB04849,-9.283,-9.088799999999999
0,P00533,DB00619,-10.98,-10.73
0,P00533,DB15685,-9.202,-8.9144
0,P00533,DB12141,-9.721,-9.388
0,P00533,DB12874,-9.803,-9.3854
0,P00533,DB08901,-10.37,-9.941999999999998
0,P00533,DB12062,-9.214,-9.022
0,P00533,DB12147,-8.253,-8.0968
0,P00533,DB15102,-8.655,-8.4784
0,P00533,DB16826,-6.215,-5.9186000000000005
0,P00533,DB11679,-9.138,-8.841800000000001
0,P00533,DB11697,-7.565,-7.4178
0,P00533,DB11763,-9.254,-8.9618
