Drugbank_id,Uniprot_id,Score
DB00163,O75469,0.99932224
DB00239,O75469,0.998531
DB00252,O75469,0.99933547
DB00255,O75469,0.99982053
DB00257,O75469,0.99483645
DB00312,O75469,0.9803076
DB00421,O75469,0.9994216
DB00431,O75469,0.9933075
DB00499,O75469,0.9898287
DB00503,O75469,0.9545239
DB00530,O75469,0.9694393
DB00531,O75469,0.9764925
DB00532,O75469,0.99627984
DB00564,O75469,0.98067826
DB00675,O75469,0.9984725
DB00682,O75469,0.9669803
DB00754,O75469,0.9765059
DB00783,O75469,0.9954853
DB00834,O75469,0.9892362
DB00849,O75469,0.995313
DB00977,O75469,0.98760206
DB01026,O75469,0.9980091
DB01039,O75469,0.99907064
DB01045,O75469,0.9868987
DB01068,O75469,0.98721635
DB01110,O75469,0.9993345
DB01115,O75469,0.94449675
DB01127,O75469,0.9991983
DB01138,O75469,0.9938548
DB01174,O75469,0.9990927
DB01181,O75469,0.97976047
DB01220,O75469,0.96945477
DB01229,O75469,0.99645126
DB01234,O75469,0.9135734
DB01248,O75469,0.99286354
DB01393,O75469,0.9997438
DB01645,O75469,0.9995387
DB01708,O75469,0.99945
DB01892,O75469,0.9976691
DB02709,O75469,0.9982945
DB02789,O75469,0.999399
DB04216,O75469,0.99892235
DB04468,O75469,0.9999159
DB04824,O75469,0.9996344
DB04930,O75469,0.99753225
DB05928,O75469,0.9154949
DB06777,O75469,0.9943541
DB07931,O75469,0.99479437
DB08864,O75469,0.9856474
DB12582,O75469,0.9778845
DB13179,O75469,0.9339833
DB13873,O75469,0.9997489
DB13952,O75469,0.9865996
DB13953,O75469,0.9961672
DB13954,O75469,0.9967059
DB13955,O75469,0.9764492
DB13956,O75469,0.99892396
DB14001,O75469,0.9996826
DB14002,O75469,0.9948079
DB14649,O75469,0.98457736
