Drugbank_id,Uniprot_id,Score
DB00281,P00533,0.86438245
DB00317,P00533,0.9945502
DB00530,P00533,0.978522
DB01259,P00533,0.99190676
DB03496,P00533,0.9466311
DB05294,P00533,0.9886861
DB05424,P00533,0.98912126
DB05524,P00533,0.989223
DB06021,P00533,0.9853406
DB08916,P00533,0.9921085
DB09330,P00533,0.98192817
DB11737,P00533,0.98361856
DB11828,P00533,0.99652755
DB11963,P00533,0.98594064
DB12010,P00533,0.9982589
DB12267,P00533,0.9974222
DB13164,P00533,0.9603305
DB15035,P00533,0.99178475
DB16390,P00533,0.9708865
