Drugbank_id,Uniprot_id,Score
DB00197,O75469,0.99994725
DB14011,O75469,0.9998735
DB04540,O75469,0.99973994
DB09061,O75469,0.99966794
DB00412,O75469,0.9996408
DB00926,O75469,0.99962157
DB06732,O75469,0.9996039
DB11994,O75469,0.99960196
DB01428,O75469,0.9995446
DB01436,O75469,0.9991701
DB00725,O75469,0.14622764
DB01421,O75469,0.14411324
DB00747,O75469,0.1435425
DB00452,O75469,0.11977124
DB01580,O75469,0.113253534
DB00332,O75469,0.10280768
DB03615,O75469,0.10176806
DB11181,O75469,0.0913622
DB09300,O75469,0.08362178
DB00424,O75469,0.043913476
