Drugbank_id,Uniprot_id,Score
DB02587,P53350,0.963429
DB04216,P53350,0.9578134
DB01017,P53350,0.93792325
DB11718,P53350,0.9277276
DB01645,P53350,0.8620095
DB12695,P53350,0.85906905
DB00945,P53350,0.8556384
DB08912,P53350,0.8368305
DB01254,P53350,0.8351445
DB14989,P53350,0.8326043
DB05229,P53350,0.0012954088
DB13940,P53350,0.0012347451
DB00905,P53350,0.0011784439
DB08897,P53350,0.0010772727
DB00725,P53350,0.0009806417
DB00866,P53350,0.0006621489
DB05152,P53350,0.00019557567
DB08808,P53350,0.00015629435
DB01297,P53350,5.4394408e-05
DB00335,P53350,1.1202594e-05
