Drugbank_id,Uniprot_id,Score
DB01254,Q04912,0.9539569
DB06616,Q04912,0.9215363
DB11973,Q04912,0.91801244
DB12141,Q04912,0.9158467
DB12267,Q04912,0.9151276
DB15822,Q04912,0.89099693
DB11718,Q04912,0.8849672
DB12062,Q04912,0.8810154
DB09078,Q04912,0.86904746
DB06589,Q04912,0.8677782
DB00283,Q04912,5.201424e-05
DB00454,Q04912,5.0272713e-05
DB00771,Q04912,5.0178955e-05
DB11642,Q04912,4.078437e-05
DB01625,Q04912,3.8624155e-05
DB00376,Q04912,3.5530436e-05
DB00986,Q04912,3.4500197e-05
DB00942,Q04912,3.2250664e-05
DB04843,Q04912,2.467251e-05
DB00505,Q04912,2.0048603e-05
