Drugbank_id,Uniprot_id,Score
DB11973,P00533,0.9933046
DB00619,P00533,0.99033386
DB11986,P00533,0.9887109
DB00398,P00533,0.9886185
DB09078,P00533,0.9865614
DB08901,P00533,0.9863817
DB11652,P00533,0.9855541
DB08896,P00533,0.9854935
DB01254,P00533,0.98507977
DB08875,P00533,0.98487437
DB15685,P00533,0.9844367
DB15822,P00533,0.9833191
DB11800,P00533,0.9832345
DB09079,P00533,0.98199385
DB06616,P00533,0.97970283
DB12141,P00533,0.97765094
DB14840,P00533,0.97544
DB12147,P00533,0.97292745
DB01268,P00533,0.97183526
DB12307,P00533,0.9712006
DB11679,P00533,0.9694215
DB06589,P00533,0.9579178
DB11763,P00533,0.955208
DB08865,P00533,0.94890195
DB16826,P00533,0.94396067
DB12874,P00533,0.9432947
DB15149,P00533,0.9394348
DB11886,P00533,0.93648565
DB15102,P00533,0.93399036
DB04849,P00533,0.9331678
DB11791,P00533,0.932051
DB06626,P00533,0.9274869
DB16703,P00533,0.9220374
DB16650,P00533,0.91815835
DB15233,P00533,0.9158225
DB05465,P00533,0.9156658
DB11697,P00533,0.91048634
DB15133,P00533,0.90786064
DB11718,P00533,0.9070817
DB12978,P00533,0.8986179
DB17472,P00533,0.89696014
DB04879,P00533,0.8966584
DB12062,P00533,0.88259745
DB06595,P00533,0.8788665
DB12597,P00533,0.878259
DB02587,P00533,0.8653129
DB14989,P00533,0.8629998
DB12001,P00533,0.8607389
DB12130,P00533,0.8571078
DB01933,P00533,0.82707083
DB09063,P00533,0.8210429
DB02058,P00533,0.82038146
DB06436,P00533,0.8202964
DB04868,P00533,0.8175842
DB09283,P00533,0.8061743
DB08912,P00533,0.8015992
DB14924,P00533,0.7983014
DB12364,P00533,0.79663646
DB08864,P00533,0.7943057
DB12887,P00533,0.7849993
DB04216,P00533,0.78036386
DB04209,P00533,0.7728906
DB15982,P00533,0.76938546
DB06137,P00533,0.75481
DB11363,P00533,0.75259656
DB15442,P00533,0.75022453
DB08911,P00533,0.7496094
DB14845,P00533,0.7352257
DB09143,P00533,0.7332462
DB09198,P00533,0.7312876
DB14973,P00533,0.7309019
DB01017,P00533,0.72179025
DB11853,P00533,0.71954566
DB11995,P00533,0.7190711
DB06605,P00533,0.7069949
DB08895,P00533,0.70571244
DB00276,P00533,0.7014381
DB06237,P00533,0.6899164
DB00321,P00533,0.6869443
DB11830,P00533,0.6854961
DB12323,P00533,0.68270755
DB14723,P00533,0.6817025
DB12695,P00533,0.6786254
DB00675,P00533,0.6722793
DB12941,P00533,0.67160124
DB15568,P00533,0.6612964
DB01097,P00533,0.6580423
DB16098,P00533,0.65477914
DB06469,P00533,0.6523377
DB11817,P00533,0.6518005
DB06240,P00533,0.6387247
DB15688,P00533,0.63645923
DB15091,P00533,0.63420546
DB00613,P00533,0.6340551
DB11760,P00533,0.6301896
DB09053,P00533,0.6300443
DB01645,P00533,0.6294857
DB00924,P00533,0.62826836
DB09093,P00533,0.6234647
DB11730,P00533,0.6223841
DB04440,P00533,0.019959124
DB00880,P00533,0.019827636
DB01073,P00533,0.019593982
DB06707,P00533,0.019441072
DB00155,P00533,0.019370148
DB00741,P00533,0.01921921
DB01291,P00533,0.019150032
DB00635,P00533,0.018946115
DB01565,P00533,0.018916067
DB11425,P00533,0.018833479
DB01090,P00533,0.018823314
DB00452,P00533,0.018796464
DB00830,P00533,0.018550811
DB11587,P00533,0.018354276
DB01203,P00533,0.018352102
DB08897,P00533,0.018145297
DB01579,P00533,0.018050013
DB14754,P00533,0.017967913
DB01421,P00533,0.01796488
DB01296,P00533,0.017827729
DB00462,P00533,0.017716283
DB01384,P00533,0.017624628
DB05107,P00533,0.017387053
DB05246,P00533,0.017344657
DB08808,P00533,0.017273573
DB08329,P00533,0.017195916
DB01227,P00533,0.01713119
DB01433,P00533,0.016978187
DB01408,P00533,0.016435249
DB00928,P00533,0.016427262
DB01594,P00533,0.016395496
DB01105,P00533,0.016346924
DB09300,P00533,0.016318284
DB14631,P00533,0.016195435
DB00195,P00533,0.016189188
DB01245,P00533,0.01613739
DB00264,P00533,0.016087769
DB00871,P00533,0.015994076
DB01359,P00533,0.015942197
DB00959,P00533,0.015768617
DB00547,P00533,0.015741337
DB02589,P00533,0.01537429
DB09517,P00533,0.015277806
DB00335,P00533,0.01513771
DB03615,P00533,0.0151342545
DB01409,P00533,0.014968602
DB09351,P00533,0.014968517
DB16628,P00533,0.01480954
DB00495,P00533,0.014512487
DB01062,P00533,0.014433952
DB00422,P00533,0.014178583
DB00441,P00533,0.014116153
DB06701,P00533,0.014065268
DB08960,P00533,0.013094594
DB00866,P00533,0.013053228
DB00860,P00533,0.012920169
DB13995,P00533,0.012905525
DB05137,P00533,0.01261544
DB00332,P00533,0.012578921
DB00557,P00533,0.012525844
DB11181,P00533,0.012334522
DB13191,P00533,0.011461536
DB00838,P00533,0.01137467
DB01194,P00533,0.011072131
DB00869,P00533,0.010969603
DB03312,P00533,0.0108412625
DB12783,P00533,0.010787202
DB00432,P00533,0.010523318
DB00505,P00533,0.010095498
DB06814,P00533,0.0099184755
DB00322,P00533,0.009758009
DB01580,P00533,0.009391367
DB00612,P00533,0.009274752
DB00187,P00533,0.0088208895
DB00283,P00533,0.008697103
DB00341,P00533,0.0085772835
DB06282,P00533,0.00846689
DB00987,P00533,0.0083971
DB00816,P00533,0.008167671
DB00376,P00533,0.008004285
DB09095,P00533,0.007831393
DB13139,P00533,0.007760556
DB00360,P00533,0.007570648
DB01231,P00533,0.007474062
DB00221,P00533,0.0073802928
DB00219,P00533,0.0072851926
DB01001,P00533,0.0071414732
DB01629,P00533,0.0069577685
DB01144,P00533,0.0068583516
DB00810,P00533,0.0065493276
DB00942,P00533,0.0063393973
DB00387,P00533,0.006005968
DB00725,P00533,0.005113052
DB06787,P00533,0.0050738472
DB00209,P00533,0.004908221
DB00383,P00533,0.004038371
DB01064,P00533,0.003554136
DB00986,P00533,0.0021003536
DB00771,P00533,0.0014346025
DB04843,P00533,0.0003234675
