,0,1,2,3,4,5,6,7,8,9,10,11
0,0.9491,0.9402,0.9483,0.9312,0.9404,0.9052,0.9463,0.9487,0.9485,0.9157,0.9355,0.9111
1,0.9463,0.9411,0.9465,0.9364,0.934,0.9292,0.9422,0.9462,0.9488,0.9247,0.9369,0.9028
2,0.9422,0.9391,0.941,0.9368,0.9371,0.9292,0.9448,0.9449,0.9413,0.9175,0.9332,0.9016
3,0.9445,0.9394,0.9423,0.9322,0.9369,0.9331,0.9434,0.9462,0.9428,0.924,0.9319,0.8975
4,0.9476,0.9362,0.9438,0.9242,0.9371,0.91,0.9415,0.9437,0.9413,0.8937,0.9294,0.8993
5,0.9467,0.9412,0.9434,0.9356,0.9432,0.933,0.9401,0.9495,0.9473,0.9145,0.9385,0.9062
6,0.9423,0.9388,0.9417,0.9358,0.9415,0.9172,0.9385,0.9454,0.9399,0.932,0.9382,0.9039
7,0.9452,0.9375,0.945,0.9294,0.9424,0.9285,0.9406,0.9424,0.9389,0.9252,0.9311,0.9038
8,0.9252,0.925,0.9302,0.9053,0.9239,0.9118,0.9295,0.9337,0.9302,0.9155,0.9242,0.8979
9,0.9271,0.9277,0.9309,0.9069,0.9133,0.8646,0.9169,0.9232,0.9244,0.9131,0.9258,0.8722
10,0.9451,0.9366,0.9394,0.91,0.9255,0.9197,0.9313,0.9424,0.9411,0.8923,0.9314,0.9008
11,0.9308,0.9347,0.9404,0.9164,0.9337,0.8976,0.9337,0.9454,0.9387,0.9114,0.9378,0.9013
12,0.9334,0.925,0.9323,0.9031,0.9209,0.8917,0.9258,0.9309,0.9251,0.9096,0.9301,0.9025
