,0,1,2,3,4,5,6,7,8,9,10,11
0,0.9512,0.9416,0.9491,0.9277,0.9413,0.9006,0.9459,0.9481,0.9489,0.9146,0.935,0.9131
1,0.9461,0.9412,0.9463,0.9357,0.9319,0.9272,0.9428,0.9455,0.9492,0.9228,0.9355,0.9037
2,0.9424,0.9387,0.9418,0.9361,0.936,0.9293,0.9455,0.9461,0.9409,0.9153,0.9337,0.8984
3,0.9449,0.9392,0.9437,0.9306,0.9377,0.9323,0.9439,0.9484,0.942,0.9248,0.9312,0.8916
4,0.9468,0.9357,0.9423,0.9194,0.9361,0.9005,0.9419,0.9432,0.9426,0.889,0.929,0.9013
5,0.9477,0.9413,0.9433,0.9342,0.9434,0.9302,0.9386,0.9504,0.949,0.9113,0.9374,0.9037
6,0.9402,0.9389,0.9416,0.9353,0.9427,0.9098,0.9338,0.9447,0.9397,0.932,0.9375,0.9057
7,0.9437,0.935,0.9438,0.9269,0.9401,0.9246,0.9387,0.941,0.937,0.9226,0.9279,0.9027
8,0.9229,0.9245,0.9274,0.902,0.9222,0.9036,0.9291,0.9309,0.9293,0.9152,0.9218,0.8981
9,0.9226,0.926,0.9266,0.8986,0.9093,0.8457,0.9111,0.9207,0.921,0.9116,0.9221,0.8738
10,0.944,0.9342,0.9374,0.9081,0.9232,0.9171,0.9291,0.9443,0.9399,0.8909,0.9299,0.8983
11,0.9274,0.9332,0.9401,0.9126,0.9315,0.8843,0.9313,0.9452,0.9385,0.9087,0.9366,0.9
12,0.9307,0.9253,0.9316,0.8958,0.9214,0.8757,0.9217,0.9278,0.9222,0.9063,0.9288,0.9014
