,AUC,AUPR,ACC,MCC,F1
DeepCPI,2.0842483496914185e-08,8.138659066573237e-08,1.5207177528160026e-05,3.541119173919604e-08,0.2999442920317085
DeepConv-DTI,0.002796888227064607,0.002756263205280181,0.0053681431616819306,0.0013272389468136788,0.2593013791208657
MolTrans,0.0002073004116995679,0.00013455673414067886,0.000511727785181681,8.66095142937912e-05,0.005619476929468612
TransformerCPI,4.80060172197489e-06,1.5516223730897285e-05,4.985275784826579e-07,1.72616661945164e-06,2.0358535609637867e-06
DLM-DTI,4.099379481647183e-06,1.7153522588881247e-05,1.7388512222435043e-07,2.2946635419317536e-06,1.1421014913978028e-05
HyperAttentionDTI,0.0014460014484244344,0.0017060977914486368,0.00038787498097820526,2.8375111575454186e-05,0.02141562499722706
MCANet,5.851560033933368e-06,2.5351657401810054e-05,6.351415184964611e-06,2.4213726711323634e-08,0.8719678772835261
FMCA-DTI,0.003215862795052714,0.0006722287840181774,0.013166676952283487,0.0006817714437153819,0.4091807627511143
DrugBAN,1.7750004763543325e-06,2.639060182144667e-06,9.782226065180495e-08,2.595625179862764e-10,0.0007727293164610646
CmhAttCPI,4.722678521245726e-07,1.3789837877743342e-05,9.346269730115517e-07,5.556631131902679e-06,7.571214398935158e-05
BINDTI,0.00010183809785597251,0.0001837631594071698,0.000597978249481466,1.642445688632643e-05,0.01588295317863489
MGNDTI,2.651903301054312e-06,3.0606593219336695e-06,3.511746962579321e-07,5.48250566709851e-07,4.122944223011122e-06
DeepDTA,0.0015119828709107724,0.001673051112481255,0.0021764427421026257,0.0006375551951972594,0.6392764614794726
DeepCDA,1.8242893982931715e-05,3.6292351375761804e-05,0.00024846283353722093,4.203318295185669e-06,0.807920881998759
GraphDTA,4.0546534816809967e-10,1.0880839239518104e-09,2.667182128913991e-09,4.768513807811606e-10,3.650055523166799e-07
