,AUC,AUPR,ACC,MCC,F1
DeepCPI,2.7752226160003524e-06,1.958650347973626e-05,0.006267050751890376,3.683169244569085e-07,0.0003909299726751733
DeepConv-DTI,4.134990777818606e-05,9.948877073896788e-06,0.00359342703277946,5.468759702972765e-06,0.010060269989231386
MolTrans,2.435906402040853e-06,1.1941247056711812e-05,9.516288528181275e-06,8.906086919485208e-08,2.8572920167344268e-05
TransformerCPI,7.978993795614885e-08,1.6694731683292696e-06,3.3536990962947285e-05,2.453598213650235e-08,0.00011780444360336896
DLM-DTI,7.720501368923819e-07,2.5694235715753077e-06,0.00016615687849857682,8.10267818458969e-11,0.0006431542899561743
HyperAttentionDTI,3.424549577224727e-10,9.1749749641402e-10,0.7461603227304789,2.440466127322978e-09,0.02904849004908018
MCANet,2.72595441548427e-10,3.206351956721584e-10,0.013715353651401667,7.948375992832644e-08,0.09206956968451224
FMCA-DTI,6.737496792674569e-06,8.447099525343408e-06,0.0013951785876327525,1.9656272629495755e-06,0.0056165042589383304
DrugBAN,1.2219008746226807e-05,8.390267933219497e-05,4.033300216517879e-05,1.962644734108992e-06,0.00019708549401915854
CmhAttCPI,1.3950884139159982e-06,2.57805255988547e-06,2.914619824105019e-06,3.034029566319666e-07,2.2041934871767627e-05
BINDTI,0.0006262140429622061,0.0007596515313005775,0.07196626215768587,0.001115993857140257,0.11423762841823992
MGNDTI,3.7922138257242705e-07,2.57098874140883e-06,9.430321814137209e-06,9.670676129730547e-08,2.5605349892195034e-05
DeepDTA,1.7443223150934023e-07,9.625163947783115e-07,0.00017319377713441778,4.646367473982498e-10,0.0007869581344061958
DeepCDA,2.1726097714917875e-06,3.9501081530064086e-05,0.0005687794554472403,1.670686973986128e-08,0.001795054792482304
GraphDTA,5.735869937027496e-07,4.389739891302431e-05,4.294369335186692e-08,6.475999100901504e-09,7.858696018835588e-08
