,AUC,AUPR,ACC,MCC,F1
DeepCPI,1.4705731554079322e-05,1.8639093836089967e-06,9.764062105691682e-08,1.742359085909417e-07,1.7974374927790493e-07
DeepConv-DTI,0.00022892585585762172,0.00028404249781557167,0.00026231665639089483,0.0003427808594400085,0.0005623787857364403
MolTrans,2.161394104002227e-08,3.413382532170143e-07,2.050643895735171e-08,2.736361100913448e-08,1.4777651328202276e-07
TransformerCPI,2.4964194762153652e-08,2.7996861397680382e-08,1.2915541210470514e-11,1.2052624504710833e-11,1.9698537279122665e-11
DLM-DTI,1.0719014874656504e-07,4.959849533731346e-08,5.457819538323517e-09,4.765006244291998e-09,5.77967241986501e-09
HyperAttentionDTI,2.1540513733101463e-05,3.7833603470529488e-06,3.5477412749340215e-06,2.99403477284958e-06,4.022089440830447e-06
MCANet,1.6825573354840973e-05,3.202973325661038e-06,1.8597663655361346e-06,1.7204029106449392e-06,2.184328305715076e-06
FMCA-DTI,1.9994749181573745e-07,4.744510517765382e-08,7.739293978234096e-10,7.565761727270376e-10,8.644468088081052e-10
DrugBAN,1.0787389134280946e-05,6.540960013555583e-07,6.067954727388573e-06,2.2250901892770594e-06,2.2901540312879043e-06
CmhAttCPI,8.364651817233495e-07,8.752087719281455e-08,4.072195122358419e-09,4.301418879051439e-09,8.324716961503356e-09
BINDTI,2.5365774467884557e-06,4.809617692976052e-06,6.382977517555155e-06,7.3223155368358765e-06,8.881910599359251e-06
MGNDTI,0.00047803228956914935,0.0007819792472819007,0.0005642780504625879,0.0005811869984006717,0.0006156192083721117
DeepDTA,7.172048417516759e-06,9.677562425141677e-08,2.5696759794758186e-06,3.83818279523908e-06,5.516689108300227e-06
DeepCDA,0.00022574709516298447,0.00014019392149472183,5.359799554766766e-06,8.058014399165836e-06,1.15372038780468e-05
GraphDTA,0.00012632016800078616,1.2004810952750895e-05,1.2725516419969936e-05,1.4961138805698004e-05,1.91793442859025e-05
