,AUC,AUPR,ACC,MCC,F1
DeepCPI,1.5463701544471804e-07,1.5275610980674684e-10,6.479486501995897e-05,2.8363202825583534e-05,0.03543046301378463
DeepConv-DTI,8.13404236459643e-07,1.1733608971668593e-11,4.640197271418052e-05,8.917454349729767e-05,0.13300042306010884
MolTrans,7.002794879613981e-08,1.1029252706932819e-05,5.695637135524198e-06,5.732393598901331e-05,1.0328075079577648e-05
TransformerCPI,0.0014074202146675122,0.002260613364284657,0.04552675588226535,0.05011384675275162,0.14996860633876535
DLM-DTI,2.8357794346686796e-08,2.841921011362395e-09,6.0346953397449124e-05,8.82385570767236e-06,0.37043352541322
HyperAttentionDTI,7.208210010179974e-07,0.0007107859574513462,0.0006505176707042918,0.0004351197526733902,0.09802134037856428
MCANet,0.00015528464240867514,2.902485773277275e-05,0.00023452866102222807,0.00015055350552888093,0.0020418266391493698
FMCA-DTI,4.452769644745382e-06,3.103803828440001e-06,8.526173454685645e-08,5.645302309960667e-07,0.15773545175155676
DrugBAN,0.000566808404985004,0.0005081454912183207,0.0037427736296459344,0.0029147023563222303,0.1835688521972545
CmhAttCPI,0.0013793750841261667,0.00561676545000797,0.0455973348592821,0.05558766885146585,0.3919876711883975
BINDTI,0.004413271834217034,0.0009173833585401071,0.0007160770326258652,0.0012778300278707229,0.9901506393474055
MGNDTI,0.006970107499184668,0.010925984293766728,0.06339678057884574,0.0678794996526302,0.5364467442492048
DeepDTA,8.625173765332307e-07,0.0007926846763910281,0.0015859857925174844,0.0035530584335813024,0.09689233409415982
DeepCDA,3.146831522798591e-05,0.003592436234035195,0.027050812009384115,0.02362427711237826,0.779260864176046
GraphDTA,0.00038801844189998705,0.00026059463539389614,0.0007634941785886578,0.000766897959415183,0.001908040456787879
